,links
"1 KESSLER GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66247677 
"A&G RENTA FIJA CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85405082 
ABACO GLOBAL VALUE OPPORTUNITIES FI,https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87152088 
"ABACO RENTA FIJA MIXTA GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86467461 
"ABANCA GESTION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86844974 
"ABANCA RENTA FIJA FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84857739 
"ABANCA RENTA FIJA MIXTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87109906 
"ABANCA RENTA FIJA PATRIMONIO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85377406 
"ABANCA RENTA VARIABLE ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87112173 
"ABANCA RENTA VARIABLE EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82055906 
"ABANCA RENTA VARIABLE MIXTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80714306 
"ABANDO EQUITIES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85439560 
"ABANTE ASESORES GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83217208 
"ABANTE BOLSA ABSOLUTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84288323 
"ABANTE BOLSA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83217299 
ABANTE INDICE BOLSA FI,https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87884292 
"ABANTE INDICE SELECCION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87884508 
"ABANTE PATRIMONIO GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83787549 
"ABANTE QUANT VALUE SMALL CAPS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87919460 
"ABANTE RENTA FIJA CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83217232 
"ABANTE RENTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84287952 
"ABANTE SELECCION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83217257 
"ABANTE VALOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83409516 
ACACIA BONOMIX FI,https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95644183 
"ACACIA GLOBALMIX 60-90, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95833638 
"ACACIA INVERMIX 30-60, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95833604 
ACACIA PREMIUM FI,https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95644225 
ACACIA REINVERPLUS EUROPA FI,https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95644191 
"ACACIA RENTA DINAMICA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95652905 
