fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
CdE ODS Impact ISR, FI*CI 2019 BOLSA EUROPA GARANTIZADO, FI*2018*2018-01-01*2018-12-31*Valor 3, de una escala del 1 al 7.*0.0*0.0**3189261.98*949.5*0.0*21166741.0*False*6.6678*0.1*0.0*0.1*0.2****False*Y*2018
CdE ODS Impact ISR, FI*CI 2019 BOLSA EUROPA GARANTIZADO, FI*2018 T2*2018-01-01*2018-06-30*Valor 3, de una escala del 1 al 7.*0.0*0.0**3179225.2800000003*942.0*0.0*22803423.0*False*7.1171*0.030000000000000002*0.0*0.030000000000000002*0.05****False*T*2018
CdE ODS Impact ISR, FI*CI 2019 BOLSA EUROPA GARANTIZADO, FI*2018 T4*2018-07-01*2018-12-31*Valor 3, de una escala del 1 al 7.*0.0*0.0**3153869.77*945.0*0.0*21166741.0*False*6.6678*0.020000000000000004*0.0*0.020000000000000004*0.05****False*T*2018
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR, FI*2019*2019-01-01*2019-12-31*Valor 4, de una escala del 1 al 7.*0.42000000000000004*0.0**2455586.165*935.5*0.0*24754836.0*False*7.2424*0.74*0.0*0.74*0.11****False*Y*2019
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR, FI*2019 T2*2019-01-01*2019-06-30*Valor 4, de una escala del 1 al 7.*0.24*0.0**259146.6299999999*106.0*0.0*10455277.0*False*7.0022*0.039999999999999994*0.0*0.039999999999999994*-0.03****False*T*2019
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR, FI*2019 T4*2019-07-01*2019-12-31*Valor 4, de una escala del 1 al 7.*0.78*0.0**3806672.7700000005*1679.0*0.0*24754836.0*False*7.2424*0.34*0.0*0.34*0.05****False*T*2019
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR, FI*2019*2019-01-01*2019-12-31*Valor 4, de una escala del 1 al 7.*0.42000000000000004*0.0**2455586.165*935.5*0.0*24754836.0*False*7.2424*0.74*0.0*0.74*0.11****False*Y*2019
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR, FI*2019 T2*2019-01-01*2019-06-30*Valor 4, de una escala del 1 al 7.*0.24*0.0**259146.6299999999*106.0*0.0*10455277.0*False*7.0022*0.039999999999999994*0.0*0.039999999999999994*-0.03****False*T*2019
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR, FI*2019 T4*2019-07-01*2019-12-31*Valor 4, de una escala del 1 al 7.*0.78*0.0**3806672.7700000005*1679.0*0.0*24754836.0*False*7.2424*0.34*0.0*0.34*0.05****False*T*2019
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR A, FI*2020 T4*2020-07-01*2020-12-31*Valor 4, de una escala del 1 al 7.*0.01*-0.06**5513635.709999999*2304.0*0.0*35472767.0*False*7.3745*0.34*0.0*0.34*0.05****True*T*2020
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR I, FI*2020 T4*2020-07-01*2020-12-31*Valor 4, de una escala del 1 al 7.*0.01*-0.06**2297155.8400000003*995.0*0.0*8769557.0*False*7.407*0.12000000000000001*0.0*0.12000000000000001*0.030000000000000002****True*T*2020
CdE ODS Impact ISR, FI*CdE ODS IMPACT ISR, FI*2020 T2*2020-01-01*2020-06-30*Valor 4, de una escala del 1 al 7.*1.07*0.0**4078686.2199999997*1813.0*0.0*27566447.0*False*6.9387*0.33*0.0*0.33*0.05****False*T*2020
