fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2015*2015-01-01*2015-12-31*6, en una escala del 1 al 7*0.0*0.005**836019.2250000001*10060.5**438000.0*False*10.9745*0.8600000000000001*0.0*0.8600000000000001*0.05****True*Y*2015
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2015 T4*2015-07-01*2015-12-31*6, en una escala del 1 al 7*0.0*0.0**-14179.11*6.0**438000.0*False*10.9745*0.39*0.0*0.39*0.020000000000000004****True*T*2015
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**9196380.08*6041.0**84644000.0*False*8.8385*0.43*0.0*0.43*0.030000000000000002****True*T*2016
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**3477318.1*235.0**32381000.0*False*8.885*0.31*0.0*0.31*0.030000000000000002****True*T*2016
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**1193072.69*8.0**11215000.0*False*8.9274*0.2*0.0*0.2*0.030000000000000002****True*T*2016
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**24928.409999999996*9.0**267000.0*False*8.8618*0.38*0.0*0.38*0.030000000000000002****True*T*2016
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**38164.34*12.0**171000.0*False*8.9578*0.34*0.0*0.34*0.02****True*T*2016
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*0.0*0.0**0.0*0.0**0.0*False*8.9664*0.0*0.0*0.0*0.0****True*T*2016
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.31*-0.15000000000000002**7726363.145*5334.0**78427000.0*False*10.6624*1.75*0.0*1.75*0.1****True*Y*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.16000000000000003**7819703.21*5471.0**90781000.0*False*11.2114*0.44*0.0*0.44*0.030000000000000002****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*1.24*-0.04999999999999999**6882821.2*4764.0**78427000.0*False*10.6624*0.44*0.0*0.44*0.020000000000000004****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.31*-0.15000000000000002**3232193.9450000003*395.5**32006000.0*False*10.799000000000001*1.25*0.0*1.25*0.1****True*Y*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.16000000000000003**3610583.65*816.0**39649000.0*False*11.3261*0.31*0.0*0.31*0.030000000000000002****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*1.24*-0.04999999999999999**2155256.8200000003*-229.0**32006000.0*False*10.799000000000001*0.32*0.0*0.32*0.020000000000000004****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.31*-0.15000000000000002**1643917.4449999998*7.5**3918000.0*False*10.924000000000001*0.81*0.0*0.81*0.1****True*Y*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.16000000000000003**3236135.65*13.0**33486000.0*False*11.4317*0.2*0.0*0.2*0.030000000000000002****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*1.24*-0.04999999999999999**-1741066.2399999998*0.0**3918000.0*False*10.924000000000001*0.20999999999999996*0.0*0.20999999999999996*0.020000000000000004****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.31*-0.15000000000000002**1026914.77*6951.0**1647000.0*False*10.7336*1.5*0.0*1.5*0.1****True*Y*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.0*-0.16000000000000003**1831406.05*14256.0**21414000.0*False*11.2686*0.38*0.0*0.38*0.030000000000000002****True*T*2017
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*1.24*-0.04999999999999999**-3307822.38*-19680.0**1647000.0*False*10.7336*0.39*0.0*0.39*0.030000000000000002****True*T*2017
