fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2009*2009-01-01*2009-12-31*Medio/Bajo*1.665*0.6849999999999999**6289.305*436.5*0.0*6667598.0*False*1096.3202***1.59*0.1****False*Y*2009
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2009 T4*2009-07-01*2009-12-31*Medio/Bajo*2.21*0.17**5852.920000000001*407.0*0.0*6667598.0*False*1096.3202***0.39*0.020000000000000004****False*T*2009
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2010*2010-01-01*2010-12-31*Medio/Bajo*0.0*0.395**8699.11*441.5*0.0*9221568.0*False*1114.8543***1.55*0.1****False*Y*2010
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2010 T2*2010-01-01*2010-06-30*Medio/Bajo*-0.11*0.30999999999999994**9122.66*472.0*0.0*10082667.0*False*1104.7476***0.39*0.030000000000000002****False*T*2010
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2010 T4*2010-07-01*2010-12-31*Medio/Bajo*-0.08*0.6200000000000001**7652.619999999999*416.0*0.0*9221568.0*False*1114.8543***0.39*0.020000000000000004****False*T*2010
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2011 T2*2011-01-01*2011-06-30*Medio/Bajo*1.0*0.7699999999999999**6755.3*391.0*0.0*7526407.0*False*1105.1986***0.39*0.030000000000000002****False*T*2011
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2012*2012-01-01*2012-12-31*4, en una escala del 1 a 7.*0.59*1.115**6454.8099999999995*385.5*0.0*6991002.0*False*1111.0744*1.57*0.0*1.57*0.13****False*Y*2012
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2012 T2*2012-01-01*2012-06-30*4, de una escala del 1 al 7*0.62*0.44999999999999996**8106.9800000000005*471.0*0.0*7191633.0*False*1086.7587*0.38*0.0*0.38*0.030000000000000002****False*T*2012
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2012 T4*2012-07-01*2012-12-31*4, en una escala del 1 a 7.*1.33*1.77**6197.509999999999*360.0*0.0*6991002.0*False*1111.0744*0.4*0.0*0.4*0.04****False*T*2012
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2013*2013-01-01*2013-12-31*4, en una escala del 1 a 7*0.205*0.655**14263.259999999998*585.5*0.0*21879191.0*False*1223.3827*1.59*0.0*1.59*0.15000000000000002****False*Y*2013
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2013 T2*2013-01-01*2013-06-30*4, en una escala del 1 a 7*0.32999999999999996*0.4800000000000002**14753.310000000001*603.0*0.0*12736680.0*False*1196.7919*0.4*0.0*0.4*0.030000000000000006****False*T*2013
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2013 T4*2013-07-01*2013-12-31*4, en una escala del 1 a 7*0.0*0.53**16879.099999999995*677.0*0.0*21879191.0*False*1223.3827*0.4*0.0*0.4*0.04****False*T*2013
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2014*2014-01-01*2014-12-31*4, en una escala del 1 a 7*0.295*0.55**17132.53*656.0*0.0*15744597.0*False*1231.5663*1.6*0.0*1.6*0.15000000000000002****False*Y*2014
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2014 T2*2014-01-01*2014-06-30*4, en una escala del 1 a 7*0.16*0.6100000000000001**20172.039999999997*708.0*0.0*26139480.0*False*1216.8737*0.4*0.0*0.4*0.030000000000000006****False*T*2014
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2014 T4*2014-07-01*2014-12-31*4, en una escala del 1 a 7*0.93*0.3900000000000001**8324.489999999998*441.0*0.0*15744597.0*False*1231.5663*0.41000000000000003*0.0*0.41000000000000003*0.04****False*T*2014
BANKINTER MULTIESTRATEGIA, FI*BANKINTER RENTA DINAMICA, FI*2015*2015-01-01*2015-12-31*4, en una escala del 1 a 7*0.485*0.185**14540.720000000001*611.5*0.0*19698396.0*False*1221.0607*1.24*0.0*1.24*0.15000000000000002****False*Y*2015
