fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009*2009-01-01*2009-12-31*medio-alta*0.68*0.48**835722.7350000001*501.0*0.0*12535290.0*False*14.0397***0.65*0.19****False*Y*2009
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009 T4*2009-07-01*2009-12-31*medio-alta*0.52*0.6499999999999999**932709.4200000002*527.0*0.0*12535290.0*False*14.0397***0.17*0.039999999999999994****False*T*2009
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009*2009-01-01*2009-12-31*medio-alta*0.68*0.48**835722.7350000001*501.0*0.0*12535290.0*False*14.0397***0.65*0.19****False*Y*2009
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009 T4*2009-07-01*2009-12-31*medio-alta*0.52*0.6499999999999999**932709.4200000002*527.0*0.0*12535290.0*False*14.0397***0.17*0.039999999999999994****False*T*2009
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2010 T2*2010-01-01*2010-06-30*medio-alta*0.35*0.84**941078.4800000001*510.0*0.0*13011928.0*False*13.8427***0.16*0.05****False*T*2010
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2010 T2*2010-01-01*2010-06-30*medio-alta*0.35*0.84**941078.4800000001*510.0*0.0*13011928.0*False*13.8427***0.16*0.05****False*T*2010
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2011*2011-01-01*2011-12-31*Alto*0.02*1.0899999999999999**922659.4850000001*508.5*0.0*12417646.0*False*13.5054***0.65*0.2****False*Y*2011
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2011 T2*2011-01-01*2011-06-30*Alto*0.0*0.62**919001.66*508.0*0.0*14461176.0*False*15.6192***0.16*0.05****False*T*2011
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2011 T4*2011-07-01*2011-12-31*Alto*0.08*1.8099999999999998**886756.3500000001*499.0*0.0*12417646.0*False*13.5054***0.17*0.05****False*T*2011
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2012*2012-01-01*2012-12-31*Alto*0.025*0.42**915143.47*491.0*0.0*14361359.0*False*15.8466*0.65*0.0*0.65*0.2****False*Y*2012
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2012 T2*2012-01-01*2012-06-30*Alto*0.0*0.24**925492.52*497.0*0.0*12846186.0*False*13.9026*0.16*0.0*0.16*0.05****False*T*2012
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2012 T4*2012-07-01*2012-12-31*Alto*0.05*1.2**919848.81*484.0*0.0*14361359.0*False*15.8466*0.17*0.0*0.17*0.05****False*T*2012
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2013*2013-01-01*2013-12-31*6 (En una escala del 1 al 7)*0.015*1.025**1051659.525*543.0*0.0*21996193.0*False*19.2261*0.65*0.0*0.65*0.2****False*Y*2013
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2013 T2*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.03*0.9700000000000002**975099.3999999999*539.0*0.0*15846758.0*False*16.5201*0.16*0.0*0.16*0.05****False*T*2013
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2013 T4*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.0*0.96**1263683.0500000003*610.0*0.0*21996193.0*False*19.2261*0.17*0.0*0.17*0.05****False*T*2013
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2014 T2*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.03*0.96**1482557.06*677.0*0.0*27708360.0*False*20.2577*0.16*0.0*0.16*0.05****False*T*2014
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2015*2015-01-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.125**1955064.84*741.5*0.0*44006931.0*False*20.9045*0.65*0.0*0.65*0.2****False*Y*2015
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2015 T2*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.0*0.019999999999999962**2039002.96*758.0*0.0*40217001.0*False*22.2811*0.16*0.0*0.16*0.05****False*T*2015
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2015 T4*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.08000000000000002**2189205.9200000004*746.0*0.0*44006931.0*False*20.9045*0.17*0.0*0.17*0.05****False*T*2015
