fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2009*2009-01-01*2009-12-31*medio-alto*0.02*0.36**1207082.8050000002*398.0*0.0*9886383.0*False*8.2092***1.5*0.2****False*Y*2009
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2009 T4*2009-07-01*2009-12-31*medio-alto*-0.11*0.72**1186633.0*398.0*0.0*9886383.0*False*8.2092***0.38*0.05****False*T*2009
BONA-RENDA, FI*Bona - Renda, F.I.*2010*2010-01-01*2010-12-31*Muy Alto*1.195*0.425**596454.53*260.0*0.0*4037125.0*False*7.6514***1.51*0.2****False*Y*2010
BONA-RENDA, FI*Bona - Renda, F.I.*2010 T2*2010-01-01*2010-06-30*medio-alto*2.45*0.43999999999999995**307773.69000000006*196.0*0.0*4901982.0*False*7.3683***0.38*0.05****False*T*2010
BONA-RENDA, FI*Bona - Renda, F.I.*2010 T4*2010-07-01*2010-12-31*Muy Alto*1.32*0.59**467539.6300000001*225.0*0.0*4037125.0*False*7.6514***0.38*0.05****False*T*2010
BONA-RENDA, FI*Bona - Renda, F.I.*2010*2010-01-01*2010-12-31*Muy Alto*1.195*0.425**596454.53*260.0*0.0*4037125.0*False*7.6514***1.51*0.2****False*Y*2010
BONA-RENDA, FI*Bona - Renda, F.I.*2010 T2*2010-01-01*2010-06-30*medio-alto*2.45*0.43999999999999995**307773.69000000006*196.0*0.0*4901982.0*False*7.3683***0.38*0.05****False*T*2010
BONA-RENDA, FI*Bona - Renda, F.I.*2010 T4*2010-07-01*2010-12-31*Muy Alto*1.32*0.59**467539.6300000001*225.0*0.0*4037125.0*False*7.6514***0.38*0.05****False*T*2010
BONA-RENDA, FI*Bona - Renda, F.I.*2011*2011-01-01*2011-12-31*Muy alto*1.215*0.905**425882.06*215.0*0.0*2880671.0*False*7.1863***1.5*0.16****False*Y*2011
BONA-RENDA, FI*Bona - Renda, F.I.*2011 T2*2011-01-01*2011-06-30*Muy alto*2.46*0.86**416261.02999999997*207.0*0.0*3397921.0*False*7.5357***0.37*0.05****False*T*2011
BONA-RENDA, FI*Bona - Renda, F.I.*2011 T4*2011-07-01*2011-12-31*Muy alto*1.0899999999999999*1.0000000000000002**383387.47000000003*201.0*0.0*2880671.0*False*7.1863***0.38*0.03****False*T*2011
BONA-RENDA, FI*Bona - Renda, F.I.*2012*2012-01-01*2012-12-31*Muy alto*1.115*0.295**316623.88*186.0*0.0*2381731.0*False*7.7853*1.5*0.0*1.5*0.09****False*Y*2012
