fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PREMIER*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*1.9399999999999997*-1.16**0.0*0.0**0.0*False*4.5125*0.0*0.0*0.0*0.0****True*T*2018
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - CARTERA*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*1.9399999999999997*-1.16**25862977.830000002*18093.0**123317000.0*False*4.4371*0.17999999999999997*0.0*0.17999999999999997*0.030000000000000002****True*T*2018
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PYME*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*1.9399999999999997*-1.16**118042.43*15.0**511000.0*False*4.4866*0.37*0.0*0.37*0.030000000000000002****True*T*2018
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - EMPRESA*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*1.9399999999999997*-1.16**0.0*0.0**0.0*False*4.5097*0.0*0.0*0.0*0.0****True*T*2018
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - BASE*2019*2019-01-01*2019-12-31*5, en una escala del 1 al 7*2.115*-0.26**5638110.54*2232.0**25518000.0*False*4.6432*1.75*0.0*1.75*0.1****True*Y*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - BASE*2019 T2*2019-01-01*2019-06-30*5, en una escala del 1 al 7*1.7200000000000002*-0.26**5674125.2700000005*2250.0**24739000.0*False*4.2797*0.44*0.0*0.44*0.030000000000000002****True*T*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - BASE*2019 T4*2019-07-01*2019-12-31*5, en una escala del 1 al 7*4.49*-0.28**5402171.2299999995*2136.0**25518000.0*False*4.6432*0.44*0.0*0.44*0.020000000000000004****True*T*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PLUS*2019*2019-01-01*2019-12-31*5, en una escala del 1 al 7*2.115*-0.26**1331051.23*37.5**6052000.0*False*4.7483*1.25*0.0*1.25*0.1****True*Y*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PLUS*2019 T2*2019-01-01*2019-06-30*5, en una escala del 1 al 7*1.7200000000000002*-0.26**1338501.7500000002*34.0**6058000.0*False*4.3655*0.31*0.0*0.31*0.030000000000000002****True*T*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PLUS*2019 T4*2019-07-01*2019-12-31*5, en una escala del 1 al 7*4.49*-0.28**1221385.5000000002*32.0**6052000.0*False*4.7483*0.31*0.0*0.31*0.020000000000000004****True*T*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PREMIER*2019*2019-01-01*2019-12-31*5, en una escala del 1 al 7*2.115*-0.26**0.0*0.0**0.0*False*4.8466*0.0*0.0*0.0*0.0****True*Y*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PREMIER*2019 T2*2019-01-01*2019-06-30*5, en una escala del 1 al 7*1.7200000000000002*-0.26**0.0*0.0**0.0*False*4.4458*0.0*0.0*0.0*0.0****True*T*2019
SABADELL EUROPA BOLSA, FI*SABADELL EUROPA BOLSA, FI - PREMIER*2019 T4*2019-07-01*2019-12-31*5, en una escala del 1 al 7*4.49*-0.28**0.0*0.0**0.0*False*4.8466*0.0*0.0*0.0*0.0****True*T*2019
