fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*2017 T2*2017-01-01*2017-06-30*3 en una escala de 1 a 7*0.0*0.0**1296337.25*37.0*0.0*9914824.0*False*9.9604*0.44*0.0*0.44*0.030000000000000002****False*T*2017
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*2018*2018-01-01*2018-12-31*3 en una escala de 1 a 7*1.8650000000000002*-0.23500000000000001**977130.1099999999*140.5*0.0*7006437.0*False*9.4443*1.8*0.0*1.8*0.1****False*Y*2018
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*2018 T2*2018-01-01*2018-06-30*3 en una escala de 1 a 7*4.0200000000000005*-0.23**1391418.3599999999*155.0*0.0*11960921.0*False*9.8655*0.45*0.0*0.45*0.030000000000000002****False*T*2018
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*2018 T4*2018-07-01*2018-12-31*3 en una escala de 1 a 7*2.0700000000000003*-0.29000000000000004**305348.97*108.0*0.0*7006437.0*False*9.4443*0.46*0.0*0.46*0.020000000000000004****False*T*2018
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*2019*2019-01-01*2019-12-31*3 en una escala de 1 a 7*0.08*-0.365**721748.185*127.0*0.0*6952379.0*False*9.5485*1.8*0.0*1.8*0.1****False*Y*2019
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*2019 T2*2019-01-01*2019-06-30*3 en una escala de 1 a 7*0.1*-0.33**704810.17*126.0*0.0*6681236.0*False*9.3393*0.45*0.0*0.45*0.030000000000000002****False*T*2019
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*2019 T4*2019-07-01*2019-12-31*3 en una escala de 1 a 7*0.1*-0.47**734465.73*127.0*0.0*6952379.0*False*9.5485*0.46*0.0*0.46*0.020000000000000004****False*T*2019
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*2019*2019-01-01*2019-12-31*3 en una escala de 1 a 7*0.08*-0.365**721748.185*127.0*0.0*6952379.0*False*9.5485*1.8*0.0*1.8*0.1****False*Y*2019
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*2019 T2*2019-01-01*2019-06-30*3 en una escala de 1 a 7*0.1*-0.33**704810.17*126.0*0.0*6681236.0*False*9.3393*0.45*0.0*0.45*0.030000000000000002****False*T*2019
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*2019 T4*2019-07-01*2019-12-31*3 en una escala de 1 a 7*0.1*-0.47**734465.73*127.0*0.0*6952379.0*False*9.5485*0.46*0.0*0.46*0.020000000000000004****False*T*2019
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*2020*2020-01-01*2020-12-31*3 en una escala de 1 a 7*0.0*-0.5**1456638.8599999999*128.5*0.0*11385716.0*False*7.7388*1.79*0.0*1.79*0.1****False*Y*2020
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*2020 T2*2020-01-01*2020-06-30*3 en una escala de 1 a 7*0.0*-0.47**1513715.65*127.0*0.0*11299388.0*False*7.8358*0.45*0.0*0.45*0.030000000000000002****False*T*2020
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*2020 T4*2020-07-01*2020-12-31*3 en una escala de 1 a 7*0.0*-0.53**1495380.6300000001*131.0*0.0*11385716.0*False*7.7388*0.45*0.0*0.45*0.020000000000000004****False*T*2020
