fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2017*2017-01-01*2017-12-31*2, de una escala del 1 al 7*0.0*0.29000000000000004**55162.60496*309.5*0.0*4668342.0*False*90.7043*0.25*0.0*0.25*0.1****False*Y*2017
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2017 T2*2017-01-01*2017-06-30*2, de una escala del 1 al 7*-0.24*0.33**43179.358886*293.0*0.0*5357606.0*False*91.0267*0.06*0.0*0.06*0.030000000000000002****False*T*2017
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2017 T4*2017-07-01*2017-12-31*2, de una escala del 1 al 7*0.0*0.25**48254.973450000005*286.0*0.0*4668342.0*False*90.7043*0.06*0.0*0.06*0.020000000000000004****False*T*2017
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2018*2018-01-01*2018-12-31*2, de una escala del 1 al 7*0.0*0.25**46102.7684265*253.5*0.0*4530135.0*False*89.9754*0.24*0.0*0.24*0.1****False*Y*2018
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2018 T2*2018-01-01*2018-06-30*2, de una escala del 1 al 7*0.0*0.25**40121.64524499999*238.0*0.0*3780515.0*False*90.3199*0.06*0.0*0.06*0.030000000000000002****False*T*2018
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2018 T4*2018-07-01*2018-12-31*2, de una escala del 1 al 7*-0.31*0.25**59097.861207*255.0*0.0*4530135.0*False*89.9754*0.04999999999999999*0.0*0.04999999999999999*0.020000000000000004****False*T*2018
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2019 T2*2019-01-01*2019-06-30*2*-0.11*-0.79**50830.235441000004*245.0*0.0*4358243.0*False*89.6279*0.06*0.0*0.06*0.030000000000000002****False*T*2019
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2020*2020-01-01*2020-12-31*2*0.565*-0.53**52090.095*277.0*0.0*4257777.0*False*88.3729*0.25*0.0*0.25*0.1****False*Y*2020
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2020 T2*2020-01-01*2020-06-30*2*2.26*-0.6200000000000001**52199.549999999996*286.0*0.0*4966167.0*False*88.6807*0.06*0.0*0.06*0.030000000000000002****False*T*2020
RENTA 4 FONDTESORO CORTO PLAZO, FI*RENTA 4 FONDTESORO CORTO PLAZO FI*2020 T4*2020-07-01*2020-12-31*2*0.0*-0.48**28868.819999999992*223.0*0.0*4257777.0*False*88.3729*0.07*0.0*0.07*0.020000000000000004****False*T*2020
