fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BLUENOTE GLOBAL EQUITY, FI*ALTAIR BOLSA FI*2015*2015-01-01*2015-12-31*6, de una escala del 1 al 7*1.4849999999999999*0.0**513392.4180415*75.0*0.0*5838186.0*False*10.8044*1.38*0.37*1.75*0.1****False*Y*2015
BLUENOTE GLOBAL EQUITY, FI*ALTAIR BOLSA FI*2015 T2*2015-01-01*2015-06-30*6, de una escala del 1 al 7*3.06*0.010000000000000002**550601.1952649999*72.0*0.0*5239228.0*False*10.7707*0.34*-0.38999999999999996*-0.050000000000000044*0.030000000000000002****False*T*2015
BLUENOTE GLOBAL EQUITY, FI*ALTAIR BOLSA FI*2015 T4*2015-07-01*2015-12-31*6, de una escala del 1 al 7*1.86*-0.06**546290.5637*105.0*0.0*5838186.0*False*10.8044*0.36999999999999994*0.31*0.6799999999999999*0.020000000000000004****False*T*2015
BLUENOTE GLOBAL EQUITY, FI*ALTAIR BOLSA FI*2016 T2*2016-01-01*2016-06-30*6, de una escala del 1 al 7*5.0*-0.7699999999999999**526434.3732970001*134.0*0.0*5161332.0*False*10.0847*0.33*0.0*0.33*0.02****False*T*2016
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY, FI*2017*2017-01-01*2017-12-31*6, de una escala del 1 al 7*0.31*-0.525**465851.81404900004*133.0*0.0*5610533.0*False*12.0259*1.35*0.72*2.07*0.08****False*Y*2017
BLUENOTE GLOBAL EQUITY, FI*ALTAIR BOLSA FI*2017 T2*2017-01-01*2017-06-30*6, de una escala del 1 al 7*0.39*-0.64**304618.9658300001*156.0*0.0*5447351.0*False*11.7106*0.34*0.08000000000000002*0.41999999999999993*0.02****False*T*2017
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY, FI*2017 T4*2017-07-01*2017-12-31*6, de una escala del 1 al 7*0.3*-0.25**580068.869467*98.0*0.0*5610533.0*False*12.0259*0.34*0.010000000000000009*0.35*0.02****False*T*2017
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY, FI*2017*2017-01-01*2017-12-31*6, de una escala del 1 al 7*0.31*-0.525**465851.81404900004*133.0*0.0*5610533.0*False*12.0259*1.35*0.72*2.07*0.08****False*Y*2017
BLUENOTE GLOBAL EQUITY, FI*ALTAIR BOLSA FI*2017 T2*2017-01-01*2017-06-30*6, de una escala del 1 al 7*0.39*-0.64**304618.9658300001*156.0*0.0*5447351.0*False*11.7106*0.34*0.08000000000000002*0.41999999999999993*0.02****False*T*2017
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY, FI*2017 T4*2017-07-01*2017-12-31*6, de una escala del 1 al 7*0.3*-0.25**580068.869467*98.0*0.0*5610533.0*False*12.0259*0.34*0.010000000000000009*0.35*0.02****False*T*2017
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY, FI*2018*2018-01-01*2018-12-31*6, de una escala del 1 al 7*0.43*0.25**595502.4645165*91.5*0.0*8120333.0*False*11.0634*1.35*0.0*1.35*0.08****False*Y*2018
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY, FI*2018 T2*2018-01-01*2018-06-30*6, de una escala del 1 al 7*0.65*0.25**484739.04574800003*64.0*0.0*5445704.0*False*11.9155*0.34*0.0*0.34*0.02****False*T*2018
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY, FI*2018 T4*2018-07-01*2018-12-31*6, de una escala del 1 al 7*0.48*0.25**839363.105643*147.0*0.0*8120333.0*False*11.0634*0.34*0.0*0.34*0.02****False*T*2018
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY FI*2019 T2*2019-01-01*2019-06-30*6*-0.020000000000000018*-0.33**738720.7351769999*107.0*0.0*9332498.0*False*12.2458*0.34*0.17*0.49999999999999994*0.02****False*T*2019
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY FI*2019 T2*2019-01-01*2019-06-30*6*-0.020000000000000018*-0.33**738720.7351769999*107.0*0.0*9332498.0*False*12.2458*0.34*0.17*0.49999999999999994*0.02****False*T*2019
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY FI*2020*2020-01-01*2020-12-31*6*0.37*-0.53**806026.8049999999*110.0*0.0*9896653.0*False*12.7784*1.35*0.0*1.35*0.08****False*Y*2020
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY FI*2020 T2*2020-01-01*2020-06-30*5*0.5499999999999999*-0.57**837292.39*108.0*0.0*9744684.0*False*11.6345*0.33*0.0*0.33*0.02****False*T*2020
BLUENOTE GLOBAL EQUITY, FI*BLUE NOTE GLOBAL EQUITY FI*2020 T4*2020-07-01*2020-12-31*6*0.53*-0.59**719383.9999999999*111.0*0.0*9896653.0*False*12.7784*0.34*0.0*0.34*0.02****False*T*2020
