fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CORTO PLAZO F.I.*2018*2018-01-01*2018-12-31*1, en una escala del 1 al 7*0.0*-0.395**3024.26*191.0*0.0*3999872.0*False*1478.5531*0.0*0.0*0.0*0.1****False*Y*2018
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CORTO PLAZO F.I.*2018 T2*2018-01-01*2018-06-30*1, en una escala del 1 al 7*0.0*-0.39**3024.4600000000005*181.0*0.0*4958891.0*False*1483.2499*0.0*0.0*0.0*0.030000000000000002****False*T*2018
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CORTO PLAZO F.I.*2018 T4*2018-07-01*2018-12-31*1, en una escala del 1 al 7*0.0*-0.4**2148.6600000000003*176.0*0.0*3999872.0*False*1478.5531*0.0*0.0*0.0*0.020000000000000004****False*T*2018
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2019*2019-01-01*2019-12-31*1 en una escala de 1 a 7*0.0*-0.125**3681.325*182.0*0.0*4926220.0*False*1469.6749*0.0*0.0*0.0*0.09****False*Y*2019
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2019 T2*2019-01-01*2019-06-30*1 en una escala de 1 a 7*0.0*0.38**4963.17*179.0*0.0*5911475.0*False*1473.912*0.0*0.0*0.0*0.030000000000000002****False*T*2019
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2019 T4*2019-07-01*2019-12-31*1 en una escala de 1 a 7*0.0*-0.43**3100.6699999999996*178.0*0.0*4926220.0*False*1469.6749*0.0*0.0*0.0*0.02****False*T*2019
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2019*2019-01-01*2019-12-31*1 en una escala de 1 a 7*0.0*-0.125**3681.325*182.0*0.0*4926220.0*False*1469.6749*0.0*0.0*0.0*0.09****False*Y*2019
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2019 T2*2019-01-01*2019-06-30*1 en una escala de 1 a 7*0.0*0.38**4963.17*179.0*0.0*5911475.0*False*1473.912*0.0*0.0*0.0*0.030000000000000002****False*T*2019
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2019 T4*2019-07-01*2019-12-31*1 en una escala de 1 a 7*0.0*-0.43**3100.6699999999996*178.0*0.0*4926220.0*False*1469.6749*0.0*0.0*0.0*0.02****False*T*2019
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2020*2020-01-01*2020-12-31*1 en una escala de 1 a 7*0.0*0.044999999999999984**4820.18*202.0*0.0*6625770.0*False*1459.54*0.0*0.0*0.0*0.08****False*Y*2020
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2020 T2*2020-01-01*2020-06-30*1 en una escala de 1 a 7*0.0*1.7799999999999998**4433.779999999999*199.0*0.0*7469658.0*False*1464.4292*0.0*0.0*0.0*0.02****False*T*2020
MERCHBANC FONDTESORO CORTO PLAZO, FI*MERCHBANC FONDTESORO CP, FI*2020 T4*2020-07-01*2020-12-31*1 en una escala de 1 a 7*0.0*-0.53**3723.16*192.0*0.0*6625770.0*False*1459.54*0.0*0.0*0.0*0.02****False*T*2020
