fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PREMIER*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.465*-0.16999999999999998**2349450.17*15.0**31063000.0*False*11.8506*0.7*0.0*0.7*0.05****True*Y*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PREMIER*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.13**2048846.0299999998*11.0**24285000.0*False*11.6885*0.17999999999999997*0.0*0.17999999999999997*0.01****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PREMIER*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*1.86*-0.21**2633759.3800000004*17.0**31063000.0*False*11.8506*0.16999999999999998*0.0*0.16999999999999998*0.019999999999999997****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - CARTERA*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.465*-0.16999999999999998**0.0*0.0**0.0*False*11.7115*0.0*0.0*0.0*0.0****True*Y*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - CARTERA*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.13**0.0*0.0**0.0*False*11.5846*0.0*0.0*0.0*0.0****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - CARTERA*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*1.86*-0.21**0.0*0.0**0.0*False*11.7115*0.0*0.0*0.0*0.0****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - EMPRESA*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.465*-0.16999999999999998**228554.77500000002*4.5**3687000.0*False*11.9412*0.94*0.0*0.94*0.05****True*Y*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - EMPRESA*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.13**105345.09*2.0**1749000.0*False*11.7927*0.24000000000000002*0.0*0.24000000000000002*0.01****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - EMPRESA*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*1.86*-0.21**308212.19000000006*6.0**3687000.0*False*11.9412*0.24*0.0*0.24*0.019999999999999997****True*T*2017
INVERSABADELL 25, FI*INVERSABADELL 25, FI - PYME*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.465*-0.16999999999999998**169749.485*53.5**1950000.0*False*11.8768*1.32*0.0*1.32*0.05****True*Y*2017
