fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER FINANZAS GLOBALES, FI*BK SECTOR FINANZAS, FI*2009*2009-01-01*2009-12-31*Alto*0.0*0.67**14305.21*778.5*0.0*8202899.0*False*552.7911***1.12*0.1****False*Y*2009
BANKINTER FINANZAS GLOBALES, FI*BK SECTOR FINANZAS, FI*2009 T4*2009-07-01*2009-12-31*Alto*0.0*0.26**13093.529999999999*694.0*0.0*8202899.0*False*552.7911***0.29*0.020000000000000004****False*T*2009
BANKINTER FINANZAS GLOBALES, FI*BK SECTOR FINANZAS, FI*2010*2010-01-01*2010-12-31*Alto*0.325*0.42000000000000004**11125.125*609.0*0.0*5378551.0*False*486.3699***1.15*0.1****False*Y*2010
BANKINTER FINANZAS GLOBALES, FI*BK SECTOR FINANZAS, FI*2010 T2*2010-01-01*2010-06-30*Alto*1.23*0.3400000000000001**9781.650000000001*578.0*0.0*5176749.0*False*462.5531***0.2899999999999999*0.020000000000000004****False*T*2010
BANKINTER FINANZAS GLOBALES, FI*BK SECTOR FINANZAS, FI*2010 T4*2010-07-01*2010-12-31*Alto*0.0*0.6300000000000001**11570.82*548.0*0.0*5378551.0*False*486.3699***0.29*0.020000000000000004****False*T*2010
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2011*2011-01-01*2011-12-31*Muy Alto*0.24*0.905**14748.565*589.5*0.0*6495792.0*False*366.3513***1.4100000000000001*0.1****False*Y*2011
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2011 T2*2011-01-01*2011-06-30*Muy Alto*0.06999999999999995*0.8899999999999999**10876.52*665.0*0.0*5594678.0*False*475.4918***0.37*0.020000000000000004****False*T*2011
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2011 T4*2011-07-01*2011-12-31*Muy Alto*0.0*1.1500000000000001**19798.170000000002*486.0*0.0*6495792.0*False*366.3513***0.38*0.020000000000000004****False*T*2011
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2012 T2*2012-01-01*2012-06-30*7, de una escala del 1 al 7*-0.7*0.3**52401.82*425.0*0.0*11301771.0*False*371.79699999999997*0.36*0.0*0.36*0.020000000000000004****False*T*2012
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2013*2013-01-01*2013-12-31*7, en una escala del 1 al 7*0.0*1.0350000000000001**16987.815*454.5*0.0*7583036.0*False*560.6402*1.51*0.0*1.51*0.1****False*Y*2013
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2013 T2*2013-01-01*2013-06-30*7, en una escala del 1 al 7*0.0*1.0600000000000003**29931.549999999996*395.0*0.0*9575103.0*False*468.2212*0.37*0.0*0.37*0.020000000000000004****False*T*2013
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2013 T4*2013-07-01*2013-12-31*7, en una escala del 1 al 7*0.0*1.19**5576.68*508.0*0.0*7583036.0*False*560.6402*0.38*0.0*0.38*0.020000000000000004****False*T*2013
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2014*2014-01-01*2014-12-31*7, en una escala del 1 al 7*0.0*0.8899999999999999**22276.170000000002*1190.5*0.0*16530357.0*False*559.0832*1.49*0.0*1.49*0.1****False*Y*2014
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2014 T2*2014-01-01*2014-06-30*7, en una escala del 1 al 7*0.0*1.14**13521.600000000002*707.0*0.0*8256288.0*False*550.9540000000001*0.37*0.0*0.37*0.020000000000000004****False*T*2014
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2014 T4*2014-07-01*2014-12-31*7, en una escala del 1 al 7*0.0*0.43999999999999995**37822.29000000001*1843.0*0.0*16530357.0*False*559.0832*0.37*0.0*0.37*0.020000000000000004****False*T*2014
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2015*2015-01-01*2015-12-31*7, en una escala del 1 al 7*0.305*0.42500000000000004**12069.605*425.5*0.0*6693226.0*False*581.7766*1.51*0.0*1.51*0.1****False*Y*2015
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2015 T2*2015-01-01*2015-06-30*7, en una escala del 1 al 7*0.6599999999999999*0.45**11329.349999999999*407.0*0.0*7886263.0*False*624.1896*0.37*0.0*0.37*0.020000000000000004****False*T*2015
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2015 T4*2015-07-01*2015-12-31*7, en una escala del 1 al 7*0.010000000000000009*0.35000000000000003**10994.029999999999*396.0*0.0*6693226.0*False*581.7766*0.38*0.0*0.38*0.020000000000000004****False*T*2015
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2016*2016-01-01*2016-12-31*7, en una escala del 1 al 7*0.9450000000000001*0.18**17202.16*610.0*0.0*11564951.0*False*581.5541*1.5*0.0*1.5*0.1****False*Y*2016
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2016 T2*2016-01-01*2016-06-30*7, en una escala del 1 al 7*-0.6300000000000001*0.21000000000000002**10083.880000000001*330.0*0.0*6765846.0*False*466.0307*0.38*0.0*0.38*0.020000000000000004****False*T*2016
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2016 T4*2016-07-01*2016-12-31*7, en una escala del 1 al 7*2.0100000000000002*0.12**25518.770000000004*1119.0*0.0*11564951.0*False*581.5541*0.37*0.0*0.37*0.020000000000000004****False*T*2016
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS FI*2017*2017-01-01*2017-12-31*7, en una escala del 1 al 7*1.31*0.05**17136.875*675.5*0.0*10255705.0*False*609.4603*1.5*0.0*1.5*0.1****False*Y*2017
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2017 T2*2017-01-01*2017-06-30*7, en una escala del 1 al 7*2.5500000000000003*0.1**15468.82*582.0*0.0*10559226.0*False*605.244*0.37*0.0*0.37*0.020000000000000004****False*T*2017
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS FI*2017 T4*2017-07-01*2017-12-31*7, en una escala del 1 al 7*0.9500000000000001*-0.05**18240.18*665.0*0.0*10255705.0*False*609.4603*0.38*0.0*0.38*0.020000000000000004****False*T*2017
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS FI*2017*2017-01-01*2017-12-31*7, en una escala del 1 al 7*1.31*0.05**17136.875*675.5*0.0*10255705.0*False*609.4603*1.5*0.0*1.5*0.1****False*Y*2017
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS, FI,*2017 T2*2017-01-01*2017-06-30*7, en una escala del 1 al 7*2.5500000000000003*0.1**15468.82*582.0*0.0*10559226.0*False*605.244*0.37*0.0*0.37*0.020000000000000004****False*T*2017
BANKINTER FINANZAS GLOBALES, FI*BANKINTER SECTOR FINANZAS FI*2017 T4*2017-07-01*2017-12-31*7, en una escala del 1 al 7*0.9500000000000001*-0.05**18240.18*665.0*0.0*10255705.0*False*609.4603*0.38*0.0*0.38*0.020000000000000004****False*T*2017
BANKINTER FINANZAS GLOBALES, FI*CLASE R*2018*2018-01-01*2018-12-31*7, en una escala del 1 al 7*1.5899999999999999*0.025**22689.685*1442.5*0.0*9165885.0*False*501.9066*1.5*0.0*1.5*0.1****True*Y*2018
