fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
COBAS IBERIA, FI*COBAS IBERIA FI*2017*2017-01-01*2017-12-31*6 en una escala de 1 a 7*0.61*0.0**398474.37*1397.5*0.0*50313703.0*False*110.1931*1.4300000000000002*0.0*1.4300000000000002*0.03****False*Y*2017
COBAS IBERIA, FI*COBAS IBERIA FI*2017 T2*2017-01-01*2017-06-30*6 en una escala de 1 a 7*1.16*0.0**580954.97*2110.0*0.0*37206263.0*False*109.3167*0.55*0.0*0.55*0.01****False*T*2017
COBAS IBERIA, FI*COBAS IBERIA FI*2017 T4*2017-07-01*2017-12-31*6 en una escala de 1 a 7*1.0*0.0**536518.1000000001*1886.0*0.0*50313703.0*False*110.1931*0.44*0.0*0.44*0.01****False*T*2017
COBAS IBERIA, FI*Cobas Iberia, FI*2018*2018-01-01*2018-12-31*6 en una escala de 1 a 7*0.775*-0.075**594019.935*2267.0*0.0*56462522.0*False*94.6425*1.75*0.0*1.75*0.04****False*Y*2018
COBAS IBERIA, FI*COBAS IBERIA FI*2018 T2*2018-01-01*2018-06-30*6 en una escala de 1 a 7*1.17*0.0**625171.9500000001*2422.0*0.0*67634204.0*False*114.3527*0.44*0.0*0.44*0.01****False*T*2018
COBAS IBERIA, FI*Cobas Iberia, FI*2018 T4*2018-07-01*2018-12-31*6 en una escala de 1 a 7*1.1300000000000001*-0.3**586754.1599999999*2290.0*0.0*56462522.0*False*94.6425*0.44*0.0*0.44*0.01****False*T*2018
COBAS IBERIA, FI*Cobas Iberia, FI*2018*2018-01-01*2018-12-31*6 en una escala de 1 a 7*0.775*-0.075**594019.935*2267.0*0.0*56462522.0*False*94.6425*1.75*0.0*1.75*0.04****False*Y*2018
COBAS IBERIA, FI*COBAS IBERIA FI*2018 T2*2018-01-01*2018-06-30*6 en una escala de 1 a 7*1.17*0.0**625171.9500000001*2422.0*0.0*67634204.0*False*114.3527*0.44*0.0*0.44*0.01****False*T*2018
COBAS IBERIA, FI*Cobas Iberia, FI*2018 T4*2018-07-01*2018-12-31*6 en una escala de 1 a 7*1.1300000000000001*-0.3**586754.1599999999*2290.0*0.0*56462522.0*False*94.6425*0.44*0.0*0.44*0.01****False*T*2018
COBAS IBERIA, FI*Cobas Iberia, FI*2019 T2*2019-01-01*2019-06-30*6 en una escala de 1 a 7*1.1400000000000001*0.0**529497.9200000002*2245.0*0.0*54744916.0*False*98.0923*0.44*0.0*0.44*0.01****False*T*2019
COBAS IBERIA, FI*Cobas Iberia, FI*2020 T2*2020-01-01*2020-06-30*6 en una escala de 1 a 7*0.62*0.0**433193.84*1988.0*0.0*30156033.0*False*66.992*0.44*0.0*0.44*0.01****False*T*2020
