fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009*2009-01-01*2009-12-31*alta*0.135*0.36**1562580.8*835.0*0.0*8195671.0*False*5.018***2.25*0.09****False*Y*2009
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009 T4*2009-07-01*2009-12-31*alta*0.14*0.48**1697977.73*853.0*0.0*8195671.0*False*5.018***0.5599999999999999*0.02****False*T*2009
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2014 T2*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.2*0.12**2230127.1799999997*1078.0*0.0*20070706.0*False*8.6664*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2014
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2015*2015-01-01*2015-12-31*6 (En una escala del 1 al 7)*0.125*0.0**2495725.8600000003*1180.5*0.0*26369823.0*False*10.0396*2.25*0.0*2.25*0.1****False*Y*2015
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2015 T2*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.08*0.0**2399172.7600000002*1174.0*0.0*24134939.0*False*10.2056*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2015
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2015 T4*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.41*0.0**2826618.3800000004*1247.0*0.0*26369823.0*False*10.0396*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2015
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2016*2016-01-01*2016-12-31*6 (En una escala del 1 al 7)*0.11499999999999999*-0.025**2664470.2350000003*1252.5*0.0*28574254.0*False*10.6705*2.25*0.0*2.25*0.1****False*Y*2016
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2016 T2*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.1*0.0**2680110.4800000004*1239.0*0.0*26360606.0*False*9.9434*0.56*0.0*0.56*0.030000000000000002****False*T*2016
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2016 T4*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.26*-0.1**2592236.17*1289.0*0.0*28574254.0*False*10.6705*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2016
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2017*2017-01-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**2689989.25*1333.0*0.0*34129377.0*False*12.3033*2.25*0.0*2.25*0.1****False*Y*2017
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2017 T2*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*-0.05*-0.3**2575745.1100000003*1317.0*0.0*31214785.0*False*11.9782*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2017
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2017 T4*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**2904730.07*1382.0*0.0*34129377.0*False*12.3033*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****False*T*2017
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2018*2018-01-01*2018-12-31*6 (En una escala del 1 al 7)*0.055*-0.3**2676473.3049999997*1496.5*0.0*29737272.0*False*11.1098*2.25*0.0*2.25*0.1****False*Y*2018
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2018 T2*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*-0.04*-0.3**2473740.94*1520.0*0.0*33734910.0*False*12.6051*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****False*T*2018
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2018 T4*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.22*-0.3**2604174.2299999995*1499.0*0.0*29737272.0*False*11.1098*0.5599999999999999*0.0*0.5599999999999999*0.030000000000000002****False*T*2018
