fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2016 T2*2016-01-01*2016-06-30*3 en una escala de 1 a 7.*1.31*0.0**19661010.06*14767.0*0.0*237427689.0*False*11.9035*0.3*0.0*0.3*0.0****False*T*2016
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2016 T4*2016-07-01*2016-12-31*3 en una escala de 1 a 7.*1.23*0.0**18972437.5*14366.0*0.0*232570393.0*False*11.8666*0.3*0.0*0.3*0.0****False*T*2016
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2017*2017-01-01*2017-12-31*3 en una escala del 1 al 7*0.98*0.0**18811447.93*14635.5*0.0*223577380.0*False*11.995999999999999*1.2**1.2*0.0****False*Y*2017
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2017 T2*2017-01-01*2017-06-30*3 en una escala de 1 a 7.*1.92*0.0**18815224.009999998*14753.0*0.0*226383270.0*False*11.9242*0.3*0.0*0.3*0.0****False*T*2017
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2017 T4*2017-07-01*2017-12-31*3 en una escala del 1 al 7*1.18*0.0**18494746.89*14592.0*0.0*223577380.0*False*11.995999999999999*0.3**0.3*0.0****False*T*2017
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2018*2018-01-01*2018-12-31*3 en una escala del 1 al 7*0.69*0.0**16234593.895*13031.5*0.0*176624831.0*False*11.475999999999999*1.21**1.21*0.0****False*Y*2018
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2018 T2*2018-01-01*2018-06-30*3 en una escala del 1 al 7*1.41*0.0**16231171.2*13145.0*0.0*200667071.0*False*11.7498*0.3**0.3*0.0****False*T*2018
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2018 T4*2018-07-01*2018-12-31*3 en una escala del 1 al 7*0.5700000000000001*0.0**14267121.64*11597.0*0.0*176624831.0*False*11.475999999999999*0.31**0.31*0.0****False*T*2018
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2019 T2*2019-01-01*2019-06-30*3 en una escala del 1 al 7*0.7399999999999999*0.0**13367186.88*10942.0*0.0*169855472.0*False*12.0008*0.3**0.3*0.0****False*T*2019
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2020*2020-01-01*2020-12-31*3 en una escala del 1 al 7*0.9900000000000001*0.0**10615507.84*8982.5*0.0*131588014.0*False*12.6018*1.2**1.2*0.0****False*Y*2020
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2020 T2*2020-01-01*2020-06-30*3 en una escala del 1 al 7*0.16999999999999998*0.0**10253121.149999999*8923.0*0.0*129457149.0*False*11.999*0.3**0.3*0.0****False*T*2020
ING DIRECT FONDO NARANJA CONSERVADOR, FI*ING DIRECT FONDO NARANJA CONSERVADOR, FI*2020 T4*2020-07-01*2020-12-31*3 en una escala del 1 al 7*3.56*0.0**10371293.81*8615.0*0.0*131588014.0*False*12.6018*0.3**0.3*0.0****False*T*2020
