fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2011*2011-01-01*2011-12-31*MUY ALTO*0.06*0.42000000000000004**2427475.81*55.0*0.0*3984599.0*False*0.8748***1.25*0.09****False*Y*2011
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2011 T2*2011-01-01*2011-06-30*MUY ALTO*0.0*0.1**300000.0*1.0*0.0*297706.0*False*0.9924***0.41*0.03****False*T*2011
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2011 T4*2011-07-01*2011-12-31*MUY ALTO*0.13999999999999999*1.1400000000000001**4999523.0*109.0*0.0*3984599.0*False*0.8748***0.42*0.03****False*T*2011
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2012*2012-01-01*2012-12-31*MUY ALTO*0.265*0.22999999999999998**4646597.625*107.0*0.0*4459911.0*False*0.9717*1.65**1.65*0.12****False*Y*2012
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2012 T2*2012-01-01*2012-06-30*MUY ALTO*0.48000000000000004*0.17999999999999994**4705313.789999999*108.0*0.0*4594664.0*False*0.9768*0.41**0.41*0.03****False*T*2012
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2012 T4*2012-07-01*2012-12-31*MUY ALTO*0.39*0.03999999999999998**4557584.600000001*105.0*0.0*4459911.0*False*0.9717*0.42**0.42*0.03****False*T*2012
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2013*2013-01-01*2013-12-31*MUY ALTO*0.135*0.060000000000000005**4625096.779999999*109.5*0.0*5482372.0*False*1.1832*1.65**1.65*0.12****False*Y*2013
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2013 T2*2013-01-01*2013-06-30*MUY ALTO*0.10999999999999999*0.17**4633407.859999999*102.0*0.0*4839720.0*False*1.0484*0.41**0.41*0.03****False*T*2013
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2013 T4*2013-07-01*2013-12-31*MUY ALTO*0.25*0.02**4623287.4399999995*125.0*0.0*5482372.0*False*1.1832*0.41**0.41*0.03****False*T*2013
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2014*2014-01-01*2014-12-31*MUY ALTO*0.08499999999999999*0.02**4623804.215*116.0*0.0*6952965.0*False*1.5004*1.65**1.65*0.12****False*Y*2014
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2014 T2*2014-01-01*2014-06-30*MUY ALTO*0.05*0.04**4575141.490000001*117.0*0.0*5909806.0*False*1.2809*0.41**0.41*0.03****False*T*2014
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2014 T4*2014-07-01*2014-12-31*MUY ALTO*0.13*-0.02**4608560.550000001*115.0*0.0*6952965.0*False*1.5004*0.41**0.41*0.03****False*T*2014
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2015 T2*2015-01-01*2015-06-30*MUY ALTO*0.54*0.0**4612594.87*117.0*0.0*7890496.0*False*1.7076*0.41**0.41*0.03****False*T*2015
ACACIA PREMIUM FI*ACACIA PREMIUM FI*2016*2016-01-01*2016-12-31*MUY ALTO*0.25*0.015**4916868.484999999*124.5*0.0*8400317.0*False*1.7275*1.65**1.65*0.12****False*Y*2016
