fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2016*2016-01-01*2016-12-31*6, en una escala del 1 al 7*0.15*0.16**106693.32500000001*3822.5*0.0*111640742.0*False*1121.605*1.6*0.0*1.6*0.15000000000000002****False*Y*2016
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2016 T2*2016-01-01*2016-06-30*6, en una escala del 1 al 7*-0.45*0.2**100731.48000000001*4024.0*0.0*115887502.0*False*1017.8959*0.4*0.0*0.4*0.030000000000000006****False*T*2016
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2016 T4*2016-07-01*2016-12-31*6, en una escala del 1 al 7*0.37*0.11000000000000001**78372.97000000002*-2418.0*0.0*111640742.0*False*1121.605*0.4*0.0*0.4*0.04****False*T*2016
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE FI*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.32999999999999996*0.065**122527.10500000001*10815.5*0.0*146382988.0*False*1159.9218*1.6*0.0*1.6*0.15000000000000002****False*Y*2017
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.6399999999999999*0.1**138630.33000000002*16151.0*0.0*136698260.0*False*1150.1411*0.4*0.0*0.4*0.030000000000000006****False*T*2017
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE FI*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*0.39999999999999997*0.009999999999999995**130711.82*12184.0*0.0*146382988.0*False*1159.9218*0.41000000000000003*0.0*0.41000000000000003*0.04****False*T*2017
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE FI*2017*2017-01-01*2017-12-31*6, en una escala del 1 al 7*0.32999999999999996*0.065**122527.10500000001*10815.5*0.0*146382988.0*False*1159.9218*1.6*0.0*1.6*0.15000000000000002****False*Y*2017
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE, FI*2017 T2*2017-01-01*2017-06-30*6, en una escala del 1 al 7*0.6399999999999999*0.1**138630.33000000002*16151.0*0.0*136698260.0*False*1150.1411*0.4*0.0*0.4*0.030000000000000006****False*T*2017
BANKINTER MIXTO FLEXIBLE, FI*BANKINTER MIXTO FLEXIBLE FI*2017 T4*2017-07-01*2017-12-31*6, en una escala del 1 al 7*0.39999999999999997*0.009999999999999995**130711.82*12184.0*0.0*146382988.0*False*1159.9218*0.41000000000000003*0.0*0.41000000000000003*0.04****False*T*2017
BANKINTER MIXTO FLEXIBLE, FI*CLASE R*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.34*-0.13**97282.035*4197.0*0.0*85657562.0*False*999.6071*1.6*0.0*1.6*0.15000000000000002****True*Y*2018
BANKINTER MIXTO FLEXIBLE, FI*CLASE R*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.68*0.0**72147.95*2894.0*0.0*85657562.0*False*999.6071*0.41000000000000003*0.0*0.41000000000000003*0.04****True*T*2018
BANKINTER MIXTO FLEXIBLE, FI*CLASE C*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.34*-0.13**767.3*216.5*0.0*1592757.0*False*1037.9008*0.29*0.0*0.29*0.05****True*Y*2018
BANKINTER MIXTO FLEXIBLE, FI*CLASE C*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.68*0.0**1418.7699999999998*408.0*0.0*1592757.0*False*1037.9008*0.19999999999999998*0.0*0.19999999999999998*0.030000000000000002****True*T*2018
BANKINTER MIXTO FLEXIBLE, FI*CLASE R*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*-0.10999999999999999*-0.02**70988.28000000001*2769.0*0.0*81762690.0*False*1103.714*0.39*0.0*0.39*0.030000000000000006****True*T*2019
BANKINTER MIXTO FLEXIBLE, FI*CLASE C*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*-0.10999999999999999*-0.02**36044.76*11686.0*0.0*20734022.0*False*1149.252*0.18*0.0*0.18*0.030000000000000006****True*T*2019
BANKINTER MIXTO FLEXIBLE, FI*CLASE R*2020 T4*2020-07-01*2020-12-31*5, en una escala del 1 al 7*0.37*0.05**52367.03*2069.0*0.0*60457214.0*False*1111.2262*0.4*0.0*0.4*0.04****True*T*2020
BANKINTER MIXTO FLEXIBLE, FI*CLASE C*2020 T4*2020-07-01*2020-12-31*5, en una escala del 1 al 7*0.37*0.05**-7424.5*-3469.0*0.0*258252.0*False*1171.0847*0.20999999999999996*0.0*0.20999999999999996*0.04****True*T*2020
