fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.205*-0.14500000000000002**7355504.445*450.0**75058000.0*False*11.1819*0.85*0.0*0.85*0.05****True*Y*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.09000000000000001**7956974.43*470.0**88873000.0*False*11.1112*0.21*0.0*0.21*0.01****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.82*-0.16**5820963.24*377.0**75058000.0*False*11.1819*0.22*0.0*0.22*0.019999999999999997****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.205*-0.14500000000000002**1976832.2999999998*15.5**24984000.0*False*11.2618*0.6*0.0*0.6*0.05****True*Y*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.09000000000000001**1522851.81*16.0**19394000.0*False*11.1765*0.15*0.0*0.15*0.01****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.82*-0.16**2061820.0599999996*12.0**24984000.0*False*11.2618*0.15*0.0*0.15*0.019999999999999997****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.205*-0.14500000000000002**0.0*0.0**0.0*False*11.0808*0.0*0.0*0.0*0.0****True*Y*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.09000000000000001**0.0*0.0**0.0*False*11.026*0.0*0.0*0.0*0.0****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.82*-0.16**0.0*0.0**0.0*False*11.0808*0.0*0.0*0.0*0.0****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.205*-0.14500000000000002**320257.46499999997*5.5**3851000.0*False*11.3211*0.85*0.0*0.85*0.05****True*Y*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.09000000000000001**422414.43999999994*7.0**3379000.0*False*11.2496*0.21*0.0*0.21*0.01****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.82*-0.16**408338.04000000004*7.0**3851000.0*False*11.3211*0.22*0.0*0.22*0.019999999999999997****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2017*2017-01-01*2017-12-31*3, en una escala del 1 al 7*0.205*-0.14500000000000002**73379.255*23.5**766000.0*False*11.2667*1.17*0.0*1.17*0.05****True*Y*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2017 T2*2017-01-01*2017-06-30*3, en una escala del 1 al 7*0.0*-0.09000000000000001**96045.44*31.0**884000.0*False*11.2139*0.29999999999999993*0.0*0.29999999999999993*0.01****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.82*-0.16**59011.03000000001*16.0**766000.0*False*11.2667*0.29*0.0*0.29*0.019999999999999997****True*T*2017
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.14*-0.48000000000000004**8771003.84*4325.0**102095000.0*False*10.9259*0.33999999999999997*0.0*0.33999999999999997*0.01****True*T*2018
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.14*-0.48000000000000004**5950855.220000001*373.0**69011000.0*False*11.1602*0.21*0.0*0.21*0.01****True*T*2018
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.14*-0.48000000000000004**2321235.6500000004*14.0**26111000.0*False*11.254000000000001*0.15*0.0*0.15*0.01****True*T*2018
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.14*-0.48000000000000004**0.0*0.0**0.0*False*11.0786*0.0*0.0*0.0*0.0****True*T*2018
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.14*-0.48000000000000004**378002.61*7.0**3598000.0*False*11.2992*0.21*0.0*0.21*0.01****True*T*2018
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2018 T2*2018-01-01*2018-06-30*3, en una escala del 1 al 7*0.14*-0.48000000000000004**46661.030000000006*14.0**585000.0*False*11.2268*0.29*0.0*0.29*0.01****True*T*2018
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.43*-0.245**8204875.994999999*4044.0**87234000.0*False*10.8466*1.4*0.0*1.4*0.05****True*Y*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.73*-0.2**8317733.4399999995*4094.0**90504000.0*False*10.8165*0.33999999999999997*0.0*0.33999999999999997*0.01****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.7999999999999999*-0.39**7778599.68*3915.0**87234000.0*False*10.8466*0.36*0.0*0.36*0.019999999999999997****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.43*-0.245**7276029.4350000005*427.0**86246000.0*False*11.1713*0.85*0.0*0.85*0.05****True*Y*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.73*-0.2**7463181.170000001*433.0**75896000.0*False*11.1094*0.21*0.0*0.21*0.01****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.7999999999999999*-0.39**8127826.43*491.0**86246000.0*False*11.1713*0.22*0.0*0.22*0.019999999999999997****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.43*-0.245**1695948.405*11.5**17550000.0*False*11.3076*0.6*0.0*0.6*0.05****True*Y*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.73*-0.2**1666609.19*12.0**20663000.0*False*11.2308*0.15*0.0*0.15*0.01****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.7999999999999999*-0.39**1375045.7300000002*11.0**17550000.0*False*11.3076*0.15*0.0*0.15*0.019999999999999997****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.43*-0.245**0.0*0.0**0.0*False*0.0*0.0*0.0*0.0*0.0****True*Y*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.73*-0.2**0.0*0.0**0.0*False*11.0668*0.0*0.0*0.0*0.0****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - CARTERA*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.7999999999999999*-0.39**0.0*0.0**0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.43*-0.245**275299.41500000004*5.0**3257000.0*False*11.3104*0.85*0.0*0.85*0.05****True*Y*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.73*-0.2**170582.33999999997*4.0**2954000.0*False*11.2477*0.21*0.0*0.21*0.01****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.7999999999999999*-0.39**202792.09000000003*2.0**3257000.0*False*11.3104*0.22*0.0*0.22*0.019999999999999997****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.43*-0.245**93015.38*26.5**1150000.0*False*11.1831*1.17*0.0*1.17*0.05****True*Y*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.73*-0.2**90558.98*24.0**927000.0*False*11.1394*0.29*0.0*0.29*0.01****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.7999999999999999*-0.39**111369.26*36.0**1150000.0*False*11.1831*0.29*0.0*0.29*0.019999999999999997****True*T*2019
INVERSABADELL 10, FI*INVERSABADELL 10, FI - BASE*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*1.28*-0.37**7370809.379999999*3720.0**80158000.0*False*10.6252*0.35*0.0*0.35*0.01****True*T*2020
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PLUS*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*1.28*-0.37**6894884.210000001*409.0**78235000.0*False*10.9732*0.21*0.0*0.21*0.01****True*T*2020
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PREMIER*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*1.28*-0.37**721704.2799999998*9.0**12444000.0*False*11.122*0.15*0.0*0.15*0.01****True*T*2020
INVERSABADELL 10, FI*INVERSABADELL 10, FI - EMPRESA*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*1.28*-0.37**386441.05*7.0**4293000.0*False*11.1099*0.21*0.0*0.21*0.01****True*T*2020
INVERSABADELL 10, FI*INVERSABADELL 10, FI - PYME*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*1.28*-0.37**132336.59*38.0**1335000.0*False*10.9672*0.29*0.0*0.29*0.01****True*T*2020
