fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BANKIA GESTION ALTERNATIVA, FI*BANKIA GESTIÿN ALTERNATIVA*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.0*0.0**12647.64*1479.0*0.0*773968.0*False*98.9246*0.19*0.0*0.19*0.02****False*T*2017
BANKIA GESTION ALTERNATIVA, FI*BANKIA GESTIÿN ALTERNATIVA*2017 T4*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.0*0.0**12647.64*1479.0*0.0*773968.0*False*98.9246*0.19*0.0*0.19*0.02****False*T*2017
BANKIA GESTION ALTERNATIVA, FI*PT. BANKIA GESTION ALTERNATIVA INTERNA, FI (BGEALIN SM)*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.21999999999999997*-0.055**202422.95500000002*6.0*0.0*21631222.0*False*101.3309*0.0*0.0*0.0*0.0****True*Y*2019
BANKIA GESTION ALTERNATIVA, FI*PT. BANKIA GESTION ALTERNATIVA INTERNA, FI (BGEALIN SM)*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.5399999999999999*-0.22**232366.49000000002*6.0*0.0*21631222.0*False*101.3309*0.0*0.0*0.0*0.0****True*T*2019
BANKIA GESTION ALTERNATIVA, FI*PT. BANKIA GESTION ALTERNATIVA CARTERA, FI*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.21999999999999997*-0.055**1170161.065*68399.5*0.0*131316671.0*False*97.0433*0.75*0.0*0.75*0.1****True*Y*2019
BANKIA GESTION ALTERNATIVA, FI*PT. BANKIA GESTION ALTERNATIVA CARTERA, FI*2019 T2*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.3*0.0**1082766.8399999999*63063.0*0.0*95597003.0*False*96.8418*0.19*0.0*0.19*0.030000000000000002****True*T*2019
BANKIA GESTION ALTERNATIVA, FI*PT. BANKIA GESTION ALTERNATIVA CARTERA, FI*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.5399999999999999*-0.22**1584454.51*90436.0*0.0*131316671.0*False*97.0433*0.19*0.0*0.19*0.020000000000000004****True*T*2019
BANKIA GESTION ALTERNATIVA, FI*PT. BANKIA GESTION ALTERNATIVA INTERNA, FI (BGEALIN SM)*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.0*-0.13999999999999999**206278.51*6.0*0.0*21830299.0*False*98.3809*0.0*0.0*0.0*0.0****True*T*2020
BANKIA GESTION ALTERNATIVA, FI*PT. BANKIA GESTION ALTERNATIVA CARTERA, FI*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.0*-0.13999999999999999**1983085.0699999998*87223.0*0.0*177966106.0*False*93.8207*0.18*0.0*0.18*0.030000000000000002****True*T*2020
