fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACCION EUROSTOXX 50 ETF,FI COTIZADO*2014 T2*2014-01-01*2014-06-30*7 en una escala del 1 al 7*1.02*0.29000000000000004*0.29000000000000004*4380000.0*2744.0*0.0*144396000.0*False*32.9671*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2014
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2014 T4*2014-07-01*2014-12-31*6 en una escala del 1 al 7*0.53*0.12*0.12*3600000.0*2838.0*0.0*126258000.0*False*31.6435*0.04*0.0*0.04*0.019999999999999997****False*T*2014
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2014*2014-01-01*2014-12-31*6 en una escala del 1 al 7*0.41500000000000004*0.21500000000000002*0.21500000000000002*4185000.0*2756.0*0.9199999999999999*126258000.0*False*31.6435*0.15000000000000002*0.0*0.15000000000000002*0.05****False*Y*2014
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACCION EUROSTOXX 50 ETF,FI COTIZADO*2014 T2*2014-01-01*2014-06-30*7 en una escala del 1 al 7*1.02*0.29000000000000004*0.29000000000000004*4380000.0*2744.0*0.0*144396000.0*False*32.9671*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2014
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2014 T4*2014-07-01*2014-12-31*6 en una escala del 1 al 7*0.53*0.12*0.12*3600000.0*2838.0*0.0*126258000.0*False*31.6435*0.04*0.0*0.04*0.019999999999999997****False*T*2014
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2015*2015-01-01*2015-12-31*6 en una escala del 1 al 7*0.30000000000000004*0.055*0.055*4215000.0*3054.0*0.98*129131000.0*False*32.8578*0.15000000000000002*0.0*0.15000000000000002*0.05****False*Y*2015
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2015 T2*2015-01-01*2015-06-30*6 en una escala del 1 al 7*0.5*0.04999999999999999*0.04999999999999999*5010000.0*3034.0*0.0*157127000.0*False*34.9172*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2015
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2015 T4*2015-07-01*2015-12-31*6 en una escala del 1 al 7*0.45000000000000007*0.05*0.05*3510000.0*3231.0*0.0*129131000.0*False*32.8578*0.04*0.0*0.04*0.019999999999999997****False*T*2015
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2016 T2*2016-01-01*2016-06-30*6 en una escala del 1 al 7*0.15999999999999998*0.010000000000000002*0.010000000000000002*3480000.0*3227.0*-0.23*102454000.0*False*29.4408*0.030000000000000006*0.0*0.030000000000000006*0.01****False*T*2016
ACCION EUROSTOXX 50 ETF, FI COTIZADO ARMONIZADO*ACC EUROSTOXX 50 ETF,FI COTIZ ARMONIZADO*2017*2017-01-01*2017-12-31*6 en una escala del 1 al 7*0.06*-0.07500000000000001*-0.07500000000000001*3375000.0*3922.5*0.79*114950000.0*False*35.1528*0.15000000000000002*0.0*0.15000000000000002*0.05****False*Y*2017
