fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO JAPON, FI*"Gaesco
                Japon, F.I"*2009*2009-01-01*2009-12-31*muy alto*0.06*0.36**1056570.8800000001*556.0*0.0*4323318.0*False*4.5680000000000005***2.26*0.1****False*Y*2009
GVCGAESCO JAPON, FI*"Gaesco
                Japon, F.I"*2009 T4*2009-07-01*2009-12-31*muy alto*-0.02*0.36**803257.49*484.0*0.0*4323318.0*False*4.5680000000000005***0.57*0.030000000000000002****False*T*2009
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2010*2010-01-01*2010-12-31*muy alto*0.0*0.24**1283287.4*537.0*0.0*5973610.0*False*5.4595***2.26*0.1****False*Y*2010
GVCGAESCO JAPON, FI*Gaesco Japon, F.I*2010 T2*2010-01-01*2010-06-30*muy alto*0.0*0.6**1693805.3900000001*580.0*0.0*7481780.0*False*5.0813***0.5700000000000001*0.030000000000000002****False*T*2010
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2010 T4*2010-07-01*2010-12-31*muy alto*0.0*0.0**1027950.3799999999*478.0*0.0*5973610.0*False*5.4595***0.57*0.020000000000000004****False*T*2010
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2010*2010-01-01*2010-12-31*muy alto*0.0*0.24**1283287.4*537.0*0.0*5973610.0*False*5.4595***2.26*0.1****False*Y*2010
GVCGAESCO JAPON, FI*Gaesco Japon, F.I*2010 T2*2010-01-01*2010-06-30*muy alto*0.0*0.6**1693805.3900000001*580.0*0.0*7481780.0*False*5.0813***0.5700000000000001*0.030000000000000002****False*T*2010
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2010 T4*2010-07-01*2010-12-31*muy alto*0.0*0.0**1027950.3799999999*478.0*0.0*5973610.0*False*5.4595***0.57*0.020000000000000004****False*T*2010
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2010*2010-01-01*2010-12-31*muy alto*0.0*0.24**1283287.4*537.0*0.0*5973610.0*False*5.4595***2.26*0.1****False*Y*2010
GVCGAESCO JAPON, FI*Gaesco Japon, F.I*2010 T2*2010-01-01*2010-06-30*muy alto*0.0*0.6**1693805.3900000001*580.0*0.0*7481780.0*False*5.0813***0.5700000000000001*0.030000000000000002****False*T*2010
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2010 T4*2010-07-01*2010-12-31*muy alto*0.0*0.0**1027950.3799999999*478.0*0.0*5973610.0*False*5.4595***0.57*0.020000000000000004****False*T*2010
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2011*2011-01-01*2011-12-31*Muy alto*0.005*0.36**1004121.1000000001*463.5*0.0*4689667.0*False*4.9069***2.24*0.1****False*Y*2011
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2011 T2*2011-01-01*2011-06-30*Muy alto*0.0*0.24**933550.2000000002*457.0*0.0*5225103.0*False*4.9644***0.56*0.030000000000000002****False*T*2011
