fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2016 T4*2016-07-01*2016-12-31*4 en una escala de 1 a 7.*0.94*0.0**32561117.279999997*26683.0*0.0*405636564.0*False*12.4147*0.3*0.0*0.3*0.0****False*T*2016
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2017*2017-01-01*2017-12-31*4 en una escala del 1 al 7*1.02*0.0**35935638.735*29006.5*0.0*481892744.0*False*12.8388*1.2**1.2*0.0****False*Y*2017
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2017 T2*2017-01-01*2017-06-30*4 en una escala de 1 a 7.*1.9699999999999998*0.0**35520396.38*29063.0*0.0*431241599.0*False*12.5591*0.29*0.0*0.29*0.0****False*T*2017
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2017 T4*2017-07-01*2017-12-31*4 en una escala del 1 al 7*0.87*0.0**39860366.739999995*31137.0*0.0*481892744.0*False*12.8388*0.31**0.31*0.0****False*T*2017
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2018*2018-01-01*2018-12-31*4 en una escala del 1 al 7*0.435*0.0**38344473.17*31801.5*0.0*449057391.0*False*12.0696*1.2**1.2*0.0****False*Y*2018
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2018 T2*2018-01-01*2018-06-30*4 en una escala del 1 al 7*0.97*0.0**39740996.85*32878.0*0.0*496166421.0*False*12.5665*0.29**0.29*0.0****False*T*2018
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2018 T4*2018-07-01*2018-12-31*4 en una escala del 1 al 7*0.26*0.0**35151669.779999994*30529.0*0.0*449057391.0*False*12.0696*0.31**0.31*0.0****False*T*2018
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2019 T2*2019-01-01*2019-06-30*4 en una escala del 1 al 7*0.6699999999999999*0.0**30640490.910000004*27260.0*0.0*430581075.0*False*12.9365*0.3**0.3*0.0****False*T*2019
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2020*2020-01-01*2020-12-31*4 en una escala del 1 al 7*0.885*0.0**25061639.134999998*22368.0*0.0*345192858.0*False*14.075999999999999*1.2**1.2*0.0****False*Y*2020
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2020 T2*2020-01-01*2020-06-30*4 en una escala del 1 al 7*0.48*0.0**24842017.04*22478.0*0.0*332306502.0*False*12.9809*0.3**0.3*0.0****False*T*2020
ING DIRECT FONDO NARANJA MODERADO, FI*ING DIRECT FONDO NARANJA MODERADO, FI*2020 T4*2020-07-01*2020-12-31*4 en una escala del 1 al 7*2.76*0.0**24195398.91*21256.0*0.0*345192858.0*False*14.075999999999999*0.3**0.3*0.0****False*T*2020
