fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2009*2009-01-01*2009-12-31*medio-alto*0.13*0.36**813942.7949999999*569.0*0.0*5793922.0*False*6.8824***2.25*0.09****False*Y*2009
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2009 T4*2009-07-01*2009-12-31*medio-alto*0.0*0.12**915949.0999999999*601.0*0.0*5793922.0*False*6.8824***0.5599999999999999*0.02****False*T*2009
GVCGAESCO SMALL CAPS, FI*GVC Gaesco Small Caps, F.I.*2010*2010-01-01*2010-12-31*Alto*0.0*0.315**1202942.2650000001*636.5*0.0*11664416.0*False*8.7907***2.25*0.1****False*Y*2010
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2010 T2*2010-01-01*2010-06-30*medio-alto*0.0*0.12**1217399.35*639.0*0.0*7763183.0*False*7.195***0.5700000000000001*0.030000000000000002****False*T*2010
GVCGAESCO SMALL CAPS, FI*GVC Gaesco Small Caps, F.I.*2010 T4*2010-07-01*2010-12-31*Alto*-0.02*0.54**1603489.6*687.0*0.0*11664416.0*False*8.7907***0.5599999999999999*0.030000000000000002****False*T*2010
GVCGAESCO SMALL CAPS, FI*GVC Gaesco Small Caps, F.I.*2010*2010-01-01*2010-12-31*Alto*0.0*0.315**1202942.2650000001*636.5*0.0*11664416.0*False*8.7907***2.25*0.1****False*Y*2010
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2010 T2*2010-01-01*2010-06-30*medio-alto*0.0*0.12**1217399.35*639.0*0.0*7763183.0*False*7.195***0.5700000000000001*0.030000000000000002****False*T*2010
GVCGAESCO SMALL CAPS, FI*GVC Gaesco Small Caps, F.I.*2010 T4*2010-07-01*2010-12-31*Alto*-0.02*0.54**1603489.6*687.0*0.0*11664416.0*False*8.7907***0.5599999999999999*0.030000000000000002****False*T*2010
GVCGAESCO SMALL CAPS, FI*GVC Gaesco Small Caps, F.I.*2010*2010-01-01*2010-12-31*Alto*0.0*0.315**1202942.2650000001*636.5*0.0*11664416.0*False*8.7907***2.25*0.1****False*Y*2010
GVCGAESCO SMALL CAPS, FI*"Gaesco
                Small Caps, F.I."*2010 T2*2010-01-01*2010-06-30*medio-alto*0.0*0.12**1217399.35*639.0*0.0*7763183.0*False*7.195***0.5700000000000001*0.030000000000000002****False*T*2010
GVCGAESCO SMALL CAPS, FI*GVC Gaesco Small Caps, F.I.*2010 T4*2010-07-01*2010-12-31*Alto*-0.02*0.54**1603489.6*687.0*0.0*11664416.0*False*8.7907***0.5599999999999999*0.030000000000000002****False*T*2010
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2011 T4*2011-07-01*2011-12-31*Alto*0.0*1.45**1010695.0800000001*760.0*0.0*8051179.0*False*6.2512***0.57*0.020000000000000004****True*T*2011
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2011 T4*2011-07-01*2011-12-31*Alto*0.0*1.45**0.0*0.0*0.0*0.0*False*6.2513***0.0*0.0****True*T*2011
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2011 T4*2011-07-01*2011-12-31*Alto*0.0*1.45**509041.44*2.0*0.0*1591124.0*False*6.2515***0.37*0.03****True*T*2011
GVCGAESCO SMALL CAPS, FI*GVC Gaesco Small Caps, F.I.*2011 T2*2011-01-01*2011-06-30*Alto*0.04*1.57**1519743.9100000001*830.0*0.0*13268822.0*False*8.5319***0.56*0.030000000000000002****False*T*2011
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2012 T2*2012-01-01*2012-06-30*Alto*1.5499999999999998*1.33**1279325.8*771.0*0.0*8208363.0*False*6.3839999999999995*0.56*0.0*0.56*0.03****True*T*2012
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2012 T2*2012-01-01*2012-06-30*Alto*1.5499999999999998*1.33**0.0*0.0*0.0*0.0*False*6.3842*0.0*0.0*0.0*0.0****True*T*2012
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2012 T2*2012-01-01*2012-06-30*Alto*1.5499999999999998*1.33**196127.16*1.0*0.0*1449323.0*False*6.4322*0.18*0.0*0.18*-0.09****True*T*2012
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2013*2013-01-01*2013-12-31*6 (En una escala del 1 al 7)*0.035*1.94**1742203.005*1032.0*0.0*17669926.0*False*9.6668*2.25*0.0*2.25*0.1****True*Y*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2013 T2*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*1.94**1802857.4799999997*1010.0*0.0*12753315.0*False*7.6989*0.5700000000000001*0.0*0.5700000000000001*0.030000000000000002****True*T*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps, F.I.*2013 T4*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.14*1.94**1896570.0000000002*1247.0*0.0*17669926.0*False*9.6668*0.5599999999999999*0.0*0.5599999999999999*0.020000000000000004****True*T*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2013*2013-01-01*2013-12-31*6 (En una escala del 1 al 7)*0.035*1.94**0.0*0.0*0.0*0.0*False*9.7032*0.0*0.0*0.0*0.0****True*Y*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2013 T2*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*1.94**0.0*0.0*0.0*0.0*False*7.6991*0.0*0.0*0.0*0.0****True*T*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase P, F.I.*2013 T4*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.14*1.94**0.0*0.0*0.0*0.0*False*9.7032*0.0*0.0*0.0*0.0****True*T*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2013*2013-01-01*2013-12-31*6 (En una escala del 1 al 7)*0.035*1.94**638555.0*3.0*0.0*6490922.0*False*9.9162*0.75*0.0*0.75*0.1****True*Y*2013
GVCGAESCO SMALL CAPS, FI*GVCGaesco Small Caps Clase I, F.I.*2013 T2*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*1.94**566895.68*2.0*0.0*4889123.0*False*7.8536*0.19*0.0*0.19*0.030000000000000002****True*T*2013
