fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA CARTERA, FI*2020 S 2*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.0*-0.42**3929.58*9*0.0*330256*false*84.0435*0.18*0.0*0.18*0.05*21.17*25.88*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA UNIVERSAL, FI*2020 S 2*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.0*-0.42**337547.85*2518*0.0*46592270*false*138.0316*0.45*0.0*0.45*0.05*21.0*25.88*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA INTERNA, FI*2020 S 2*2020-07-01*2020-12-31*6, en una escala del 1 al 7*0.0*-0.42**400072.41*3*0.0*36770015*false*91.9084*0.0*0.0*0.0*0.0*21.31*25.88*0.0
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA CARTERA, FI*2020 T 3*2020-07-01*2020-09-30*6, en una escala del 1 al 7*0.0*-0.4**3474.45*9*0.0*240991*false*69.3609*0.09*0.0*0.09*0.03*-6.89*21.7*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA UNIVERSAL, FI*2020 T 3*2020-07-01*2020-09-30*6, en una escala del 1 al 7*0.0*-0.4**398966.55*2676*0.0*45511072*false*114.0724*0.23*0.0*0.23*0.03*-7.02*21.7*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA INTERNA, FI*2020 T 3*2020-07-01*2020-09-30*6, en una escala del 1 al 7*0.0*-0.4**400072.5*3*0.0*30311133*false*75.7641*0.0*0.0*0.0*0.0*-6.79*21.7*0.0
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA CARTERA, FI*2020 S 1*2020-01-01*2020-06-30*6, en una escala del 1 al 7*0.0*-0.26**5435.77*11*0.0*404941*false*74.4957*0.18*0.0*0.18*0.05*7.99*32.34*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA UNIVERSAL, FI*2020 S 1*2020-01-01*2020-06-30*6, en una escala del 1 al 7*0.0*-0.26**379912.86*2683*0.0*46609039*false*122.6835*0.45*0.0*0.45*0.05*7.85*32.34*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDEX ESPAÿA INTERNA, FI*2020 S 1*2020-01-01*2020-06-30*6, en una escala del 1 al 7*0.0*-0.26**400072.6*3*0.0*32517461*false*81.2789*0.0*0.0*0.0*0.0*8.12*32.34*0.0
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX UNIVERSAL, FI*2020 T 1*2020-01-01*2020-03-31*6, en una escala del 1 al 7*0.0*-0.15**345416.39*2485*0.0*39293394*false*113.7566*0.22*0.0*0.22*0.02*-28.5*49.55*0.25
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX CARTERA, FI*2020 T 1*2020-01-01*2020-03-31*6, en una escala del 1 al 7*0.0*-0.15**3713.3*8*0.0*256152*false*68.9823*0.09*0.0*0.09*0.02*-28.49*49.57*0.12
BANKIA INDEX ESPAÑA, FI*PT. BANKIA INDICE IBEX INTERNA, FI*2020 T 1*2020-01-01*2020-03-31*6, en una escala del 1 al 7*0.0*-0.15**400072.54*3*0.0*30076414*false*75.1774*0.0*0.0*0.0*0.0*-28.41*49.57*0.0
