fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2018 T3*2018-07-01*2018-09-30*2 en una escala del 1 al 7*0.55*0.0**2036714.4*193*0.0*266628000*false*130.9109*0.08*0.0*0.08*0.01*-0.06*0.24*0.09*False
BBVA CREDITO EUROPA, FI*BBVA CRÉDITO EUROPA FI*2018 S1*2018-01-01*2018-06-30*2 en una escala del 1 al 7*0.16*-0.16**2049586.01*214*0.0*268486000*false*130.995*0.15*0.0*0.15*0.02*-0.16*0.38*0.09*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2018 T1*2018-01-01*2018-03-31*2 en una escala del 1 al 7*0.16*-0.21**2063046.27*233*0.0*270684000*false*131.2061*0.07*0.0*0.07*0.01*-0.05*0.26*0.09*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2019 T3*2019-07-01*2019-09-30*2 en una escala del 1 al 7*0.17*-0.12**2012197.76*161*0.0*264500000*false*131.4485*0.08*0.0*0.08*0.01*-0.04*0.36*0.09*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2019 S1*2019-01-01*2019-06-30*2 en una escala del 1 al 7*0.79*-0.12**2013824.0*164*0.0*264830000*false*131.5062*0.15*0.0*0.15*0.02*0.25*0.35*0.09*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2019 T1*2019-01-01*2019-03-31*2 en una escala del 1 al 7*0.43*-0.12**2019588.66*168*0.0*264938000*false*131.1839*0.07*0.0*0.07*0.01*0.57*0.27*0.09*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2020 S2*2020-07-01*2020-12-31*2 en una escala del 1 al 7*0.0*-0.12**2654031.64*145*0.0*349101000*false*131.5361*0.07*0.0*0.07*0.03*0.46*0.7*0.05*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2020 T3*2020-07-01*2020-09-30*2 en una escala del 1 al 7*0.0*-0.12**2301736.59*149*0.0*301385000*false*130.9382*0.03*0.0*0.03*0.01*0.76*0.5*0.05*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2020 S1*2020-01-01*2020-06-30*2 en una escala del 1 al 7*0.07*-0.12**2282333.74*150*0.0*296601000*false*129.9551*0.12*0.0*0.12*0.02*2.18*1.6*0.06*False
BBVA CREDITO EUROPA, FI*BBVA CREDITO EUROPA, FI*2020 T1*2020-01-01*2020-03-31*2 en una escala del 1 al 7*0.2*0.0**2004886.85*149*0.0*254978000*false*127.1784*0.07*0.0*0.07*0.01*-3.13*2.62*0.09*False
