fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Semester 1 2019*2019-01-01*2019-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.66*0.0**1278350.39*35*0.0*7455061*false*5.8318*0.16*0.0*0.16*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Semester 1 2019*2019-01-01*2019-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.66*0.0**5239736.92*23*0.0*29363099*false*5.6039*0.5*0.0*0.5*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Trimester 1 2019*2019-01-01*2019-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.43*0.0**396854.28*195*0.0*2191865*false*5.5231*0.33*0.0*0.33*0.02*1.86*2.09*0.39*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Trimester 1 2019*2019-01-01*2019-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.43*0.0**1278350.39*35*0.0*7474798*false*5.8472*0.08*0.0*0.08*0.02*2.11*2.09*0.14*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Trimester 1 2019*2019-01-01*2019-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.43*0.0**5240311.07*24*0.0*29493361*false*5.6282*0.25*0.0*0.25*0.02*1.95*2.09*0.3*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*86783982*Semester 2 2020*2020-07-01*2020-12-31*4630*N/D*ND*6 en una escala de 1 a 7*1.0*-1.07**308095.86*165*0.0*1712849*false*5.5595*0.68*0.0*0.68*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*86783982*Semester 2 2020*2020-07-01*2020-12-31*4630*N/D*ND*6 en una escala de 1 a 7*1.0*-1.07**351632.07*31*0.0*2106996*false*5.992*0.17*0.0*0.17*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*86783982*Semester 2 2020*2020-07-01*2020-12-31*4630*N/D*ND*6 en una escala de 1 a 7*1.0*-1.07**1337842.68*18*0.0*7625848*false*5.7001*0.51*0.0*0.51*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*86783982*Trimester 3 2020*2020-07-01*2020-09-30*4630*N/D*ND*6 en una escala de 1 a 7*0.65*-0.24**308890.6*167*0.0*1587998*false*5.141*0.34*0.0*0.34*0.02*[]*[]*0.37*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*86783982*Trimester 3 2020*2020-07-01*2020-09-30*4630*N/D*ND*6 en una escala de 1 a 7*0.65*-0.24**351632.07*31*0.0*1943395*false*5.5268*0.08*0.0*0.08*0.02*[]*[]*0.13*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*86783982*Trimester 3 2020*2020-07-01*2020-09-30*4630*N/D*ND*6 en una escala de 1 a 7*0.65*-0.24**1438130.12*17*0.0*7573755*false*5.2664*0.25*0.0*0.25*0.02*[]*[]*0.29*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Semester 1 2020*2020-01-01*2020-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.77*-0.5**334075.28*171*0.0*1719086*false*5.1458*0.67*0.0*0.67*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Semester 1 2020*2020-01-01*2020-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.77*-0.5**1213390.72*34*0.0*6695248*false*5.5178*0.16*0.0*0.16*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Semester 1 2020*2020-01-01*2020-06-30*4630*N/D*ND*4 en una escala de 1 a 7*0.77*-0.5**4923524.2*19*0.0*25930746*false*5.2667*0.5*0.0*0.5*0.04*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Trimester 1 2020*2020-01-01*2020-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.44*-0.42**344531.19*177*0.0*1763250*false*5.1178*0.34*0.0*0.34*0.02*-5.66*4.18*0.36*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Trimester 1 2020*2020-01-01*2020-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.44*-0.42**1213390.72*34*0.0*6641959*false*5.4739*0.08*0.0*0.08*0.02*-5.42*4.18*0.11*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE C FONDITEL SMART BETA FI*86783982*Trimester 1 2020*2020-01-01*2020-03-31*4630*N/D*ND*4 en una escala de 1 a 7*0.44*-0.42**4950683.44*21*0.0*25909446*false*5.2335*0.25*0.0*0.25*0.02*-5.58*4.18*0.28*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
