fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 1 2014*2014-01-01*2014-06-30*4630**n.d.*Medio*0.85*0.0**25773.99*33*0.0*158249*false*6.1399*0.16*0.0*0.16*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 1 2014*2014-01-01*2014-06-30*4630**n.d.*Medio*0.85*0.0**6276967.12*54*0.0*38300529*false*6.1018*0.5*0.1*0.6*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Semester 1 2011*2011-01-01*2011-12-31*4630**n.d.*Medio****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 1 2011*2011-01-01*2011-12-31*4630**n.d.*Medio****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 1 2011*2011-01-01*2011-12-31*4630**n.d.*Medio****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Trimester 3 2015*2015-07-01*2015-09-30*4630**n.d.*Medio*0.4*0.0**878085.34*292*0.0*5238520*false*5.9658*0.34*0.0*0.34*0.03*-0.61*2.18*0.37*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Trimester 3 2015*2015-07-01*2015-09-30*4630**n.d.*Medio*0.4*0.0**1659242.34*37*0.0*10111228*false*6.0939*0.08*0.0*0.08*0.03*-0.35*2.18*0.12*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Trimester 3 2015*2015-07-01*2015-09-30*4630**n.d.*Medio*0.4*0.0**6091042.53*45*0.0*36576501*false*6.005*0.25*0.0*0.25*0.03*-0.52*2.18*0.29*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Semester 1 2015*2015-01-01*2015-06-30*4630**n.d.*Medio*0.87*0.0**921429.26*307*0.0*5530608*false*6.0022*0.67*0.0*0.67*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 1 2015*2015-01-01*2015-06-30*4630**n.d.*Medio*0.87*0.0**1687764.03*38*0.0*10320785*false*6.1151*0.16*0.0*0.16*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 1 2015*2015-01-01*2015-06-30*4630**n.d.*Medio*0.87*0.0**6140004.41*46*0.0*37061578*false*6.0361*0.5*0.0*0.5*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Trimester 1 2015*2015-01-01*2015-03-31*4630**n.d.*Medio*0.56*0.0**1045407.38*329*0.0*6335306*false*6.0601*0.33*0.0*0.33*0.03*[]*[]*0.37*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Trimester 1 2015*2015-01-01*2015-03-31*4630**n.d.*Medio*0.56*0.0**1678015.39*37*0.0*10334159*false*6.1586*0.08*0.0*0.08*0.03*[]*[]*0.11*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Trimester 1 2015*2015-01-01*2015-03-31*4630**n.d.*Medio*0.56*0.0**6143460.44*48*0.0*37405247*false*6.0886*0.25*0.01*0.26*0.03*[]*[]*0.28*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
