fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2016 T1*2016-01-01*2016-03-31*muy alto*0.05*0.0**13914570.67*197*0.0*84340250*false*6.0613*0.34*0.02*0.36*0.02*0.21*2.81*0.36*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2017 S2*2017-07-01*2017-12-31*medio alto*0.27*0.0**14296471.66*159*0.0*87045246*false*6.0886*0.68*0.0*0.68*0.05*-1.08*2.12*0.37*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2017 T3*2017-07-01*2017-09-30*medio alto*0.04*0.0**15195161.07*182*0.0*93530128*false*6.1553*0.34*0.0*0.34*0.03*0.14*1.51*0.37*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2017 S1*2017-01-01*2017-06-30*medio alto*0.0*0.0**15581058.43*196*0.0*95773003*false*6.1468*0.67*0.0*0.67*0.05*-0.35*1.33*0.36*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2017 T1*2017-01-01*2017-03-31*medio alto*0.0*0.0**17512560.33*238*0.0*108019664*false*6.1681*0.33**0.33*0.02*-0.55*1.22*0.36*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2018 S2*2018-07-01*2018-12-31*medio alto*0.26*0.0**12721776.29*132*0.0*76859797*false*6.0416*0.68*0.0*0.68*0.05*-0.75*2.76*0.37*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2018 T3*2018-07-01*2018-09-30*medio alto*0.2*0.0**13090554.23*140*0.0*79686210*false*6.0873*0.34*0.0*0.34*0.03*-0.49*2.15*0.37*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2018 S1*2018-01-01*2018-06-30*medio alto*0.32*0.0**13075881.03*141*0.0*79990406*false*6.1174*0.67*0.0*0.67*0.05***0.36*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2018 T1*2018-01-01*2018-03-31*medio alto*0.1*0.0**13951789.71*146*0.0*84287361*false*6.0413*0.33*0.0*0.33*0.02*-0.78*3.23*0.36*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2019 S2*2019-07-01*2019-12-31*medio alto*0.21*-0.26**10272482.09*135*0.0*63414330*false*6.1732*0.68*0.0*0.68*0.04*0.48*1.67*0.38*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2019 T3*2019-07-01*2019-09-30*medio alto*0.15*-0.21**10748075.08*135*0.0*66036157*false*6.144*0.34*0.0*0.34*0.02*0.58*1.96*0.37*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2019 S1*2019-01-01*2019-06-30*medio alto*0.32*-0.16**11186941.2*132*0.0*68335893*false*6.1085*0.67*0.0*0.67*0.04*0.35*2.38*0.37*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2019 T1*2019-01-01*2019-03-31*medio alto*0.26*0.0**12901160.64*135*0.0*78529972*false*6.087*0.33*0.0*0.33*0.02*0.75*1.97*0.36*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2020 S2*2020-07-01*2020-12-31*medio alto*0.49*-0.18**8745555.2*131*0.0*54996834*false*6.2885*0.68*-0.12*0.56*0.04*-0.29*3.52*0.38*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2020 T3*2020-07-01*2020-09-30*medio alto*0.21*-0.21**8717467.14*137*0.0*54977804*false*6.3066*0.34*-0.1*0.24*0.02*-1.09*4.67*0.38*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2020 S1*2020-01-01*2020-06-30*medio alto*0.17*-0.19**8896588.17*129*0.0*56723394*false*6.3759*0.67*0.24*0.91*0.04*5.25*5.77*0.37*False
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2020 T1*2020-01-01*2020-03-31*medio alto*0.0*-0.24**8829980.09*127*0.0*53492291*false*6.058*0.34*0.0*0.34*0.02*-1.87*7.72*0.38*False
