fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CORTO PLAZO, FI*2017 T1*2017-01-01*2017-03-31*Valor 2, en una escala de 1 al 7.*0.0*0.0**17924.98*615*0.0*16205195*false*904.0563*0.15*0.0*0.15*0.03*-0.13*0.3*0.19*False
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2018 T3*2018-07-01*2018-09-30*Valor 2, en una escala de 1 al 7.*0.0*0.0**10791.22*480*0.0*9651222*false*894.3587*0.1*0.0*0.1*0.03*-0.14*0.22*0.14*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2018 T3*2018-07-01*2018-09-30*Valor 2, en una escala de 1 al 7.*0.0*0.0**2428.95*61*0.0*2175332*false*895.5854*0.06*0.0*0.06*0.01*-0.09*0.22*0.07*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2018 S1*2018-01-01*2018-06-30*Valor 2, en una escala de 1 al 7.*0.0*0.0**11259.33*475*0.0*10084020*false*895.6146*0.26*0.0*0.26*0.06*-0.33*0.37*0.15*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2018 S1*2018-01-01*2018-06-30*Valor 2, en una escala de 1 al 7.*0.0*0.0**1555.57*75*0.0*1394397*false*896.3911*0.11*0.0*0.11*0.03*-0.27*0.37*0.11*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2018 T1*2018-01-01*2018-03-31*Valor 2, en una escala de 1 al 7.*0.0*0.0**10017.62*455*0.0*9001267*false*898.5431*0.15*0.0*0.15*0.03*-0.22*0.27*0.2*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2018 T1*2018-01-01*2018-03-31*Valor 2, en una escala de 1 al 7.*0.0*0.0**2692.45*92*0.0*2419990*false*898.8074*0.04*0.0*0.04*0.01*"[<iic-com:rentabilidadiic contextref=""FIM_T12018_V-48716062_da"" decimals=""2"" unitref=""pure"">-0.22</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12018_V-48716062_da"" decimals=""2"" unitref=""pure"">0.27</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T12018_V-48716062_da"" decimals=""2"" unitref=""pure"">0.20</iic-com:ratiototalgastos>]"*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2019 S2*2019-07-01*2019-12-31*Valor 1, en una escala de 1 al 7.*0.0*0.0**26386.55*833*0.0*23535064*false*891.934*0.2*0.0*0.2*0.05*-0.3*0.27*0.13*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2019 S2*2019-07-01*2019-12-31*Valor 1, en una escala de 1 al 7.*0.0*0.0**622.29*33*0.0*557201*false*895.3967*0.13*0.0*0.13*0.03*-0.25*0.27*0.08*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2019 T3*2019-07-01*2019-09-30*Valor 1, en una escala de 1 al 7.*0.0*0.0**23220.65*701*0.0*20773522*false*894.6143*0.1*0.0*0.1*0.03*0.03*0.33*0.13*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2019 T3*2019-07-01*2019-09-30*Valor 1, en una escala de 1 al 7.*0.0*0.0**733.5*42*0.0*658419*false*897.6349*0.06*0.0*0.06*0.01*0.08*0.33*0.07*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2019 S1*2019-01-01*2019-06-30*Valor 1, en una escala de 1 al 7.*0.0*0.0**18255.56*624*0.0*16327141*false*894.3653*0.2*0.0*0.2*0.05*0.1*0.2*0.13*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2019 S1*2019-01-01*2019-06-30*Valor 1, en una escala de 1 al 7.*0.0*0.0**749.44*44*0.0*672196*false*896.9325*0.12*0.0*0.12*0.02*0.15*0.2*0.08*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2019 T1*2019-01-01*2019-03-31*Valor 1, en una escala de 1 al 7.*0.0*0.0**14893.04*572*0.0*13306525*false*893.4727*0.1*0.0*0.1*0.02*0.24*0.21*0.13*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2019 T1*2019-01-01*2019-03-31*Valor 1, en una escala de 1 al 7.*0.0*0.0**1914.68*66*0.0*1714766*false*895.5907*0.06*0.0*0.06*0.01*0.29*0.21*0.08*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2020 S2*2020-07-01*2020-12-31*Valor 1, en una escala de 1 al 7.*0.0*-0.02**30308.18*1005*0.0*26877532*false*886.8079*0.2*0.0*0.2*0.05*-0.01*0.19*0.13*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2020 S2*2020-07-01*2020-12-31*Valor 1, en una escala de 1 al 7.*0.0*-0.02**721.77*55*0.0*644163*false*892.4813*0.08*0.0*0.08*0.03*0.07*0.19*0.06*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2020 T3*2020-07-01*2020-09-30*Valor 1, en una escala de 1 al 7.*0.0*-0.04**30325.1*1010*0.0*26894270*false*886.865*0.1*0.0*0.1*0.03*0.01*0.21*0.12*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2020 T3*2020-07-01*2020-09-30*Valor 1, en una escala de 1 al 7.*0.0*-0.04**1276.23*56*0.0*1138223*false*891.8661*0.04*0.0*0.04*0.01*0.09*0.21*0.04*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2020 S1*2020-01-01*2020-06-30*Valor 1, en una escala de 1 al 7.*0.0*0.0**30150.89*980*0.0*26736834*false*886.7675*0.2*0.0*0.2*0.05*0.42*0.41*0.13*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2020 S1*2020-01-01*2020-06-30*Valor 1, en una escala de 1 al 7.*0.0*0.0**879.37*52*0.0*783601*false*891.0961*0.12*0.0*0.12*0.02*0.47*0.41*0.07*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP A, FI*2020 T1*2020-01-01*2020-03-31*Valor 1, en una escala de 1 al 7.*0.0*0.0**30188.07*954*0.0*26658103*false*883.0676*0.1*0.0*0.1*0.02*-0.99*0.94*0.13*True
CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI*CI FONDTESORO CP I, FI*2020 T1*2020-01-01*2020-03-31*Valor 1, en una escala de 1 al 7.*0.0*0.0**1333.66*36*0.0*1182871*false*886.9369*0.06*0.0*0.06*0.01*-0.94*0.94*0.08*True
