fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 2 2015*2015-07-01*2015-12-31*4869*N/D*ND*5 en una escala de 1 a 7*0.15*0.0**444997.69*155*0.0*4349167*false*9.7735*0.63*0.0*0.63*0.05*1.45*9.4*0.4*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Trimester 3 2015*2015-07-01*2015-09-30*4869*N/D*ND*5 en una escala de 1 a 7*0.01*0.01**372808.64*23*0.0*3591393*false*9.6333*0.31*0.0*0.31*0.03*-2.68*7.01*0.4*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 1 2015*2015-01-01*2015-06-30*4869*N/D*ND*5 en una escala de 1 a 7*0.0*0.0**262759.44*14*0.0*2601013*false*9.8988*0.2*0.0*0.2*0.02***0.3*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 2 2016*2016-07-01*2016-12-31*4869*N/D*ND*5 en una escala de 1 a 7*0.11*0.0**472061.49*165*0.0*4661376*false*9.8745*0.63*0.0*0.63*0.05*1.7*5.65*0.37*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Trimester 3 2016*2016-07-01*2016-09-30*4869*N/D*ND*5 en una escala de 1 a 7*0.06*0.0**457772.19*164*0.0*4444743*false*9.7095*0.31*0.0*0.31*0.03*1.14*6.32*0.37*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 1 2016*2016-01-01*2016-06-30*4869*N/D*ND*5 en una escala de 1 a 7*0.27*0.0**452055.86*160*0.0*4339960*false*9.6005*0.62*0.0*0.62*0.05*1.39*7.91*0.38*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Trimester 1 2016*2016-01-01*2016-03-31*4869*N/D*ND*5 en una escala de 1 a 7*0.05*0.0**445748.55*157*0.0*4220763*false*9.4689*0.31*0.0*0.31*0.02*-3.12*7.12*0.37*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Trimester 3 2017*2017-07-01*2017-09-30*4869*N/D*ND*5 en una escala de 1 a 7*0.16*0.0**512518.7*171*0.0*4996192*false*9.7483*0.32*0.0*0.32*0.03*-1.76*6.59*0.38*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 1 2017*2017-01-01*2017-06-30*4869*N/D*ND*5 en una escala de 1 a 7*0.25*0.0**506801.23*172*0.0*5028901*false*9.9228*0.62*0.0*0.62*0.05*-3.59*7.12*0.37*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Trimester 1 2017*2017-01-01*2017-03-31*4869*N/D*ND*5 en una escala de 1 a 7*0.15*0.0**518926.64*167*0.0*5340955*false*10.2923*0.31*0.37*0.68*0.02*4.23*6.14*0.36*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 2 2016*2016-07-01*2016-12-31*4869*N/D*ND*5 en una escala de 1 a 7*0.11*0.0**472061.49*165*0.0*4661376*false*9.8745*0.63*0.0*0.63*0.05*1.7*5.65*0.37*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 2 2017*2017-07-01*2017-12-31*4869*N/D*ND*5 en una escala de 1 a 7*0.15*0.0**551784.11*172*0.0*5284608*false*9.5773*0.63*0.0*0.63*0.05*-1.75*7.39*0.37*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Trimester 3 2017*2017-07-01*2017-09-30*4869*N/D*ND*5 en una escala de 1 a 7*0.16*0.0**512518.7*171*0.0*4996192*false*9.7483*0.32*0.0*0.32*0.03*-1.76*6.59*0.38*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
SMART GESTION FLEXIBLE, FI*SMART GESTION FLEXIBLE, FI*87262986*Semester 1 2017*2017-01-01*2017-06-30*4869*N/D*ND*5 en una escala de 1 a 7*0.25*0.0**506801.23*172*0.0*5028901*false*9.9228*0.62*0.0*0.62*0.05*-3.59*7.12*0.37*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0176313007
