fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2016 S1*2016-01-01*2016-06-30*7, de una escala del 1 al 7*3.3*0.03**205123.704646*107*0.0*770259*false*3.7551*0.67*0.0*0.67*0.05*-1.17*17.86*0.5*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2016 T1*2016-01-01*2016-03-31*7, de una escala del 1 al 7*0.87*0.5**204734.394101*106*0.0*777873*false*3.7994*0.34*0.0*0.34*0.03*-2.54*32.52*0.37*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2015 S2*2015-07-01*2015-12-31*7, de una escala del 1 al 7*0.56*0.0**295898.963034*109*0.0*1153559*false*3.8985*0.69*-0.95*-0.26*0.05*-0.4*21.64*0.39*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2017 T3*2017-07-01*2017-09-30*7, de una escala del 1 al 7*0.15*0.25**277971.968494*175*0.0*1372832*false*4.9387*0.34*0.01*0.35*0.03*0.49*8.41*0.37*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2017 S1*2017-01-01*2017-06-30*7, de una escala del 1 al 7*0.0*0.37**314276.339979*206*0.0*1544560*false*4.9147*0.67*0.98*1.65*0.05*5.41*7.95*0.37*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2017 T1*2017-01-01*2017-03-31*7, de una escala del 1 al 7*0.52*0.33**199205.729616*136*0.0*928759*false*4.6623*0.33*0.7*1.03*0.02*8.42*5.54*0.37*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2016 S2*2016-07-01*2016-12-31*7, de una escala del 1 al 7*3.31*0.03**251395.346691*113*0.0*1081010*false*4.3*0.68*0.0*0.68*0.05*5.03*8.64*0.38*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2018 S2*2018-07-01*2018-12-31*7, de una escala del 1 al 7*3.08*0.25**158627.590069*115*0.0*610321*false*3.8475*0.68*0.0*0.68*0.05*-18.04*21.85*0.42*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2018 T3*2018-07-01*2018-09-30*7, de una escala del 1 al 7*1.74*0.25**160658.626547*119*0.0*754148*false*4.6941*0.34*0.0*0.34*0.02*-1.77*10.91*0.4*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2018 S1*2018-01-01*2018-06-30*7, de una escala del 1 al 7*2.56*0.25**165866.41084*123*0.0*792614*false*4.7786*0.67*0.0*0.67*0.05*6.68*13.38*0.37*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2018 T1*2018-01-01*2018-03-31*7, de una escala del 1 al 7*1.01*0.25**231200.490977*142*0.0*1035626*false*4.4793*0.33*0.0*0.33*0.02*-7.7*13.01*0.36*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2019 T3*2019-07-01*2019-09-30*4*0.04*-0.43**413727.83*22*0.0*3890517*false*9.4036*0.34*0.0*0.34*0.03*0.33*1.48*0.54*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2019 S1*2019-01-01*2019-06-30*4*0.01*-0.4**414392.13*23*0.0*3884083*false*9.373*0.67*0.0*0.67*0.05*1.5*1.69*0.51*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2019 T1*2019-01-01*2019-03-31*7, de una escala del 1 al 7*2.38*0.25**163628.988561*120*0.0*703242*false*4.2978*0.33*0.0*0.33*0.02*11.7*15.94*0.41*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2020 S2*2020-07-01*2020-12-31*3*0.28*-0.5**417363.57*26*0.0*4129217*false*9.8936*0.68*0.0*0.68*0.05*3.14*5.01*0.39*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2020 T3*2020-07-01*2020-09-30*4*0.22*-0.54**482692.37*32*0.0*4519491*false*9.3631*0.34*0.0*0.34*0.03*1.34*2.82*0.39*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2020 S1*2020-01-01*2020-06-30*4*0.36*-0.5**423357.55*25*0.0*3911595*false*9.2395*0.67*0.0*0.67*0.05*8.59*6.78*0.37*False
RENTA 4 MULTIGESTION, FI*RENTA 4 MULTIGESTION*2020 T1*2020-01-01*2020-03-31*4*0.13*-0.51**421882.31*24*0.0*3589501*false*8.5083*0.34*0.0*0.34*0.02*-10.4*12.36*0.54*False
