fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
GVCGAESCO JAPON, FI*"Gaesco
                Japon, F.I"*2009 S2*2009-07-01*2009-12-31*muy alto*0.0*0.36**946428.4*523*0.0*4323318*false*4.568***1.14*0.05*-4.24*13.25*0.56*False
GVCGAESCO JAPON, FI*"Gaesco
                Japon, F.I"*2009 T3*2009-07-01*2009-09-30*muy alto*0.02*0.36**1089599.31*562*0.0*5197814*false*4.7704***0.57*0.02*-4.01*19.4*0.66*False
GVCGAESCO JAPON, FI*"Gaesco
                Japon, F.I"*2009 S1*2009-01-01*2009-06-30*muy alto*0.12*0.36**1166713.36*589*0.0*5798156*false*4.9696***1.12*0.05*23.05*36.55*0.59*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2013 T1*2013-01-01*2013-03-31*Muy alto*0.0*0.0**944456.26*431*0.0*6356871*false*6.7307*0.56*0.0*0.56*0.02*20.35*18.09*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2014 T3*2014-07-01*2014-09-30*6 (En una escala del 1 al 7)*0.0*0.01**1505151.65*642*0.0*11075914*false*7.3587*0.57*0.0*0.57*0.03*3.88*10.55*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2014 S1*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.0*0.07**1407984.42*620*0.0*9974356*false*7.0841*1.12*0.0*1.12*0.05*8.65*14.83*0.61*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2014 T1*2014-01-01*2014-03-31*6 (En una escala del 1 al 7)*0.0*0.07**1420969.97*620*0.0*9264822*false*6.5201*0.55*0.0*0.55*0.02*-9.57*19.26*0.59*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2015 S2*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.0*0.0**1913018.54*728*0.0*17262326*false*9.0236*1.13*0.0*1.13*0.05*10.43*18.51*0.61*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2015 T3*2015-07-01*2015-09-30*6 (En una escala del 1 al 7)*0.0*0.0**1766022.63*703*0.0*14430850*false*8.1714*0.57*0.0*0.57*0.03*-11.54*31.37*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2015 S1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.0*0.0**1753273.08*704*0.0*16195389*false*9.2372*1.12*0.0*1.12*0.05*0.97*18.11*0.59*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2015 T1*2015-01-01*2015-03-31*6 (En una escala del 1 al 7)*0.0*0.0**1654803.96*683*0.0*15138899*false*9.1485*0.55*0.0*0.55*0.02*20.36*13.93*0.59*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2016 S2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.0*-0.05**1658228.92*676*0.0*15761237*false*9.5049*1.13*0.0*1.13*0.05*12.77*18.6*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2016 T3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.0*0.0**1714027.16*708*0.0*14447092*false*8.4287*0.57*0.0*0.57*0.03*5.6*18.02*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2016 S1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.0*0.0**1737670.86*719*0.0*13869050*false*7.9814*1.12*0.0*1.12*0.05*-0.61*25.8*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2016 T1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.0*0.0**1732155.95*732*0.0*13909540*false*8.0302*0.56*0.0*0.56*0.02*-11.01*30.68*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2017 S2*2017-07-01*2017-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**1526536.08*657*0.0*14793431*false*9.6908*1.13*0.0*1.13*0.05*3.75*12.16*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2017 T3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*-0.3**1546262.74*669*0.0*14442377*false*9.3402*0.57*0.0*0.57*0.03*-1.46*10.52*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2017 S1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**1553191.19*673*0.0*14722672*false*9.479*1.12*0.0*1.12*0.05*-0.33*10.58*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2017 T1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*-0.3**1697466.09*687*0.0*16142903*false*9.51*0.55*0.0*0.55*0.02*0.05*11.58*0.59*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2018 S2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.0*-0.3**1356948.28*652*0.0*11023521*false*8.1238*1.13*0.0*1.13*0.05*-13.38*21.6*0.61*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2018 T3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*-0.3**1406494.13*666*0.0*13190759*false*9.3785*0.57*0.0*0.57*0.03*0.33*10.73*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2018 S1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**1437645.04*679*0.0*13438359*false*9.3475*1.12*0.0*1.12*0.05*-0.17*8.33*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2018 T1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*-0.3**1494600.51*718*0.0*13995000*false*9.3635*0.56*0.0*0.56*0.02*-3.38*16.75*0.59*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2019 S2*2019-07-01*2019-12-31*6 (En una escala del 1 al 7)*0.0*-0.4**1200273.47*606*0.0*11528114*false*9.6046*1.13*0.0*1.13*0.05*0.83*10.58*0.61*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2019 T3*2019-07-01*2019-09-30*6 (En una escala del 1 al 7)*0.0*-0.3**1206392.96*617*0.0*11491851*false*9.5258*0.57*0.0*0.57*0.03*6.17*12.64*0.61*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2019 S1*2019-01-01*2019-06-30*6 (En una escala del 1 al 7)*0.0*-0.3**1287619.66*635*0.0*11552941*false*8.9723*1.12*0.0*1.12*0.05*-0.66*11.82*0.6*False
GVCGAESCO JAPON, FI*GVC Gaesco Japon, F.I*2019 T1*2019-01-01*2019-03-31*6 (En una escala del 1 al 7)*0.0*-0.3**1336146.94*645*0.0*12067677*false*9.0317*0.55*0.0*0.55*0.02*11.18*14.08*0.59*False
