fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2014*2014-07-01*2014-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.14*0.04**42087287.65*240*0.0*334632626*false*7.9509*0.06*0.0*0.06*0.01*0.16*0.12*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2014*2014-07-01*2014-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.14*0.04**72787493.55*32478*0.0*566588353*false*7.7841*0.24*0.0*0.24*0.03*-0.04*0.12*0.27*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2014*2014-07-01*2014-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.14*0.04**39397641.82*2811*0.0*309121729*false*7.8462*0.17*0.0*0.17*0.02*0.03*0.12*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2014*2014-07-01*2014-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.14*0.04**32912238.59*901*0.0*260023247*false*7.9005*0.11*0.0*0.11*0.01*0.1*0.12*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2014*2014-07-01*2014-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.14*0.04**13921570.39*9058*0.0*109233375*false*7.8463*0.17*0.0*0.17*0.02*0.03*0.12*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2014*2014-07-01*2014-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.14*0.04**2896607.6*201*0.0*23031024*false*7.951*0.06*0.0*0.06*0.01*0.16*0.12*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2014*2014-01-01*2014-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.8*0.3**39722081.05*245*0.0*315325500*false*7.9383*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2014*2014-01-01*2014-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.8*0.3**78162535.59*34505*0.0*608675491*false*7.7873*0.47*0.0*0.47*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2014*2014-01-01*2014-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.8*0.3**34031612.25*2515*0.0*266927643*false*7.8435*0.33*0.0*0.33*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2014*2014-01-01*2014-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.8*0.3**31099823.22*879*0.0*245461024*false*7.8927*0.22*0.0*0.22*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2014*2014-01-01*2014-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.8*0.3**13095153.97*8684*0.0*102713952*false*7.8437*0.33*0.0*0.33*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2014*2014-01-01*2014-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*1 - Muy bajo*0.8*0.3**2825958.16*184*0.0*22433611*false*7.9384*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2014*2014-01-01*2014-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*2 - Bajo*0.56*0.29**39428262.71*260*0.0*312320774*false*7.9212*0.06*0.0*0.06*0.01*0.31*0.13*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2014*2014-01-01*2014-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*2 - Bajo*0.56*0.29**83844486.38*36060*0.0*652808047*false*7.7859*0.23*0.0*0.23*0.02*0.11*0.13*0.26*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2014*2014-01-01*2014-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*2 - Bajo*0.56*0.29**34920682.17*2581*0.0*273650225*false*7.8363*0.17*0.0*0.17*0.02*0.18*0.13*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2014*2014-01-01*2014-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*2 - Bajo*0.56*0.29**33029279.56*940*0.0*260283804*false*7.8804*0.11*0.0*0.11*0.01*0.25*0.13*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2014*2014-01-01*2014-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*2 - Bajo*0.56*0.29**12650180.96*8245*0.0*99132908*false*7.8365*0.17*0.0*0.17*0.02*0.18*0.13*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2014*2014-01-01*2014-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*2 - Bajo*0.56*0.29**3103980.57*176*0.0*24587736*false*7.9214*0.06*0.0*0.06*0.01*0.31*0.13*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**47721039.3*267*0.0*376859383*false*7.8971*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**89437068.96*37718*0.0*695589838*false*7.7774*0.48*0.0*0.48*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**36976238.65*2713*0.0*289229446*false*7.822*0.34*0.0*0.34*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**34052560.01*986*0.0*267687996*false*7.861*0.22*0.0*0.22*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**11594733.37*7851*0.0*90696154*false*7.8222*0.34*0.0*0.34*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**2850466.11*166*0.0*22510880*false*7.8973*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2015*2015-07-01*2015-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**32887301.13*203*0.0*261852617*false*7.9621*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2015*2015-07-01*2015-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**269748069.65*93806*0.0*2094458849*false*7.7645*0.14*0.0*0.14*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2015*2015-07-01*2015-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**52084503.3*3665*0.0*408098333*false*7.8353*0.14*0.0*0.14*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2015*2015-07-01*2015-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**31238622.22*826*0.0*246704728*false*7.8974*0.14*0.0*0.14*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2015*2015-07-01*2015-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**51277897.58*36892*0.0*402267964*false*7.8449*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2015*2015-07-01*2015-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**24499730.71*61*0.0*195203774*false*7.9676*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2015*2015-07-01*2015-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**30016885.79*189*0.0*238840005*false*7.9569*0.06*0.0*0.06*0.01*-0.02*0.43*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2015*2015-07-01*2015-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**55065622.68*24081*0.0*427326024*false*7.7603*0.07*0.0*0.07*0.01*-0.03*0.43*0.08*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2015*2015-07-01*2015-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**50056722.79*3417*0.0*392000124*false*7.8311*0.07*0.0*0.07*0.01*-0.03*0.43*0.08*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2015*2015-07-01*2015-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**34658953.36*852*0.0*273569404*false*7.8932*0.07*0.0*0.07*0.01*-0.03*0.43*0.08*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2015*2015-07-01*2015-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**32154715.0*20466*0.0*252020405*false*7.8377*0.03*0.0*0.03*0.01*0.0*0.43*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2015*2015-07-01*2015-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.0*0.01**7429059.32*13*0.0*59137948*false*7.9604*0.03*0.0*0.03*0.01*0.0*0.43*0.04*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2015*2015-01-01*2015-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.08*0.01**29049482.78*184*0.0*231192234*false*7.9586*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2015*2015-01-01*2015-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.08*0.01**51357278.1*23311*0.0*398683591*false*7.7629*0.27*0.0*0.27*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2015*2015-01-01*2015-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.08*0.01**40892828.5*2757*0.0*320345578*false*7.8338*0.23*0.0*0.23*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2015*2015-01-01*2015-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.08*0.01**31269445.12*817*0.0*246899403*false*7.8959*0.2*0.0*0.2*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2015*2015-01-01*2015-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.08*0.01**17180075.71*11627*0.0*134648625*false*7.8375*0.18*0.0*0.18*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2015*2015-01-01*2015-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.08*0.01**3990361.97*14*0.0*31763744*false*7.9601*0.1*0.0*0.1*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2015*2015-01-01*2015-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.02*0.01**27948876.87*187*0.0*222556558*false*7.963*0.06*0.0*0.06*0.01*0.12*0.09*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2015*2015-01-01*2015-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.02*0.01**48277292.55*24085*0.0*375144529*false*7.7706*0.17*0.0*0.17*0.02*-0.01*0.09*0.2*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2015*2015-01-01*2015-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.02*0.01**29608224.16*2148*0.0*232174676*false*7.8416*0.14*0.0*0.14*0.02*0.04*0.09*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2015*2015-01-01*2015-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.02*0.01**29226903.08*798*0.0*231000110*false*7.9037*0.1*0.0*0.1*0.01*0.07*0.09*0.11*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2015*2015-01-01*2015-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.02*0.01**12822192.8*10003*0.0*100547662*false*7.8417*0.13*0.0*0.13*0.02*0.03*0.09*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 1 2015*2015-01-01*2015-03-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.02*0.01**2552749.7*233*0.0*20327746*false*7.9631*0.06*0.0*0.06*0.01*0.12*0.09*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2016*2016-07-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.24*-0.13**38991784.75*245*0.0*310570085*false*7.965*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2016*2016-07-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.24*-0.13**299718121.49*99148*0.0*2328009720*false*7.7673*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2016*2016-07-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.24*-0.13**129783518.2*8945*0.0*1017258905*false*7.8381*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2016*2016-07-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.24*-0.13**49088615.96*1053*0.0*387814042*false*7.9003*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2016*2016-07-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.24*-0.13**113493458.64*64864*0.0*891550365*false*7.8555*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2016*2016-07-01*2016-12-31*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.24*-0.13**32287917.81*62*0.0*257606796*false*7.9784*0.06*0.0*0.06*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2016*2016-07-01*2016-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.12*0.01**30909313.13*218*0.0*246183116*false*7.9647*0.06*0.0*0.06*0.01*0.0*0.1*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2016*2016-07-01*2016-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.12*0.01**276145652.65*92938*0.0*2144822615*false*7.767*0.06*0.0*0.06*0.01*0.0*0.1*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*CAIXABANK MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2016*2016-07-01*2016-09-30*2680*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*1 - Muy bajo*0.12*0.01**94927682.41*6238*0.0*744024990*false*7.8378*0.06*0.0*0.06*0.01*0.0*0.1*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
