fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2012*2012-07-01*2012-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*0.66*0.16**53597456.7*285*0.0*413113316*false*7.7077*0.06*0.0*0.06*0.01*1.15*0.62*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2012*2012-07-01*2012-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*0.66*0.16**82259291.68*27312*0.0*630637606*false*7.6665*0.24*0.0*0.24*0.03*0.95*0.62*0.27*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2012*2012-07-01*2012-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*0.66*0.16**16502511.28*1125*0.0*126770339*false*7.6819*0.17*0.0*0.17*0.02*1.02*0.62*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2012*2012-07-01*2012-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*0.66*0.16**36476445.13*1093*0.0*280697593*false*7.6953*0.11*0.0*0.11*0.01*1.09*0.62*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2012*2012-07-01*2012-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*0.66*0.16**7637088.4*5985*0.0*58668116*false*7.682*0.17*0.0*0.17*0.02*1.02*0.62*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2012*2012-07-01*2012-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*0.66*0.16**1537189.46*138*0.0*11848391*false*7.7078*0.06*0.0*0.06*0.01*1.15*0.62*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2012*2012-01-01*2012-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*1.13*0.38**58219751.41*304*0.0*443637327*false*7.62*0.07*0.0*0.07*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2012*2012-01-01*2012-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*1.13*0.38**86348316.38*28354*0.0*655761767*false*7.5944*0.4*0.0*0.4*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2012*2012-01-01*2012-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*1.13*0.38**17514460.59*1154*0.0*133179539*false*7.604*0.29*0.0*0.29*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 1 2012*2012-01-01*2012-06-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Bajo*1.13*0.38**39069936.54*1141*0.0*297413701*false*7.6123*0.19*0.0*0.19*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
