fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2012*2012-01-01*2012-06-30*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Alto*0.49*0.36**657662.9*940*0.0*4113390*false*6.2546*0.72*0.0*0.72*0.07*-0.93*7.77*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2012*2012-01-01*2012-03-31*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Alto*0.37*0.4**665400.32*950*0.0*4200704*false*6.313*0.36*0.0*0.36*0.04*4.02*9.5*0.44*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2011*2011-07-01*2011-12-31*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Alto*1.31*0.87**707889.37*959*0.0*4296219*false*6.0691*0.73*0.0*0.73*0.08*1.96**0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2013*2013-07-01*2013-12-31*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.29*0.16**1357054.19*1121*0.0*9719839*false*7.1625*0.73*0.0*0.73*0.08*2.96*4.92*0.44*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2013*2013-07-01*2013-09-30*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.18*0.19**1069854.23*1028*0.0*7442856*false*6.9569*0.36*0.0*0.36*0.04*3.66*4.9*0.42*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2013*2013-01-01*2013-06-30*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*1.22*0.14**921895.54*990*0.0*6187336*false*6.7115*0.72*0.0*0.72*0.07*-0.4*7.7*0.42*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2013*2013-01-01*2013-03-31*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Medio *0.74*0.09**795093.2*950*0.0*5357466*false*6.7382*0.36*0.0*0.36*0.04*1.77*5.67*0.42*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2014*2014-07-01*2014-12-31*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.28*0.05**3132498.26*1670*0.0*23474012*false*7.4937*0.73*0.0*0.73*0.08*-0.29*9.2*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2014*2014-07-01*2014-09-30*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.17*0.05**2771470.21*1585*0.0*20829007*false*7.5155*0.36*0.0*0.36*0.04*1.19*5.11*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2014*2014-01-01*2014-06-30*1783*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.18*0.19**2186700.26*1395*0.0*16240418*false*7.4269*0.72*0.0*0.72*0.07*2.67*3.94*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
