fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
IMANTIA FUTURO, FI*Imantia Flexible, F.I.*2016 T3*2016-07-01*2016-09-30*6, de una escala del 1 al 7*0.38*0.31**1452238.8*4270*0.0*28740146*false*19.7902*0.42*0.0*0.42*0.02*1.32*3.06*0.53*False
IMANTIA FUTURO, FI*Imantia Flexible, F.I.*2016 S1*2016-01-01*2016-06-30*6, de una escala del 1 al 7*3.35*0.06**1648125.94*4459*0.0*32190730*false*19.5317*0.74*0.0*0.74*0.04***0.43*False
IMANTIA FUTURO, FI*Imantia Inversión Selectiva, F.I.*2016 T1*2016-01-01*2016-03-31*7, de una escala del 1 al 7*0.97*0.0**669476.61*2920*0.0*13268343*false*19.819*0.34*0.0*0.34*0.02*-5.86*27.83*0.37*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2017 T3*2017-07-01*2017-09-30*6, de una escala del 1 al 7*0.46*0.24**994650.76*3483*0.0*20674550*false*20.7857*0.42*0.0*0.42*0.02*1.34*3.55*0.52*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2017 S1*2017-01-01*2017-06-30*6, de una escala del 1 al 7*2.31*0.02**1034532.55*3586*0.0*21219926*false*20.5116*0.82*0.0*0.82*0.04*-0.26*1.56*0.51*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2017 T1*2017-01-01*2017-03-31*6, de una escala del 1 al 7*1.45*-0.15**1103066.65*3769*0.0*22684163*false*20.5646*0.41*0.0*0.41*0.02*1.65*1.69*0.47*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2016 S2*2016-07-01*2016-12-31*6, de una escala del 1 al 7*1.36*0.13**1180428.39*4003*0.0*23880574*false*20.2304*0.83*0.0*0.83*0.05*2.22*4.5*0.46*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2018 S2*2018-07-01*2018-12-31*6, de una escala del 1 al 7*0.9*0.61**826657.87*2958*0.0*15563296*false*18.8268*0.83*0.0*0.83*0.05*-8.79*8.71*0.55*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2018 T3*2018-07-01*2018-09-30*6, de una escala del 1 al 7*0.27*-0.02**846665.14*3046*0.0*17476038*false*20.641*0.42*0.0*0.42*0.02*0.81*4.37*0.56*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2018 S1*2018-01-01*2018-06-30*6, de una escala del 1 al 7*1.01*0.0**865879.84*3128*0.0*17729173*false*20.4753*0.82*0.0*0.82*0.04*0.54*6.66*0.56*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2018 T1*2018-01-01*2018-03-31*6, de una escala del 1 al 7*0.35*0.38**896025.56*3250*0.0*18247943*false*20.3654*0.41*0.0*0.41*0.02*-3.02*9.76*0.56*False
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2019 S2*2019-07-01*2019-12-31*6, de una escala del 1 al 7*2.35*0.92**698325.76*2618*0.0*15743898*false*22.5452*0.79*0.0*0.79*0.05*8.95*8.15*0.43*False
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2019 T3*2019-07-01*2019-09-30*6, de una escala del 1 al 7*0.94*1.31**741063.09*2696*0.0*15334316*false*20.6923*0.41*0.0*0.41*0.02***0.54*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2019 S1*2019-01-01*2019-06-30*6, de una escala del 1 al 7*0.72*0.79**776688.54*2781*0.0*15935070*false*20.5167*0.82*0.0*0.82*0.04*1.63*4.71*0.55*False
IMANTIA FUTURO, FI*IMANTIA FLEXIBLE, F.I.*2019 T1*2019-01-01*2019-03-31*6, de una escala del 1 al 7*0.46*0.63**805000.81*2861*0.0*16251628*false*20.1883*0.41*0.0*0.41*0.02*7.23*5.64*0.55*False
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2020 S2*2020-07-01*2020-12-31*6, de una escala del 1 al 7*1.05*-0.13**626386.78*2440*0.0*17190084*false*27.4432*0.75*0.0*0.75*0.05*15.8*14.48*0.41*False
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2020 T3*2020-07-01*2020-09-30*6, de una escala del 1 al 7*0.11*-0.13**643977.4*2460*0.0*15261136*false*23.6982*0.38*0.0*0.38*0.02*6.19*15.12*0.41*False
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2020 S1*2020-01-01*2020-06-30*6, de una escala del 1 al 7*0.56*0.25**648264.23*2487*0.0*14467791*false*22.3177*0.75*0.0*0.75*0.04*22.14*26.25*0.41*False
IMANTIA FUTURO, FI*IMANTIA FUTURO, F.I.*2020 T1*2020-01-01*2020-03-31*6, de una escala del 1 al 7*0.32*0.44**661823.52*2518*0.0*12093055*false*18.2723*0.37*0.0*0.37*0.02*-18.95*37.72*0.4*False
