fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 3 2015*2015-07-01*2015-09-30*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**1325019.73*119*0.0*13308881*false*10.0443*0.34*0.0*0.34*0.03*-0.77*3.42*0.42*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 1 2015*2015-01-01*2015-06-30*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**937583.17*99*0.0*9490148*false*10.1219*0.19*0.0*0.19*0.01***0.23*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 2 2016*2016-07-01*2016-12-31*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**2180400.57*162*0.0*22200853*false*10.182*0.68*0.01*0.69*0.05*0.0*1.14*0.37*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 3 2016*2016-07-01*2016-09-30*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**2032657.95*165*0.0*20696921*false*10.1822*0.34*0.02*0.36*0.03*0.22*1.44*0.37*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 1 2016*2016-01-01*2016-06-30*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**1842972.36*154*0.0*18723622*false*10.1595*0.67*0.15*0.82*0.05*1.48*3.8*0.38*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 1 2016*2016-01-01*2016-03-31*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**1517209.49*143*0.0*15189228*false*10.0113*0.34*0.0*0.34*0.02*0.05*2.84*0.38*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 3 2017*2017-07-01*2017-09-30*4873*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**1390021.37*164*0.0*14014684*false*10.0824*0.34*0.0*0.34*0.03*0.06*1.93*0.41*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 1 2017*2017-01-01*2017-06-30*4873*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**1543559.19*162*0.0*15554116*false*10.0768*0.67*0.0*0.67*0.05***0.81*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 1 2017*2017-01-01*2017-03-31*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**2014347.7*165*0.0*20392905*false*10.1238*0.33*0.0*0.33*0.02*-0.57*1.35*0.36*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 2 2016*2016-07-01*2016-12-31*4873**n.d.*4 en una escala del 1 a 7*0.0*0.0**2180400.57*162*0.0*22200853*false*10.182*0.68*0.01*0.69*0.05*0.0*1.14*0.37*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 2 2018*2018-07-01*2018-12-31*4873*N/D*ND*4 en una escala de 1 a 7*0.21*0.0**874982.56*124*0.0*8666391*false*9.9046*0.68*0.0*0.68*0.05*-0.94*3.07*0.46*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 3 2018*2018-07-01*2018-09-30*4873*N/D*ND*4 en una escala de 1 a 7*0.19*0.0**938812.24*125*0.0*9386981*false*9.9988*0.34*0.0*0.34*0.03***0.31*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 1 2018*2018-01-01*2018-06-30*4873*N/D*ND*4 en una escala de 1 a 7*0.28*0.0**958409.5*125*0.0*9626176*false*10.0439*0.67*0.0*0.67*0.05*1.7*2.12*0.43*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 1 2018*2018-01-01*2018-03-31*4873*N/D*ND*4 en una escala de 1 a 7*0.01*0.01**1010993.71*127*0.0*9984993*false*9.8764*0.33*0.0*0.33*0.02*-0.76*3.35*0.42*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 2 2019*2019-07-01*2019-12-31*4873*N/D*ND*4 en una escala de 1 a 7*0.33*-0.04**789618.99*131*0.0*7978431*false*10.1042*0.68*0.0*0.68*0.05*0.52*1.76*0.43*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 3 2019*2019-07-01*2019-09-30*4873*N/D*ND*4 en una escala de 1 a 7*0.14*0.0**798373.14*131*0.0*8025078*false*10.0518*0.34*0.0*0.34*0.03*0.28*1.98*0.43*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Semester 1 2019*2019-01-01*2019-06-30*4873*N/D*ND*4 en una escala de 1 a 7*0.31*0.0**809429.97*132*0.0*8113565*false*10.0238*0.67*0.0*0.67*0.05*-0.05*2.45*0.42*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
INTERMONEY ATTITUDE, FI*INTERMONEY ATTITUDE FI*87272308*Trimester 1 2019*2019-01-01*2019-03-31*4873*N/D*ND*4 en una escala de 1 a 7*0.23*0.02**881333.47*130*0.0*8838418*false*10.0285*0.33*0.0*0.33*0.02*1.25*2.29*0.44*INTERMONEY GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*ES0154765004
