fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Semester 2 2009*2009-07-01*2009-12-31*2135*N/D*A+ (S&P)*medio*0.34*1.12**65702.68*846*0.0*48166015*false*733.0906***0.75*0.1*1.04*2.05*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Trimester 3 2009*2009-07-01*2009-09-30*2135*N/D*A+ (S&P)*medio*0.26*1.0**31924.68*554*0.0*23163490*false*725.5668***0.38*0.05*4.51*2.32*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Semester 1 2009*2009-01-01*2009-06-30*2135*N/D*A+ (S&P)*MEDIO*4.17*1.38**18987.86*322*0.0*13182142*false*694.2404***0.74*0.1*4.32*3.46*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Semester 2 2010*2010-07-01*2010-12-31*2135*N/D*A (S&P)*medio*0.33*0.99**66457.65*1045*0.0*49465131*false*744.3106***0.76*0.1*-2.62*2.61*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Trimester 3 2010*2010-07-01*2010-09-30*2135*N/D*A (S&P)*medio*0.0*1.01**89872.32*1216*0.0*68695775*false*764.3708***0.38*0.05*1.85*2.8*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Semester 1 2010*2010-01-01*2010-06-30*2135*N/D*A (S&P)*medio*1.39*1.16**85707.95*1158*0.0*64325763*false*750.5227***0.74*0.1*-0.36*3.46*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Trimester 1 2010*2010-01-01*2010-03-31*2135*N/D*A+ (S&P)*medio*1.15*0.98**85670.89*1122*0.0*64529629*false*753.227***0.37*0.05*2.75*1.65*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Semester 2 2011*2011-07-01*2011-12-31*2135*N/D*A- (IBCA)*MEDIO-ALTO*0.53*1.43**27848.74*585*0.0*21507948*false*772.3131*0.76*0.0*0.76*0.1*1.63*3.97*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Trimester 3 2011*2011-07-01*2011-09-30*2135*N/D*A- (S&P)*medio-alto*0.14*1.5**28516.46*604*0.0*21670177*false*759.9059***0.38*0.05*1.04*4.35*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Semester 1 2011*2011-01-01*2011-06-30*2135*N/D*A- (S&P)*medio*1.31*0.63**29661.08*632*0.0*22307526*false*752.0808***0.75*0.1*0.91*2.77*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK RENTA FIJA LARGO PLAZO, FI*KUTXAINVER2, FI*20699732*Trimester 1 2011*2011-01-01*2011-03-31*2135*N/D*A (S&P)*medio*0.48*0.96**35542.13*748*0.0*26488463*false*745.2694***0.37*0.05*0.13*2.12*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
