fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2016 S2*2016-07-01*2016-12-31*3, en una escala del 1 al 7*0.9*-0.01**8856696.05*195*0.0*76287557*false*8.6135*0.17*0.09*0.26*0.04*1.72*3.18*0.15
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2016 T3*2016-07-01*2016-09-30*3, en una escala del 1 al 7*0.31*0.0**7535465.03*182*0.0*63810491*false*8.468*0.08*0.0*0.08*0.02*1.0*2.27*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2016 S1*2016-01-01*2016-06-30*3, en una escala del 1 al 7*1.62*0.0**7565249.38*183*0.0*63428885*false*8.3842*0.16*0.0*0.16*0.04*0.66*7.35*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2016 T1*2016-01-01*2016-03-31*3, en una escala del 1 al 7*1.07*0.0**7611520.4*186*0.0*63396232*false*8.329*0.08*0.0*0.08*0.02*-2.04*8.9*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2017 S2*2017-07-01*2017-12-31*3, en una escala del 1 al 7*0.99*0.0**12845507.81*197*0.0*112738709*false*8.7765*0.17*0.03*0.2*0.04*1.24*1.53*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2017 T3*2017-07-01*2017-09-30*3, en una escala del 1 al 7*0.43*0.0**13191118.24*206*0.0*114352823*false*8.6689*0.08*-0.03*0.05*0.02*-0.74*1.59*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2017 S1*2017-01-01*2017-06-30*3, en una escala del 1 al 7*1.56*-0.02**13380546.23*213*0.0*116856445*false*8.7333*0.16*0.07*0.23*0.04*1.13*2.01*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2017 T1*2017-01-01*2017-03-31*3, en una escala del 1 al 7*0.82*-0.03**13202751.52*212*0.0*114015955*false*8.6358*0.08*0.0*0.08*0.02*0.26*1.36*0.13
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I.*2018 T1*2018-01-01*2018-03-31*3, en una escala del 1 al 7*0.42*0.0**12878509.37*198*0.0*112423275*false*8.7295*0.09*0.0*0.09*0.02*-0.54*16.68*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. A*2019 S 2*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.69*-0.37**424214.84*21*0.0*3500160*false*8.2509*0.45*0.0*0.45*0.03*-1.36*1.63*0.25
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. B*2019 S 2*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.69*-0.37**12006842.97*117*0.0*99940864*false*8.3237*0.18*0.0*0.18*0.03*-1.22*1.63*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. L*2019 S 2*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.69*-0.37**557739.0*6*0.0*4646042*false*8.3301*0.15*0.0*0.15*0.03*-1.21*1.63*0.1
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. A*2019 T 3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.47*-0.38**573601.12*23*0.0*4797775*false*8.3643*0.23*0.0*0.23*0.01*0.2*2.39*0.26
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. B*2019 T 3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.47*-0.38**12434003.17*133*0.0*104773414*false*8.4264*0.09*0.0*0.09*0.01*0.34*2.4*0.12
BNP PARIBAS FLEXIBLE MAX 30, FI*BNP P. FLEXIBLE MAX 30 F.I. L*2019 T 3*2019-07-01*2019-09-30*3, en una escala del 1 al 7*0.47*-0.38**600507.63*7*0.0*5063395*false*8.4319*0.08*0.0*0.08*0.01*0.36*2.4*0.11
BNP PARIBAS FLEXIBLE MAX 30, FI*SEGUNDA GENERACION RENTA F.I. A*2019 S 1*2019-01-01*2019-06-30*3, en una escala del 1 al 7*0.22*-0.21**571416.41*26*0.0*4769800*false*8.3473*0.45*0.0*0.45*0.02*-0.88*1.1*0.25
