fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Semester 2 2018*2018-07-01*2018-12-31*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.0*-0.06**541091.37*3312*0.0*3285067*false*6.0712*0.1*0.0*0.1*0.01*-2.65*7.33*0.2*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Trimester 3 2018*2018-07-01*2018-09-30*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.0*0.03**534487.05*2522*0.0*3333284*false*6.2364*0.05*0.0*0.05*0.0*1.04*6.26*0.2*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Semester 1 2018*2018-01-01*2018-06-30*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.91*0.21**57215.81*1042*0.0*353152*false*6.1723*0.09*0.0*0.09*0.01*4.78*6.4*0.96*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Trimester 1 2018*2018-01-01*2018-03-31*5237*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.97*0.12**50770.47*165*0.0*299070*false*5.8906*0.04*0.0*0.04*0.0***0.49*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Semester 2 2019*2019-07-01*2019-12-31*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.0*-0.13**1686897.03*23150*0.0*11560205*false*6.8529*0.1*0.0*0.1*0.01*-0.55*3.93*0.18*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Trimester 3 2019*2019-07-01*2019-09-30*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.0*-0.11**766727.21*11057*0.0*5283403*false*6.8909*0.05*0.0*0.05*0.01*4.64*6.59*0.18*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Semester 1 2019*2019-01-01*2019-06-30*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.02*-0.15**612686.31*6819*0.0*4034897*false*6.5856*0.1*0.0*0.1*0.01*0.57*4.71*0.21*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART MONEY RENTA FIJA HIGH YIELD, FI*87962742*Trimester 1 2019*2019-01-01*2019-03-31*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.01*-0.19**542520.16*3720*0.0*3552621*false*6.5484*0.05*0.0*0.05*0.0*7.86*5.84*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*87962742*Semester 2 2020*2020-07-01*2020-12-31*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.03*-0.04**16911760.41*74415*0.0*114901834*false*6.7942*0.1*0.0*0.1*0.01*2.53*5.72*0.17*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*87962742*Trimester 3 2020*2020-07-01*2020-09-30*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.03*0.0**15712707.64*67088*0.0*104118314*false*6.6264*0.05*0.0*0.05*0.0*0.07*6.28*0.14*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*CAIXABANK SMART RENTA FIJA HIGH YIELD, FI*87962742*Semester 1 2020*2020-01-01*2020-06-30*5237*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.0*-0.2**1991557.0*29831*0.0*13188005*false*6.622*0.1*0.0*0.1*0.01*7.65*15.29*0.34*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0137414001
