fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2016 S1*2016-01-01*2016-06-30*7, de una escala del 1 al 7*1.06*0.01**2086847.03*2692*0.0*12533571*false*6.006*1.0*0.0*1.0*0.04*-5.3*28.64*0.53*False
IMANTIA RV ZONA EURO, FI*Selectiva Europa, F.I.*2016 T1*2016-01-01*2016-03-31*7, de una escala del 1 al 7*0.71*0.01**2224162.27*2890*0.0*14106433*false*6.3424*0.5*0.0*0.5*0.02*-6.92*30.59*0.53*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2017 S2*2017-07-01*2017-12-31*6, de una escala del 1 al 7*0.66*-0.06**1625875.45*2056*0.0*12152464*false*7.4744*1.01*0.0*1.01*0.05*-1.85*8.55*0.52*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, FI*2017 T3*2017-07-01*2017-09-30*6, de una escala del 1 al 7*0.45*-0.02**1635597.63*2125*0.0*12455767*false*7.6154*0.5*0.0*0.5*0.02*2.24*8.31*0.54*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, FI*2017 S1*2017-01-01*2017-06-30*6, de una escala del 1 al 7*0.81*-0.18**1661628.04*2199*0.0*12376578*false*7.4485*0.99*0.0*0.99*0.04*2.36*8.96*0.54*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, FI*2017 T1*2017-01-01*2017-03-31*7, de una escala del 1 al 7*0.37*-0.2**1744730.2*2289*0.0*12696163*false*7.2769*0.49*0.0*0.49*0.02*5.47*7.97*0.53*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2018 S2*2018-07-01*2018-12-31*6, de una escala del 1 al 7*1.31*0.06**1385979.55*1852*0.0*8510056*false*6.1401*1.01*0.0*1.01*0.05*-15.67*16.03*0.54*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2018 T3*2018-07-01*2018-09-30*6, de una escala del 1 al 7*0.44*0.0**1443387.48*1900*0.0*10509808*false*7.2813*0.5*0.0*0.5*0.02*-0.3*12.14*0.55*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2018 S1*2018-01-01*2018-06-30*6, de una escala del 1 al 7*0.71*0.0**1536312.2*1934*0.0*11219690*false*7.303*0.99*0.0*0.99*0.04*1.73*13.13*0.53*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2018 T1*2018-01-01*2018-03-31*6, de una escala del 1 al 7*0.38*0.04**1564331.23*2001*0.0*11230297*false*7.179*0.49*0.0*0.49*0.02*-3.95*15.14*0.53*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2019 S2*2019-07-01*2019-12-31*6, de una escala del 1 al 7*0.33*-1.39**1186796.99*1641*0.0*8796964*false*7.4124*1.01*0.0*1.01*0.05*3.57*11.12*0.56*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2019 T3*2019-07-01*2019-09-30*6, de una escala del 1 al 7*0.25*-0.13**1262572.25*1718*0.0*9035744*false*7.1566*0.5*0.0*0.5*0.02*1.3*12.57*0.56*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2019 S1*2019-01-01*2019-06-30*6, de una escala del 1 al 7*0.42*-0.17**1297490.16*1758*0.0*9166923*false*7.0651*0.99*0.0*0.99*0.04*3.94*11.45*0.55*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2019 T1*2019-01-01*2019-03-31*6, de una escala del 1 al 7*0.23*-0.06**1352476.55*1819*0.0*9193179*false*6.7973*0.49*0.0*0.49*0.02*10.7*12.59*0.55*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2020 S2*2020-07-01*2020-12-31*6, de una escala del 1 al 7*0.49*-0.2**975617.36*1486*0.0*7109677*false*7.2874*1.01*0.0*1.01*0.05*14.63*21.54*0.56*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2020 T3*2020-07-01*2020-09-30*6, de una escala del 1 al 7*0.21*-0.19**997851.05*1537*0.0*6343368*false*6.357*0.5*0.0*0.5*0.02*-1.89*17.41*0.57*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2020 S1*2020-01-01*2020-06-30*6, de una escala del 1 al 7*0.89*-0.23**1009893.05*1560*0.0*6543669*false*6.4796*0.99*0.0*0.99*0.04*14.05*27.72*0.56*False
IMANTIA RV ZONA EURO, FI*IMANTIA RV ZONA EURO, F.I.*2020 T1*2020-01-01*2020-03-31*6, de una escala del 1 al 7*0.54*-0.3**1047134.97*1572*0.0*5949187*false*5.6814*0.5*0.0*0.5*0.02*-23.35*42.43*0.55*False
