fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2016 T3*2016-07-01*2016-09-30*4, en una escala del 1 al 7*0.08*0.0**5020167.34*105*0.0*54048721*false*10.7663*0.11**0.11*0.01*2.54*4.48*0.28*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2016 S1*2016-01-01*2016-06-30*4, en una escala del 1 al 7*0.44*0.0**5020499.08*105*0.0*52714676*false*10.4999*0.22**0.22*0.02*-0.61*6.78*0.27*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2016 T1*2016-01-01*2016-03-31*4, en una escala del 1 al 7*0.09*0.0**5268611.86*105*0.0*55660499*false*10.5645*0.11**0.11*0.01*-3.64*9.54*0.25*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2017 S2*2017-07-01*2017-12-31*4, en una escala del 1 al 7*0.29*0.0**5018196.1*103*0.0*58214164*false*11.6006*0.23**0.23*0.03*1.15*3.04*0.3*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2017 T3*2017-07-01*2017-09-30*4, en una escala del 1 al 7*0.13*0.0**5007410.11*100*0.0*57427712*false*11.4685*0.11**0.11*0.01*0.92*3.75*0.3*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2017 S1*2017-01-01*2017-06-30*4, en una escala del 1 al 7*0.24*0.0**5006721.42*101*0.0*56894548*false*11.3636*0.22**0.22*0.02*-0.02*3.24*0.3*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2017 T1*2017-01-01*2017-03-31*4, en una escala del 1 al 7*0.11*0.0**5013239.29*99*0.0*56977785*false*11.3655*0.11**0.11*0.01*2.3*3.61*0.3*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2018 S2*2018-07-01*2018-12-31*4, en una escala del 1 al 7*0.25*-0.01**5061718.75*102*0.0*55326457*false*10.9304*0.23**0.23*0.03*-6.15*6.15*0.26*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2018 T3*2018-07-01*2018-09-30*4, en una escala del 1 al 7*0.21*-0.01**5053009.91*103*0.0*58849676*false*11.6465*0.11**0.11*0.01*0.94*2.36*0.28*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2018 S1*2018-01-01*2018-06-30*4, en una escala del 1 al 7*0.21*0.0**5045113.37*103*0.0*58213199*false*11.5385*0.22**0.22*0.02*1.02*3.46*0.3*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2018 T1*2018-01-01*2018-03-31*4, en una escala del 1 al 7*0.06*0.0**5013144.06*100*0.0*57258420*false*11.4217*0.11**0.11*0.01*-1.54*5.17*0.3*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2019 T3*2019-07-01*2019-09-30*4, en una escala del 1 al 7*0.07*-0.39**5080149.8*117*0.0*59623947*false*11.7367*0.11**0.11*0.01*1.24*3.83*0.26*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2019 S1*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.3*-0.22**5035014.99*106*0.0*58370818*false*11.593*0.22**0.22*0.02*1.03*3.07*0.26*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2019 T1*2019-01-01*2019-03-31*4, en una escala del 1 al 7*0.22*-0.05**5026427.79*109*0.0*57675330*false*11.4744*0.11**0.11*0.01*4.98*3.78*0.26*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2020 S2*2020-07-01*2020-12-31*4, en una escala del 1 al 7*0.51*-0.25**5072156.85*101*0.0*62313098*false*12.2853*0.23**0.23*0.03*4.21*5.01*0.27*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2020 T3*2020-07-01*2020-09-30*4, en una escala del 1 al 7*0.27*-0.26**5074160.59*105*0.0*59816644*false*11.7885*0.11**0.11*0.01*1.8*5.09*0.26*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2020 S1*2020-01-01*2020-06-30*4, en una escala del 1 al 7*0.71*-0.29**5085520.95*107*0.0*58890623*false*11.5801*0.22**0.22*0.02*7.9*8.0*0.26*False
BNP PARIBAS GLOBAL ASSET ALLOCATION, FI*BNP P.GLOB. ASSET ALLOCAT F.I.*2020 T1*2020-01-01*2020-03-31*4, en una escala del 1 al 7*0.33*-0.32**5094011.42*107*0.0*54671793*false*10.7326*0.11**0.11*0.01*-10.45*15.36*0.26*False
