fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2013 S2*2013-07-01*2013-12-31*3 en una escala del 1al 7,*0.0*0.0**503647.43*1123*0.0*5180743*false*10.2864*0.3*0.0*0.3*0.05*1.88*0.97*0.23*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2013 T3*2013-07-01*2013-09-30*3 en una escala del 1al 7,*0.0*0.0**449589.79*628*0.0*4539198*false*10.0963*0.15*0.0*0.15*0.03*1.57*1.49*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2013 S1*2013-01-01*2013-06-30*3 en una escala del 1al 7,*0.0*0.0**465665.17*406*0.0*4628627*false*9.9398*0.25*0.0*0.25*0.04*0.04*1.7*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2013 T1*2013-01-01*2013-03-31*3 en una escala del 1al 7,*0.0*0.0**162007.06*107*0.0*1609694*false*9.936*0.1*0.0*0.1*0.02***0.23*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2014 S2*2014-07-01*2014-12-31*2 en una escala del 1al 7,*0.0*0.0**644247.51*1730*0.0*6839929*false*10.6169*0.3*0.0*0.3*0.05*-0.05*0.85*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2014 T3*2014-07-01*2014-09-30*3 en una escala del 1al 7,*0.0*0.0**686512.13*1568*0.0*7292638*false*10.6227*0.15*0.0*0.15*0.03*0.4*1.01*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2014 S1*2014-01-01*2014-06-30*3 en una escala del 1al 7,*0.0*0.0**639989.2*1506*0.0*6771036*false*10.5799*0.3*0.0*0.3*0.05*1.25*0.94*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2014 T1*2014-01-01*2014-03-31*3 en una escala del 1al 7,*0.0*0.0**556479.39*1321*0.0*5814960*false*10.4496*0.15*0.0*0.15*0.02*1.59*0.83*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2015 S2*2015-07-01*2015-12-31*2 en una escala del 1al 7,*0.0*-0.03**742302.02*2112*0.0*7883757*false*10.6207*0.3*0.0*0.3*0.05*2.34*2.29*0.23*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2015 T3*2015-07-01*2015-09-30*2 en una escala del 1al 7,*0.0*-0.02**315612.28*1206*0.0*3275488*false*10.3782*0.15*0.0*0.15*0.03*-2.74*2.52*0.2*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2015 S1*2015-01-01*2015-06-30*3 en una escala del 1al 7,*0.2*-0.03**737830.72*1959*0.0*7873382*false*10.671*0.3*0.0*0.3*0.05*-0.08*0.68*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2015 T1*2015-01-01*2015-03-31*2 en una escala del 1al 7,*0.14*0.0**743004.87*1958*0.0*7934605*false*10.6791*0.15*0.0*0.15*0.02*0.59*0.8*0.19*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2016 S2*2016-07-01*2016-12-31*2 en una escala del 1al 7,*0.0*-0.28**668060.79*1157*0.0*7120044*false*10.6578*0.3*0.0*0.3*0.05***0.22*False
MIXED CONSERVATIVE, FI*GESIURIS MIXED CONSERVATIVE FI*2016 T3*2016-07-01*2016-09-30*3 en una escala del 1al 7,*0.07*-0.32**503833.84*1193*0.0*5362247*false*10.6429*0.15*0.0*0.15*0.03*0.54*0.35*0.2*False
