fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009 S2*2009-07-01*2009-12-31*medio-alta*0.29*0.36**892846.06*515*0.0*12535290*false*14.0397***0.33*0.09*2.3*11.25*0.27*False
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2009 T3*2009-07-01*2009-09-30*medio-alta*0.06*0.07**852982.7*503*0.0*11706277*false*13.7239***0.16*0.05*17.46*15.4*0.26*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2009 S1*2009-01-01*2009-06-30*medio-alta*1.07*0.6**778599.41*487*0.0*9097380*false*11.6843***0.32*0.1*15.33*32.74*0.11*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2010 T3*2010-07-01*2010-09-30*medio-alto*0.09*0.24**933808.37*511*0.0*13746667*false*14.7211***0.16*0.05*6.35*14.6*0.23*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2010 S1*2010-01-01*2010-06-30*medio-alta*0.26*0.48**939986.55*518*0.0*13011928*false*13.8427***0.32*0.1*-4.07*24.89*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*"Fondguissona
                Bolsa, F.I."*2010 T1*2010-01-01*2010-03-31*medio-alta*0.17*0.12**938894.62*526*0.0*13548002*false*14.4297***0.16*0.05*2.78*13.55*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2011 S2*2011-07-01*2011-12-31*Alto*0.04*1.45**919457.8*503*0.0*12417646*false*13.5054*0.33*0.0*0.33*0.1*5.63*24.36*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2011 T3*2011-07-01*2011-09-30*Alto*0.0*1.09**952159.25*507*0.0*12173846*false*12.7855***0.16*0.05*-18.14*25.49*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2011 S1*2011-01-01*2011-06-30*Alto*0.0*0.73**925861.17*514*0.0*14461176*false*15.6192***0.32*0.1*-1.76*11.35*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2011 T1*2011-01-01*2011-03-31*medio-alto*0.0*0.84**932720.68*520*0.0*14829785*false*15.8995***0.16*0.05*1.65*11.92*0.22*False
FONDGUISSONA GLOBAL BOLSA, FI*Fondguissona Bolsa, F.I.*2012 T3*2012-07-01*2012-09-30*Alto*0.05*0.0**892703.79*486*0.0*13294021*false*14.8919*0.16*0.0*0.16*0.05*7.12*16.18*0.23*False
