fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2016 T3*2016-07-01*2016-09-30*4 en una escala del 1 al 7*0.01*0.0**172878537.27*43856*0.0*793693230*false*4.591*0.16*0.0*0.16*0.03*-1.15*2.04*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2016 S1*2016-01-01*2016-06-30*4 en una escala del 1 al 7*0.63*-0.01**169441459.69*43482*0.0*786925047*false*4.6442*0.32*0.0*0.32*0.05*0.26*2.86*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2016 T1*2016-01-01*2016-03-31*4 en una escala del 1 al 7*0.25*0.0**165683388.62*43286*0.0*767509646*false*4.6324*0.16*0.0*0.16*0.02*0.73*6.4*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2015 S2*2015-07-01*2015-12-31*4 en una escala del 1 al 7*0.14*0.0**151217343.84*44276*0.0*695421802*false*4.5988*0.33*0.0*0.33*0.05*-6.85*6.48*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2017 S2*2017-07-01*2017-12-31*3 en una escala del 1 al 7*0.4*0.0**232465351.77*54223*0.0*1046163379*false*4.5003*0.33*0.0*0.33*0.05*0.04*1.07*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2017 T3*2017-07-01*2017-09-30*3 en una escala del 1 al 7*0.3*0.0**223512337.26*53175*0.0*1005520165*false*4.4987*0.16*0.0*0.16*0.03*0.36*1.75*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2017 S1*2017-01-01*2017-06-30*3 en una escala del 1 al 7*0.33*0.0**219043773.58*51978*0.0*981845529*false*4.4824*0.32*0.0*0.32*0.05*-0.02*1.13*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2017 T1*2017-01-01*2017-03-31*4 en una escala del 1 al 7*0.16*0.0**206222431.99*49702*0.0*924598403*false*4.4835*0.16*0.0*0.16*0.02*-1.23*1.18*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2018 S2*2018-07-01*2018-12-31*3 en una escala del 1 al 7*0.0*-0.39**162149570.22*58212*0.0*707072109*false*4.3606*0.33*0.0*0.33*0.05*-0.51*1.64*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2018 T3*2018-07-01*2018-09-30*3 en una escala del 1 al 7*0.03*-0.38**252774654.73*59949*0.0*1107947020*false*4.3831*0.16*0.0*0.16*0.03*-0.58*1.3*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2018 S1*2018-01-01*2018-06-30*3 en una escala del 1 al 7*0.23*-0.09**253641728.28*59724*0.0*1118223172*false*4.4087*0.32*0.0*0.32*0.05*-2.01*1.88*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2018 T1*2018-01-01*2018-03-31*3 en una escala del 1 al 7*0.1*0.01**244207753.87*58226*0.0*1098682182*false*4.499*0.16*0.0*0.16*0.02*-0.03*1.74*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2019 T3*2019-07-01*2019-09-30*3 en una escala del 1 al 7*0.12*-0.39**108978582.93*58543*0.0*447388226*false*4.1053*0.16*0.0*0.16*0.03*-3.26*6.26*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2019 S1*2019-01-01*2019-06-30*3 en una escala del 1 al 7*0.0*-0.39**104082865.24*57997*0.0*441700222*false*4.2437*0.32*0.0*0.32*0.05*-1.47*2.84*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2019 T1*2019-01-01*2019-03-31*3 en una escala del 1 al 7*0.0*-0.39**101230037.03*57357*0.0*436016839*false*4.3072*0.16*0.0*0.16*0.02*-1.23*2.15*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2020 S2*2020-07-01*2020-12-31*3 en una escala del 1 al 7*0.11*-0.45**103895965.7*70611*0.0*422579009*false*4.0673*0.33*0.0*0.33*0.05*-3.07*7.04*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2020 T3*2020-07-01*2020-09-30*3 en una escala del 1 al 7*0.16*-0.45**121172630.85*65924*0.0*508467698*false*4.1962*0.16*0.0*0.16*0.03*0.02*3.63*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2020 S1*2020-01-01*2020-06-30*3 en una escala del 1 al 7*0.09*-0.23**118901799.87*65035*0.0*498843746*false*4.1954*0.32*0.0*0.32*0.05*-2.37*5.94*0.19*False
KUTXABANK 0/100 CARTERAS, FI*KUTXABANK 0/100 CARTERAS, FI*2020 T1*2020-01-01*2020-03-31*3 en una escala del 1 al 7*0.0*-0.05**125918240.5*63728*0.0*541123514*false*4.2974*0.16*0.0*0.16*0.02*5.94*9.01*0.19*False
