fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 2 2017*2017-07-01*2017-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**10079604.54*2860*0.0*108070646*false*10.7217*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 3 2017*2017-07-01*2017-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.02*0.0**8994366.9*2559*0.0*94243793*false*10.4781*0.23*0.0*0.23*0.02*1.94*7.77*0.64*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 3 2017*2017-07-01*2017-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.02*0.0**675789.27*19*0.0*7091084*false*10.493*0.13*0.0*0.13*0.02*2.05*7.77*0.05*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 1 2017*2017-01-01*2017-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**7948872.19*2302*0.0*81701712*false*10.2784*0.44*0.0*0.44*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Semester 1 2017*2017-01-01*2017-06-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**595899.54*19*0.0*6127453*false*10.2827*0.2*0.0*0.2*0.03*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 1 2017*2017-01-01*2017-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**5079069.66*1522*0.0*51899320*false*10.2183*0.22*0.0*0.22*0.02*[]*[]*0.61*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 1 2017*2017-01-01*2017-03-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**324754.31*16*0.0*3316504*false*10.2123*0.07*0.0*0.07*0.01*[]*[]*0.1*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Semester 2 2018*2018-07-01*2018-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**12411132.05*3580*0.0*111603221*false*8.9922*0.45*0.0*0.45*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Semester 2 2018*2018-07-01*2018-12-31*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**1824838.36*59*0.0*16517367*false*9.0514*0.25*0.0*0.25*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE RETAIL GESTION VALUE FI*87728887*Trimester 3 2018*2018-07-01*2018-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**13040671.66*3612*0.0*136372457*false*10.4575*0.23*0.0*0.23*0.02*-2.11*6.49*0.61*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
GESTION VALUE, FI*CLASE INSTITUCIONAL GESTION VALUE FI*87728887*Trimester 3 2018*2018-07-01*2018-09-30*5115*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**1816740.28*61*0.0*19103126*false*10.5151*0.13*0.0*0.13*0.02*-2.01*6.49*0.51*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*BANCO INVERSIS, S.A.*
