fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2013*2013-07-01*2013-12-31*4599*N/D*ND*7 en una escala del 1al 7,*0.16*0.0**99009.79*42*0.0*984960*false*9.9481*0.95*0.0*0.95*0.05*2.36*6.16*0.68*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2013*2013-07-01*2013-09-30*4599*N/D*ND*7 en una escala del 1al 7,*0.07*0.0**61426.51*8*0.0*596977*false*9.7186*0.48*0.0*0.48*0.03*1.89*8.37*0.63*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2013*2013-01-01*2013-06-30*4599*N/D*ND*7 en una escala del 1al 7,*0.0*0.0**40005.9*3*0.0*381602*false*9.5386*0.54*0.0*0.54*0.03***0.83*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2014*2014-07-01*2014-12-31*4599*N/D*ND*6 en una escala del 1al 7,*0.39*0.0**301809.63*117*0.0*3233379*false*10.7133*0.96*0.0*0.96*0.05*4.02*13.35*0.54*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2014*2014-07-01*2014-09-30*4599*N/D*ND*7 en una escala del 1al 7,*0.19*0.0**298997.26*111*0.0*3079563*false*10.2996*0.48*0.0*0.48*0.03*-2.79*7.29*0.53*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2014*2014-01-01*2014-06-30*4599*N/D*ND*6 en una escala del 1al 7,*0.0*0.0**255276.48*99*0.0*2704636*false*10.5949*0.94*0.0*0.94*0.05*1.87*5.56*0.54*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 1 2014*2014-01-01*2014-03-31*4599*N/D*ND*7 en una escala del 1al 7,*0.06*0.0**117549.86*51*0.0*1222534*false*10.4001*0.47*0.0*0.47*0.02*4.54*8.91*0.57*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 2 2015*2015-07-01*2015-12-31*4599*N/D*ND*6 en una escala del 1al 7,*0.66*-0.01**431735.15*155*0.0*4628545*false*10.7208*0.96*0.0*0.96*0.05*9.8*15.57*0.58*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 3 2015*2015-07-01*2015-09-30*4599*N/D*ND*6 en una escala del 1al 7,*0.13*0.0**407449.94*158*0.0*3978492*false*9.7644*0.48*0.0*0.48*0.03*-17.56*22.94*0.53*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Semester 1 2015*2015-01-01*2015-06-30*4599*N/D*ND*6 en una escala del 1al 7,*0.02*0.0**384854.88*150*0.0*4558127*false*11.8438*0.94*0.0*0.94*0.05*0.5*11.06*0.53*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
PANDA AGRICULTURE & WATER FUND, FI*PANDA AGRICULTURE & WATER FUND FI*66035858*Trimester 1 2015*2015-01-01*2015-03-31*4599*N/D*ND*6 en una escala del 1al 7,*0.0*0.0**348739.02*137*0.0*4109789*false*11.7847*0.47*0.0*0.47*0.02*10.0*9.18*0.52*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0114633003
