fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Trimester 3 2017*2017-07-01*2017-09-30*5105*N/D*ND*5 en una escala de 1 a 7*0.01*0.0**1266254.18*160*0.0*12572235*false*9.9287*0.31*0.0*0.31*0.03*0.04*3.44*0.42*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Semester 1 2017*2017-01-01*2017-06-30*5105*N/D*ND*5 en una escala de 1 a 7*0.0*0.0**853723.56*35*0.0*8472571*false*9.9243*0.61*0.0*0.61*0.05*-0.19*3.17*0.43*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Trimester 1 2017*2017-01-01*2017-03-31*5105*N/D*ND*5 en una escala de 1 a 7*0.0*0.0**53730.18*3*0.0*534233*false*9.9429*0.26*0.0*0.26*0.02***0.56*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Semester 2 2018*2018-07-01*2018-12-31*5105*N/D*ND*5 en una escala de 1 a 7*1.21*0.0**1593346.51*169*0.0*14189579*false*8.9055*0.63*0.0*0.63*0.05*-5.64*5.27*0.47*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Trimester 3 2018*2018-07-01*2018-09-30*5105*N/D*ND*5 en una escala de 1 a 7*0.66*0.0**1656191.72*176*0.0*15631406*false*9.4382*0.31*0.0*0.31*0.03*0.38*3.15*0.47*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Semester 1 2018*2018-01-01*2018-06-30*5105*N/D*ND*5 en una escala de 1 a 7*1.94*-0.09**1603053.29*181*0.0*15072974*false*9.4027*0.62*0.0*0.62*0.05*-0.91*5.21*0.42*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Trimester 1 2018*2018-01-01*2018-03-31*5105*N/D*ND*5 en una escala de 1 a 7*1.38*-0.16**1656060.73*182*0.0*15714595*false*9.4891*0.31*0.0*0.31*0.02*-4.02*6.17*0.33*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Semester 2 2019*2019-07-01*2019-12-31*5105*N/D*ND*5 en una escala de 1 a 7*0.85*-0.18**1853992.21*171*0.0*18005635*false*9.7118*0.63*0.0*0.63*0.05*1.71*2.35*0.42*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Trimester 3 2019*2019-07-01*2019-09-30*5105*N/D*ND*5 en una escala de 1 a 7*0.64*0.0**1865307.13*175*0.0*17810979*false*9.5486*0.31*0.0*0.31*0.03*1.06*2.86*0.44*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Semester 1 2019*2019-01-01*2019-06-30*5105*N/D*ND*5 en una escala de 1 a 7*1.08*0.02**1729241.03*175*0.0*16338745*false*9.4485*0.62*0.0*0.62*0.05*1.44*2.8*0.46*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
JDS CAPITAL MULTIESTRATEGIA, FI*JDS CAPITAL MULTIESTRATEGIA, FI*87694238*Trimester 1 2019*2019-01-01*2019-03-31*5105*N/D*ND*5 en una escala de 1 a 7*0.72*0.05**1626945.02*169*0.0*15153994*false*9.3144*0.31*0.0*0.31*0.02*4.59*3.76*0.45*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0156453005
