fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2012 S 1*2012-01-01*2012-06-30*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Alto*0.45*0.33**1849425.3*341*0.0*17360589*false*9.387*0.88*0.0*0.88*0.09*-3.39*11.53*0.53*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2012 S 1*2012-01-01*2012-06-30*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Muy Alto*0.45*0.33**121510.54*80*0.0*1131363*false*9.3108*0.97*0.0*0.97*0.1*-3.43*11.53*0.59*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2012 T 1*2012-01-01*2012-03-31*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Muy Alto*0.22*0.33**1869999.99*352*0.0*18168683*false*9.7159*0.44*0.0*0.44*0.04*8.09*14.72*0.55*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2012 T 1*2012-01-01*2012-03-31*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Muy Alto*0.22*0.33**110249.47*76*0.0*1063004*false*9.6418*0.48*0.0*0.48*0.05*8.04*14.72*0.6*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2011 S 2*2011-07-01*2011-12-31*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Muy Alto*0.85*1.01**1811184.76*370*0.0*16280075*false*8.9886*0.9*0.0*0.9*0.09*4.16*[]*0.53*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2011 S 2*2011-07-01*2011-12-31*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Muy Alto*0.85*1.01**97930.39*64*0.0*873984*false*8.9245*0.98*0.0*0.98*0.1*4.11*[]*0.65*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 S 2*2013-07-01*2013-12-31*2342*a través del formulario disponible en www.laCaixa.es*BB+*6 - Alto**0.25**6472325.91*865*0.0*79816624*false*12.332*0.89*0.0*0.89*0.09*6.61*6.88*0.52*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 S 2*2013-07-01*2013-12-31*2342*a través del formulario disponible en www.laCaixa.es*BB+*6 - Alto**0.25**11586675.4*7721*0.0*141265170*false*12.192*0.97*0.0*0.97*0.1*6.53*6.88*0.57*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 T 3*2013-07-01*2013-09-30*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*0.08*0.19**3499843.9*518*0.0*40484894*false*11.5676*0.45*0.0*0.45*0.04*5.18*7.32*0.51*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 T 3*2013-07-01*2013-09-30*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*0.08*0.19**1919262.49*1459*0.0*21965998*false*11.445*0.49*0.0*0.49*0.05*5.13*7.32*0.56*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 S 1*2013-01-01*2013-06-30*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*7 - Muy alto*0.83*0.28**2931584.34*416*0.0*32241489*false*10.998*0.88*0.0*0.88*0.09*1.75*10.96*0.52*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 S 1*2013-01-01*2013-06-30*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*7 - Muy alto*0.83*0.28**1026975.53*818*0.0*11180550*false*10.8869*0.96*0.0*0.96*0.1*1.7*10.96*0.57*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 T 1*2013-01-01*2013-03-31*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Alto*0.45*0.33**2185076.29*369*0.0*23617319*false*10.8085*0.44*0.0*0.44*0.04*7.22*7.55*0.53*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2013 T 1*2013-01-01*2013-03-31*2342*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Muy Alto*0.45*0.33**475719.18*370*0.0*5092393*false*10.7046*0.48*0.0*0.48*0.05*7.17*7.55*0.57*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 S 2*2014-07-01*2014-12-31*2342*a través del formulario disponible en www.laCaixa.es*BBB*5 - Medio-alto*0.38*0.22**13377429.22*1777*0.0*180880817*false*13.5213*0.89*0.0*0.89*0.09*3.23*12.19*0.51*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 S 2*2014-07-01*2014-12-31*2342*a través del formulario disponible en www.laCaixa.es*BBB*5 - Medio-alto*0.38*0.22**18151417.62*14203*0.0*242165854*false*13.3414*0.98*0.0*0.98*0.1*3.18*12.18*0.56*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 T 3*2014-07-01*2014-09-30*2342*a través del formulario disponible en www.laCaixa.es*BBB-*5 - Medio-alto*0.13*0.27**11850960.76*1596*0.0*155221183*false*13.0978*0.45*0.0*0.45*0.04*1.96*6.78*0.52*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 T 3*2014-07-01*2014-09-30*2342*a través del formulario disponible en www.laCaixa.es*BBB-*5 - Medio-alto*0.13*0.27**16249602.67*12470*0.0*210106523*false*12.9299*0.49*0.0*0.49*0.05*1.91*6.78*0.57*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 S 1*2014-01-01*2014-06-30*2342*a través del formulario disponible en www.laCaixa.es*BBB-*5 - Medio-alto*0.39*0.35**10349981.68*1362*0.0*132958661*false*12.8463*0.88*0.0*0.88*0.09*3.86*5.96*0.52*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 S 1*2014-01-01*2014-06-30*2342*a través del formulario disponible en www.laCaixa.es*BBB-*5 - Medio-alto*0.39*0.35**14056011.45*10498*0.0*178342697*false*12.688*0.97*0.0*0.97*0.1*3.8*5.96*0.57*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 T 1*2014-01-01*2014-03-31*2342*a través del formulario disponible en www.laCaixa.es*BB+*6 - Alto*0.2*0.34**8453892.08*1124*0.0*104569231*false*12.3694*0.44*0.0*0.44*0.04*0.3*9.2*0.51*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2014 T 1*2014-01-01*2014-03-31*2342*a través del formulario disponible en www.laCaixa.es*BB+*6 - Alto*0.2*0.34**12935787.67*9268*0.0*158114089*false*12.223*0.48*0.0*0.48*0.05*0.25*9.2*0.56*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2015 T 3*2015-07-01*2015-09-30*2342*a través del formulario disponible en www.laCaixa.es*BBB*5 - Medio-alto*0.26*0.12**17155471.37*2684*0.0*225686383*false*13.1554*0.45*0.0*0.45*0.04*-7.28*18.13*0.52*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK OPORTUNIDAD, FI*FONCAIXA OPORTUNIDAD, FI*82903212*2015 T 3*2015-07-01*2015-09-30*2342*a través del formulario disponible en www.laCaixa.es*BBB*5 - Medio-alto*0.26*0.12**26040103.39*23006*0.0*337507072*false*12.961*0.49*0.0*0.49*0.05*-7.33*18.13*0.57*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
