fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Semester 2 2018*2018-07-01*2018-12-31*5307*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**243963.01*21*0.0*2315031*false*9.4893*0.24*0.0*0.24*0.02***0.54*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Semester 2 2019*2019-07-01*2019-12-31*5307*N/D*ND*4 en una escala de 1 a 7*0.44*-0.16**2031643.86*151*0.0*21429415*false*10.5478*0.5*0.22*0.73*0.04*2.01*3.5*0.34*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Trimester 3 2019*2019-07-01*2019-09-30*5307*N/D*ND*4 en una escala de 1 a 7*0.32*0.0**1505039.75*74*0.0*15562411*false*10.3402*0.25*0.01*0.26*0.02*0.09*4.46*0.34*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Semester 1 2019*2019-01-01*2019-06-30*5307*N/D*ND*4 en una escala de 1 a 7*0.85*0.0**1365640.5*60*0.0*14108490*false*10.331*0.49*0.5*0.99*0.04*1.48*4.13*0.34*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Trimester 1 2019*2019-01-01*2019-03-31*5307*N/D*ND*4 en una escala de 1 a 7*0.48*0.0**922978.2*40*0.0*9396444*false*10.1806*0.24*0.5*0.74*0.02*7.29*5.16*0.33*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Semester 2 2020*2020-07-01*2020-12-31*5307*N/D*ND*4 en una escala de 1 a 7*0.52*-0.41**2613606.07*235*0.0*30566555*false*11.6952*0.5*0.75*1.25*0.04*5.21*5.1*0.43*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Trimester 3 2020*2020-07-01*2020-09-30*5307*N/D*ND*4 en una escala de 1 a 7*0.45*-0.4**2446356.86*206*0.0*27194055*false*11.1161*0.25*0.28*0.53*0.02*3.33*5.68*0.38*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Semester 1 2020*2020-01-01*2020-06-30*5307*N/D*ND*4 en una escala de 1 a 7*0.53*-0.41**2100639.6*190*0.0*22598430*false*10.7579*0.5*0.18*0.68*0.04*13.45*9.5*0.36*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
GINVEST GPS, FI*GINVEST GPS, FI*55330591*Trimester 1 2020*2020-01-01*2020-03-31*5307*N/D*ND*4 en una escala de 1 a 7*0.34*-0.4**2098302.52*178*0.0*19896422*false*9.4822*0.25*0.0*0.25*0.02*-10.1*17.74*0.34*GINVEST ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
