fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 1 2018*2018-01-01*2018-06-30*4828*N/D*A2 (Moody's)*5 en una escala del 1 al 7,*0.09*0.0**427308.76*112*0.0*4926335*false*11.5287*0.87*0.0*0.87*0.04*2.57*10.3*0.48*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 1 2018*2018-01-01*2018-03-31*4828*N/D*A3 (Moody's)*5 en una escala del 1 al 7*0.0*0.0**424253.92*109*0.0*4768362*false*11.2394*0.43*0.0*0.43*0.02*-2.24*13.92*0.48*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 2 2017*2017-07-01*2017-12-31*4828*N/D*A3 (Moody's)*5 en una escala del 1 al 7,*0.09*0.0**390748.21*108*0.0*4492288*false*11.4966*0.88*0.0*0.88*0.04*1.78*8.37*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 2 2019*2019-07-01*2019-12-31*4828*N/D*A2 (Moody's)*6 en una escala del 1 al 7*0.12*-0.25**421410.09*109*0.0*4849019*false*11.5067*0.88*0.0*0.88*0.04*4.44*11.19*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 3 2019*2019-07-01*2019-09-30*4828*N/D*A2 (Moody's)*5 en una escala del 1 al 7,*0.06*-0.09**424338.88*110*0.0*4675091*false*11.0174*0.44*0.0*0.44*0.02*-0.31*13.67*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 1 2019*2019-01-01*2019-06-30*4828*N/D*A2 (Moody's)*5 en una escala del 1 al 7,*0.13*0.0**424334.41*110*0.0*4689394*false*11.0512*0.87*0.0*0.87*0.04*3.08*13.36*0.48*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 1 2019*2019-01-01*2019-03-31*4828*N/D*A2 (Moody's)*5 en una escala del 1 al 7,*0.05*0.0**424334.41*110*0.0*4549135*false*10.7206*0.43*0.0*0.43*0.02*13.08*14.8*0.48*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 3 2020*2020-07-01*2020-09-30*4828*N/D*Aa3 (Moody's)*6 en una escala del 1al 7,*0.06*-0.3**442324.67*110*0.0*4063405*false*9.1865*0.44*0.0*0.44*0.02*-0.31*17.19*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 1 2020*2020-01-01*2020-06-30*4828*N/D*A2 (Moody's)*6 en una escala del 1 al 7,*0.13*-0.35**442324.67*110*0.0*4076209*false*9.2154*0.87*0.0*0.87*0.04*9.54*30.03*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Trimester 1 2020*2020-01-01*2020-03-31*4828*N/D*A2 (Moody's)*6 en una escala del 1al 7,*0.1*-0.33**442324.67*110*0.0*3721210*false*8.4128*0.43*0.0*0.43*0.02*-26.89*41.64*0.48*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
DEEP VALUE INTERNATIONAL, FI*DEEP VALUE INTERNATIONAL FI*66412131*Semester 2 2019*2019-07-01*2019-12-31*4828*N/D*A2 (Moody's)*6 en una escala del 1 al 7*0.12*-0.25**421410.09*109*0.0*4849019*false*11.5067*0.88*0.0*0.88*0.04*4.44*11.19*0.49*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126082009
