fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2013 S2*2013-07-01*2013-12-31*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*0.45*0.09**780335.54*459*0.0*5277698*false*6.7634*1.1*0.0*1.1*0.1*7.42*7.58*0.96*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2013 T3*2013-07-01*2013-09-30*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*0.0*0.09**496298.8*64*0.0*3124838*false*6.2963*0.54*0.0*0.54*0.05*5.9*9.23*0.97*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2013 S1*2013-01-01*2013-06-30*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*0.53*0.07**108457.35*50*0.0*644820*false*5.9454*0.53*0.0*0.53*0.05***1.18*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2014 S2*2014-07-01*2014-12-31*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*6 - Alto*0.27*0.03**630037.83*581*0.0*4555140*false*7.2299*1.11*0.0*1.11*0.1*2.85*15.26*0.93*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2014 T3*2014-07-01*2014-09-30*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*6 - Alto*0.0*0.04**676525.61*615*0.0*4755791*false*7.0297*0.55*0.0*0.55*0.05*-0.18*9.12*0.94*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2014 S1*2014-01-01*2014-06-30*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*6 - Alto*0.0*0.16**580799.28*586*0.0*4090343*false*7.0426*1.09*0.0*1.09*0.1*1.53*10.32*0.93*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2014 T1*2014-01-01*2014-03-31*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*0.0*0.14**883112.99*540*0.0*6125594*false*6.9364*0.54*0.0*0.54*0.05*2.56*11.41*0.93*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2015 S2*2015-07-01*2015-12-31*4582*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*6 - Alto*0.16*0.03**1075040.18*838*0.0*8305635*false*7.7259*1.11*0.0*1.11*0.1*8.84*15.13*0.9*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2015 T3*2015-07-01*2015-09-30*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*6 - Alto*0.22*0.03**1003029.89*805*0.0*7120018*false*7.0985*0.55*0.0*0.55*0.05*-12.33*23.83*0.9*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2015 S1*2015-01-01*2015-06-30*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*6 - Alto*0.0*0.02**997852.1*810*0.0*8079208*false*8.0966*1.09*0.0*1.09*0.1*-3.24*14.03*0.92*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ECOLOGICO, FI*MICROBANK FONDO ECOLOGICO, FI*66013079*2015 T1*2015-01-01*2015-03-31*4582*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*6 - Alto*0.0*0.02**841428.18*721*0.0*7040650*false*8.3675*0.54*0.0*0.54*0.05*15.73*11.28*0.92*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
