fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2018 S2*2018-07-01*2018-12-31*4, en una escala del 1 al 7*0.11*0.0**2623412.76*98*0.0*31450348*false*11.9883*0.22**0.22*0.03*-6.23*7.16*0.21
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2018 T3*2018-07-01*2018-09-30*4, en una escala del 1 al 7*0.04*0.0**2621736.22*102*0.0*33519437*false*12.7852*0.11**0.11*0.01*0.58*3.33*0.22
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2018 S1*2018-01-01*2018-06-30*4, en una escala del 1 al 7*0.31*0.0**2623932.46*103*0.0*33355819*false*12.7121*0.22**0.22*0.02*1.62*4.54*0.21
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2018 T1*2018-01-01*2018-03-31*4, en una escala del 1 al 7*0.15*0.0**2603153.99*95*0.0*32563062*false*12.5091*0.11**0.11*0.01*-2.41*6.82*0.21
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2019 S2*2019-07-01*2019-12-31*4, en una escala del 1 al 7*0.22*-0.37**2652216.45*117*0.0*35694903*false*13.4585*0.22**0.22*0.03*2.41*4.88*0.21
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2019 T3*2019-07-01*2019-09-30*4, en una escala del 1 al 7*0.12*-0.38**2642409.58*122*0.0*34727213*false*13.1423*0.11**0.11*0.01*1.35*5.19*0.21
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2019 S1*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.28*-0.21**2620356.55*110*0.0*33980145*false*12.9678*0.22**0.22*0.02*1.63*4.41*0.21
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2019 T1*2019-01-01*2019-03-31*4, en una escala del 1 al 7*0.2*-0.05**2616516.43*111*0.0*33386949*false*12.7601*0.11**0.11*0.01*6.44*5.14*0.2
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2020 S2*2020-07-01*2020-12-31*4, en una escala del 1 al 7*0.42*-0.07**2635736.1*107*0.0*35708670*false*13.5479*0.22**0.22*0.03*6.26*7.71*0.22
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2020 T3*2020-07-01*2020-09-30*4, en una escala del 1 al 7*0.2*-0.05**2648155.01*111*0.0*33762199*false*12.7493*0.11**0.11*0.01*1.07*7.91*0.22
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2020 S1*2020-01-01*2020-06-30*4, en una escala del 1 al 7*0.71*-0.27**2654465.04*111*0.0*33483679*false*12.6141*0.22**0.22*0.02*9.37*11.99*0.23
BNP PARIBAS GLOBAL DINVER, FI*BNP P.GLOBAL DINVER F.I.*2020 T1*2020-01-01*2020-03-31*4, en una escala del 1 al 7*0.41*-0.31**2654666.95*113*0.0*30617088*false*11.5333*0.11**0.11*0.01*-14.3*22.0*0.2
