fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2009 S2*2009-07-01*2009-12-31*Medio*4.73*0.27**852143.07*109*0.0*7193800*false*8.442***0.76*0.06*-2.41*6.36*0.42
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2009 S1*2009-01-01*2009-06-30*Medio*3.74*0.96**857862.2*111*0.0*6996000*false*8.1547***1.5*0.11*10.86*0.45*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2010 S2*2010-07-01*2010-12-31*Medio*2.86*0.44**852144.38*109*0.0*6796604*false*7.9759***0.76*0.06*-1.47*7.79*0.42
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2010 T3*2010-07-01*2010-09-30*Medio*1.44*0.35**852144.38*109*0.0*6897716*false*8.0945***0.38*0.03*5.04*7.23*0.42
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2010 S1*2010-01-01*2010-06-30*Medio*3.57*0.26**852144.38*109*0.0*6566596*false*7.706***0.74*0.05*-6.64*17.06*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2010 T1*2010-01-01*2010-03-31*Medio*2.05*0.25**852144.38*109*0.0*7033903*false*8.2544***0.37*0.03*-2.22*9.5*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2011 S2*2011-07-01*2011-12-31*Medio-alto*5.72*0.81**843437.5*102*0.0*7000673*false*8.3002*0.76**0.76*0.04*1.2*8.99*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2011 T3*2011-07-01*2011-09-30*Medio-alto*3.44*0.91**852137.54*102*0.0*6988937*false*8.2017***0.38*0.02*-4.22*13.85*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2011 S1*2011-01-01*2011-06-30*Medio-alto*3.86*0.76**852137.54*102*0.0*7296786*false*8.5629***0.74*0.04*-0.01*5.77*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2011 T1*2011-01-01*2011-03-31*Medio-alto*2.17*0.59**852137.54*102*0.0*7297502*false*8.5638***0.37*0.03*7.37*7.71*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2012 T3*2012-07-01*2012-09-30*Medio-alto*1.63*0.05**843437.5*102*0.0*6549584*false*7.7653*0.38**0.38*0.02*5.88*18.62*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2012 S1*2012-01-01*2012-06-30*Medio-alto*3.26*0.16**843437.5*102*0.0*6186023*false*7.3343*0.75**0.75*0.04*-8.32*18.17*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2012 T1*2012-01-01*2012-03-31*Medio-alto*1.81*0.18**843437.5*102*0.0*6747372*false*7.9998*0.37**0.37*0.02*-3.62*7.41*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2013 S2*2013-07-01*2013-12-31*7, en una escala de 1 a 7*2.42*0.19**953639.24*214*0.0*8569463*false*8.9861*0.76**0.76*0.04*3.38*4.98*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2013 T3*2013-07-01*2013-09-30*7, en una escala de 1 a 7*1.13*0.13**960582.23*214*0.0*8349849*false*8.6925*0.38**0.38*0.02*6.71*6.32*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2013 S1*2013-01-01*2013-06-30*7, en una escala de 1 a 7*2.78*0.16**962711.39*214*0.0*7842163*false*8.1459*0.81**0.81*0.04***0.48
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2013 T1*2013-01-01*2013-03-31*7, en una escala de 1 a 7*1.49*0.03**843437.5*102*0.0*6903454*false*8.1849*0.37**0.37*0.02*1.23**0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2014 S2*2014-07-01*2014-12-31*7, en una escala de 1 a 7*3.27*0.11**957199.85*210*0.0*8900168*false*9.2981*0.76**0.76*0.04*-1.26*12.6*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2014 T3*2014-07-01*2014-09-30*7, en una escala de 1 a 7*1.11*0.13**968611.41*211*0.0*9121463*false*9.4171*0.38**0.38*0.02*-1.02*5.84*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2014 S1*2014-01-01*2014-06-30*7, en una escala de 1 a 7*3.56*0.23**969032.82*211*0.0*9219811*false*9.5144*0.74**0.74*0.04*2.11*4.24*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2014 T1*2014-01-01*2014-03-31*7, en una escala de 1 a 7*2.2*0.26**964253.18*215*0.0*8985100*false*9.3182*0.37**0.37*0.02*3.7*7.7*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2015 T3*2015-07-01*2015-09-30*7, en una escala de 1 a 7*1.3*0.0**945455.17*209*0.0*7959173*false*8.4184*0.38**0.38*0.02*-11.01*17.63*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2015 S1*2015-01-01*2015-06-30*7, en una escala de 1 a 7*3.84*0.03**945439.59*209*0.0*8943402*false*9.4595*0.74**0.74*0.04*-3.01*7.92*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2015 T1*2015-01-01*2015-03-31*7, en una escala de 1 a 7*2.26*0.06**956888.19*210*0.0*9332309*false*9.7528*0.37**0.37*0.02*4.89*7.11*0.4
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2016 T3*2016-07-01*2016-09-30*7, en una escala de 1 a 7*1.44*0.0**882031.86*208*0.0*7656483*false*8.6805*0.38**0.38*0.02*6.64*12.04*0.41
EUROAGENTES UNIVERSAL, FI*EUROAGENTES UNIVERSAL FI*2016 S1*2016-01-01*2016-06-30*7, en una escala de 1 a 7*3.24*0.0**896288.12*208*0.0*7295722*false*8.1399*0.75**0.75*0.04*-3.12*24.07*0.41
