fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2009 S2*2009-07-01*2009-12-31*Bajo*0.0*0.23**667889.57*16682*0.0*553626686*false*828.9213***0.18*0.08*0.16*0.25*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2009 T3*2009-07-01*2009-09-30*Bajo*0.08*0.28**695950.55*16289*0.0*575990597*false*827.6315***0.09*0.04*0.19*0.05*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2009 S1*2009-01-01*2009-06-30*Bajo*0.12*1.04**717076.22*18008*0.0*592341469*false*826.0509***0.16*0.07*0.32*0.1*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2010 S2*2010-07-01*2010-12-31*Bajo*0.0*1.18**382967.75*11533*0.0*318928270*false*832.781***0.18*0.08*0.23*0.06*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2010 T3*2010-07-01*2010-09-30*Bajo*0.0*1.19**410419.06*11225*0.0*341002798*false*830.8649***0.09*0.04*0.32*0.07*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2010 S1*2010-01-01*2010-06-30*Bajo*0.05*0.6**468902.69*12411*0.0*388366439*false*828.2453***0.17*0.07*-0.18*0.26*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2010 T1*2010-01-01*2010-03-31*Bajo*0.19*0.37**561559.85*14301*0.0*465969248*false*829.7766***0.09*0.04*0.1*0.12*0.12
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2011 T3*2011-07-01*2011-09-30*Bajo*0.3*1.33**333756.71*10243*0.0*281303014*false*842.8385***0.09*0.04*0.51*0.29*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2011 S1*2011-01-01*2011-06-30*Bajo*0.0*1.19**330094.27*10297*0.0*276797923*false*838.542***0.17*0.07*0.43*0.07*0.13
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2011 T1*2011-01-01*2011-03-31*Bajo*0.0*1.04**362782.91*11197*0.0*302912877*false*834.9701***0.09*0.04*0.26*0.09*0.12
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2012 S2*2012-07-01*2012-12-31*1, en una escala del 1 a 7*0.34*1.93**272149.3*8515*0.0*237414458*false*872.3684*0.22*0.0*0.22*0.08*0.77*0.23*0.16
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2012 T3*2012-07-01*2012-09-30*1, en una escala del 1 al 7.*0.01*1.78**270680.82*8607*0.0*234336628*false*865.7304*0.11*0.0*0.11*0.04*0.89*0.36*0.14
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2012 S1*2012-01-01*2012-06-30*1, de una escala del 1 al 7*0.92*0.25**281303.56*8844*0.0*241382678*false*858.0861*0.22*0.0*0.22*0.07*0.15*0.27*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2012 T1*2012-01-01*2012-03-31*Bajo*0.67*0.41**300766.77*9266*0.0*257698825*false*856.8062*0.1*0.0*0.1*0.04***0.14
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2013 S2*2013-07-01*2013-12-31*1, en una escala del 1 a 7*0.51*1.26**346236.14*9666*0.0*308119544*false*889.9116*0.23*0.0*0.23*0.08*0.39*0.11*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2013 T3*2013-07-01*2013-09-30*1, en una escala del 1 a 7*0.24*1.25**350895.47*9721*0.0*311059692*false*886.4739*0.11*0.0*0.11*0.04*0.52*0.12*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2013 S1*2013-01-01*2013-06-30*1, en una escala del 1 a 7*0.44*1.16**342581.54*9565*0.0*302119660*false*881.8912*0.22*0.0*0.22*0.07*0.42*0.12*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2013 T1*2013-01-01*2013-03-31*1, en una escala del 1 a 7*0.18*1.27**312007.13*9280*0.0*274012996*false*878.2267*0.11*0.0*0.11*0.04*0.67*0.2*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2014 S2*2014-07-01*2014-12-31*1, en una escala del 1 a 7*0.2*0.58**355824.02*10856*0.0*318839655*false*896.06*0.23*0.0*0.23*0.08*0.05*0.04*0.15
BANKINTER CAPITAL 2, FI*BANKINTER DINERO 2, FI*2014 T3*2014-07-01*2014-09-30*1, en una escala del 1 a 7*0.08*0.72**348440.2*10314*0.0*312074213*false*895.6321*0.11*0.0*0.11*0.04*0.15*0.04*0.15
