fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009 S2*2009-07-01*2009-12-31*alta*0.07*0.36**1633248.53*842*0.0*8195671*false*5.018***1.13*0.04*6.22*7.96*0.74
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009 T3*2009-07-01*2009-09-30*alta*0.0*0.24**1568519.33*831*0.0*7409878*false*4.7241***0.57*0.02*14.94*10.97*0.72
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2009 S1*2009-01-01*2009-06-30*alta*0.2*0.36**1491913.07*828*0.0*6131645*false*4.1099***1.12*0.05*14.73*26.75*0.3
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2010 S2*2010-07-01*2010-12-31*alto*0.13*0.36**1986816.35*865*0.0*12096875*false*6.0886***1.13*0.05*12.17*11.11*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2010 T3*2010-07-01*2010-09-30*alto*0.07*0.24**1602148.18*862*0.0*8696635*false*5.4281***0.57*0.03*2.59*13.83*0.57
GVCGAESCO T.F.T., FI*Gaesco T.F.T., F.I.*2010 S1*2010-01-01*2010-06-30*alta*0.0*0.24**1882622.76*878*0.0*9960994*false*5.291***1.12*0.05*-3.68*19.24*0.64
GVCGAESCO T.F.T., FI*"Gaesco
                T.F.T., F.I."*2010 T1*2010-01-01*2010-03-31*alta*0.0*0.24**1910191.23*873*0.0*10492595*false*5.493***0.55*0.02*9.46*9.9*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2011 S2*2011-07-01*2011-12-31*Muy alto*0.19*0.84**1891230.08*844*0.0*10668334*false*5.6409*1.13*0.0*1.13*0.05*9.22*21.72*0.61
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2011 T3*2011-07-01*2011-09-30*Muy alto*0.16*0.72**1935344.82*872*0.0*9995493*false*5.1647***0.57*0.03*-11.49*26.69*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2011 S1*2011-01-01*2011-06-30*Muy alto*0.0*0.6**1995825.22*887*0.0*11645787*false*5.8351***1.11*0.05*-3.33*9.71*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2011 T1*2011-01-01*2011-03-31*alto*0.0*0.48**2117329.42*889*0.0*12780809*false*6.0363***0.55*0.02*-0.86*12.83*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2012 T3*2012-07-01*2012-09-30*Muy alto*0.05*0.12**1948237.21*838*0.0*12374848*false*6.3518*0.57*0.0*0.57*0.03*4.6*12.63*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2012 S1*2012-01-01*2012-06-30*Muy alto*0.27*0.24**1916059.56*840*0.0*11635461*false*6.0726*1.12*0.0*1.12*0.05*-5.6*13.93*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2012 T1*2012-01-01*2012-03-31*Muy alto*0.19*0.24**1906658.66*844*0.0*12265209*false*6.4328*0.56*0.0*0.56*0.02*14.04*10.24*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2013 S2*2013-07-01*2013-12-31*6 (En una escala del 1 al 7)*0.26*0.0**2346904.18*992*0.0*19009999*false*8.1*1.13*0.0*1.13*0.05*8.02*8.24*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2013 T3*2013-07-01*2013-09-30*6 (En una escala del 1 al 7)*0.12*0.0**2129039.46*931*0.0*15965119*false*7.4987*0.57*0.0*0.57*0.03*8.84*8.49*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2013 S1*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*0.0**2001593.44*894*0.0*13790603*false*6.8898*1.12*0.0*1.12*0.05*-1.22*13.26*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2013 T1*2013-01-01*2013-03-31*Muy alto*0.01*0.0**1796218.07*851*0.0*12529013*false*6.9752*0.56*0.0*0.56*0.02*8.66*8.25*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2014 T3*2014-07-01*2014-09-30*6 (En una escala del 1 al 7)*0.0*0.0**2560328.91*1091*0.0*22584964*false*8.8211*0.57*0.0*0.57*0.03*1.79*8.73*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2014 S1*2014-01-01*2014-06-30*6 (En una escala del 1 al 7)*0.13*0.12**2315919.38*1069*0.0*20070706*false*8.6664*1.12*0.0*1.12*0.05*0.5*10.12*0.59
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2014 T1*2014-01-01*2014-03-31*6 (En una escala del 1 al 7)*0.06*0.12**2401711.58*1060*0.0*20710785*false*8.6233*0.55*0.0*0.55*0.02*6.46*10.57*0.58
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2015 S2*2015-07-01*2015-12-31*6 (En una escala del 1 al 7)*0.21*0.0**2626583.83*1210*0.0*26369823*false*10.0396*1.13*0.0*1.13*0.05*8.44*12.9*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2015 T3*2015-07-01*2015-09-30*6 (En una escala del 1 al 7)*0.01*0.0**2426549.28*1173*0.0*22464911*false*9.258*0.57*0.0*0.57*0.03*-9.29*21.44*0.6
GVCGAESCO T.F.T., FI*GVC Gaesco T.F.T., F.I.*2015 S1*2015-01-01*2015-06-30*6 (En una escala del 1 al 7)*0.04*0.0**2364867.89*1151*0.0*24134939*false*10.2056*1.12*0.0*1.12*0.05*-3.32*12.56*0.59
