fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2012 T1*2012-01-01*2012-03-31*Medio*0.74*1.09**106629.49*411*0.0*12279389*false*115.1594*0.34*0.0*0.34*0.02*5.01*6.81*0.37
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2013 S2*2013-07-01*2013-12-31*4 (En una escala del 1 al 7)*0.71*2.17**265550.52*1019*0.0*35922159*false*135.2743*0.68*0.75*1.43*0.05*3.43*4.96*0.37
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2013 T3*2013-07-01*2013-09-30*4 (En una escala del 1 al 7)*0.41*2.21**229543.23*822*0.0*30022978*false*130.7944*0.34*0.3*0.64*0.03*3.95*5.51*0.67
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2013 S1*2013-01-01*2013-06-30*4 (En una escala del 1 al 7)*0.47*1.92**201839.69*725*0.0*25395722*false*125.8213*0.67*0.13*0.8*0.05*0.85*7.95*0.37
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2013 T1*2013-01-01*2013-03-31*Medio*0.15*0.41**147564.81*556*0.0*18409835*false*124.7576*0.33*0.06*0.39*0.02*4.6*7.14*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2014 T3*2014-07-01*2014-09-30*4 (En una escala del 1 al 7)*0.4*2.01**458347.22*1440*0.0*63284372*false*138.0708*0.34*0.08*0.42*0.02*0.7*8.51*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2014 S1*2014-01-01*2014-06-30*4 (En una escala del 1 al 7)*0.92*2.02**432369.26*1398*0.0*59283128*false*137.1123*0.67*0.06*0.73*0.04*1.02*5.27*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2014 T1*2014-01-01*2014-03-31*4 (En una escala del 1 al 7)*0.22*1.5**407612.07*1361*0.0*55322911*false*135.7244*0.33*0.01*0.34*0.02*0.33*5.5*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2015 S2*2015-07-01*2015-12-31*4 (En una escala del 1 al 7)*0.45*0.2**670939.9*1934*0.0*96775442*false*144.2386*0.68*0.0*0.68*0.03*2.3*7.38*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2015 T3*2015-07-01*2015-09-30*4 (En una escala del 1 al 7)*0.3*0.21**616951.44*1813*0.0*86986138*false*140.9935*0.34*0.0*0.34*0.02*-4.57*10.76*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2015 S1*2015-01-01*2015-06-30*4 (En una escala del 1 al 7)*0.48*0.93**558012.82*1697*0.0*82442535*false*147.7431*0.67*0.23*0.9*0.03*-2.25*8.53*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2015 T1*2015-01-01*2015-03-31*4 (En una escala del 1 al 7)*0.24*1.45**498279.93*1546*0.0*75312427*false*151.1448*0.33*0.19*0.52*0.02*8.89*9.57*0.36
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2016 S 2*2016-07-01*2016-12-31*4 (En una escala del 1 al 7)*0.0*0.0**521944.33*1898*0.0*77208987*false*147.9257*0.5*0.0*0.5*0.01*8.29*9.64*0.35
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2016 S 2*2016-07-01*2016-12-31*4 (En una escala del 1 al 7)*0.0*0.0**23001.76*2*0.0*3419437*false*148.6598*0.02*0.0*0.02*0.04*8.45*9.63*0.03
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2016 T 3*2016-07-01*2016-09-30*4 (En una escala del 1 al 7)*0.0*0.0**542169.12*1927*0.0*74058235*false*136.5962*0.25*0.0*0.25*0.01*1.24*6.14*0.33
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2016 T 3*2016-07-01*2016-09-30*4 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*1.39*6.14*0.0
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2016 S 1*2016-01-01*2016-06-30*4 (En una escala del 1 al 7)*0.0*0.0**554041.8*1974*0.0*74756278*false*134.9289*0.56*0.0*0.56*0.02*-2.18*9.81*0.44
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2016 S 1*2016-01-01*2016-06-30*4 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*9.81*"[<iic-com:ratiototalgastos contextref=""FIM_S12016_V-80453756_daq"" decimals=""2"" unitref=""pure"">0.44</iic-com:ratiototalgastos>]"
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I.*2016 T 1*2016-01-01*2016-03-31*4 (En una escala del 1 al 7)*0.0*0.07**565700.0*1976*0.0*78027520*false*137.9309*0.31*0.0*0.31*0.01*-4.37*8.51*0.33
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2016 T 1*2016-01-01*2016-03-31*4 (En una escala del 1 al 7)*0.0*0.07**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*-4.37*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12016_V-80453756_da"" decimals=""2"" unitref=""pure"">8.51</iic-com-fon:volatilidadvalorliquidativo>]"*0.5
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2017 S 2*2017-07-01*2017-12-31*4 (En una escala del 1 al 7)*0.0*-0.4**568654.2*2160*0.0*89529266*false*157.4406*0.5*0.0*0.5*0.02*1.57*3.95*0.35
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2017 S 2*2017-07-01*2017-12-31*4 (En una escala del 1 al 7)*0.0*-0.4**32077.89*3*0.0*5105202*false*159.1502*0.2*0.0*0.2*0.01*1.72*3.93*0.2
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2017 T 3*2017-07-01*2017-09-30*4 (En una escala del 1 al 7)*0.0*-0.4**546525.47*2086*0.0*84713337*false*155.0035*0.25*0.0*0.25*0.01*0.98*5.19*0.35
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2017 T 3*2017-07-01*2017-09-30*4 (En una escala del 1 al 7)*0.0*-0.4**32077.89*3*0.0*5018979*false*156.4622*0.1*0.0*0.1*0.01*1.13*5.17*0.2
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2017 S 1*2017-01-01*2017-06-30*4 (En una escala del 1 al 7)*0.0*0.0**550798.03*2058*0.0*84543448*false*153.4926*0.5*0.0*0.5*0.02*-0.85*4.51*0.38
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2017 S 1*2017-01-01*2017-06-30*4 (En una escala del 1 al 7)*0.0*0.0**32077.89*3*0.0*4962806*false*154.7111*0.2*0.0*0.2*0.01*-0.7*4.5*0.15
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2017 T 1*2017-01-01*2017-03-31*4 (En una escala del 1 al 7)*0.0*0.0**530577.61*1971*0.0*82137057*false*154.8069*0.25*0.0*0.25*0.01*4.65*6.91*0.35
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2017 T 1*2017-01-01*2017-03-31*4 (En una escala del 1 al 7)*0.0*0.0**40552.64*4*0.0*6318104*false*155.8001*0.1*0.0*0.1*0.01*4.8*6.9*0.11
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2018 S 2*2018-07-01*2018-12-31*4 (En una escala del 1 al 7)*0.0*-0.4**536361.51*2069*0.0*77942384*false*145.3169*0.5*0.0*0.5*0.01*-5.38*7.32*0.35
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2018 S 2*2018-07-01*2018-12-31*4 (En una escala del 1 al 7)*0.0*-0.4**46860.23*125*0.0*6926909*false*147.8206*0.2*0.0*0.2*0.02*-5.21*7.28*0.2
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2018 T 3*2018-07-01*2018-09-30*4 (En una escala del 1 al 7)*0.0*-0.4**568588.99*2142*0.0*87323419*false*153.5792*0.25*0.0*0.25*0.01*1.22*3.9*0.35
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2018 T 3*2018-07-01*2018-09-30*4 (En una escala del 1 al 7)*0.0*-0.4**46709.46*125*0.0*7284037*false*155.9435*0.1*0.0*0.1*0.01*1.37*3.88*0.2
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2018 S 1*2018-01-01*2018-06-30*4 (En una escala del 1 al 7)*0.0*-0.4**578174.62*2179*0.0*87725622*false*151.7286*0.5*0.0*0.5*0.01*-0.27*4.89*0.35
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2018 S 1*2018-01-01*2018-06-30*4 (En una escala del 1 al 7)*0.0*-0.4**49677.24*112*0.0*7642389*false*153.8409*0.2*0.0*0.2*0.01*-0.12*4.87*0.2
GVC GAESCO RETORNO ABSOLUTO, FI*GVC Gaesco Retorno Absoluto, F.I. clase A*2018 T 1*2018-01-01*2018-03-31*4 (En una escala del 1 al 7)*0.0*-0.4**594336.66*2294*0.0*90422000*false*152.1391*0.25*0.0*0.25*0.01*-3.37*8.84*0.34
GVC GAESCO RETORNO ABSOLUTO, FI*GVC GAESCO RETORNO ABSOLUTO CLASE I FUND*2018 T 1*2018-01-01*2018-03-31*4 (En una escala del 1 al 7)*0.0*-0.4**37908.45*4*0.0*5839000*false*154.0232*0.1*0.0*0.1*0.01*-3.22*8.83*0.19
