fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2009 S2*2009-07-01*2009-12-31*medio-alto*0.0*0.48**1204301.79*395*0.0*9886383*false*8.2092***0.76*0.1*0.86*7.26*0.46
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2009 T3*2009-07-01*2009-09-30*medio-alto*0.11*0.24**1221970.58*392*0.0*9945457*false*8.1389***0.38*0.05*10.13*9.8*0.46
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2009 S1*2009-01-01*2009-06-30*medio-alto*0.04*0.24**1209863.82*401*0.0*8941419*false*7.3904***0.74*0.1*13.23*21.85*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2010 S2*2010-07-01*2010-12-31*Muy Alto*1.04*0.49**527633.41*245*0.0*4037125*false*7.6514***0.76*0.1*-0.44*8.23*0.45
BONA-RENDA, FI*Bona - Renda, F.I.*2010 T3*2010-07-01*2010-09-30*medio-alto*0.76*0.39**587727.19*265*0.0*4517009*false*7.6856***0.38*0.05*4.3*9.69*0.45
BONA-RENDA, FI*Bona - Renda, F.I.*2010 S1*2010-01-01*2010-06-30*medio-alto*1.35*0.36**665275.65*275*0.0*4901982*false*7.3683***0.75*0.1*-7.01*19.07*0.44
BONA-RENDA, FI*"Bona -
                Renda, F.I."*2010 T1*2010-01-01*2010-03-31*medio-alto*0.25*0.28**1022777.61*354*0.0*8104585*false*7.9241***0.37*0.05*-3.47*12.07*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2011 S2*2011-07-01*2011-12-31*Muy alto*0.84*1.09**400854.71*209*0.0*2880671*false*7.1863*0.76*0.0*0.76*0.06*3.01*10.35*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2011 T3*2011-07-01*2011-09-30*Muy alto*0.59*1.18**418321.95*217*0.0*2918493*false*6.9767***0.38*0.03*-7.42*11.09*0.44
BONA-RENDA, FI*Bona - Renda, F.I.*2011 S1*2011-01-01*2011-06-30*Muy alto*1.59*0.72**450909.41*221*0.0*3397921*false*7.5357***0.74*0.1*-3.31*7.77*0.45
BONA-RENDA, FI*Bona - Renda, F.I.*2011 T1*2011-01-01*2011-03-31*Muy Alto*0.72*0.58**485557.79*235*0.0*3784464*false*7.7941***0.37*0.05*1.86*9.24*0.45
BONA-RENDA, FI*Bona - Renda, F.I.*2012 T3*2012-07-01*2012-09-30*Muy alto*0.62*0.36**311585.62*185*0.0*2326282*false*7.4659*0.38*0.0*0.38*0.02*6.63*10.52*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2012 S1*2012-01-01*2012-06-30*Muy alto*0.62*0.35**327320.36*189*0.0*2291771*false*7.0016*0.75*0.0*0.75*0.04*-4.44*9.3*0.44
BONA-RENDA, FI*Bona - Renda, F.I.*2012 T1*2012-01-01*2012-03-31*Muy alto*0.18*0.35**380030.7*201*0.0*2784317*false*7.3266*0.37*0.0*0.37*0.02*1.95*6.11*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2013 T3*2013-07-01*2013-09-30*5 (En una escala del 1 al 7)*0.0*0.14**458659.87*250*0.0*3605298*false*7.8605*0.38*0.0*0.38*0.02*6.47*8.14*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2013 S1*2013-01-01*2013-06-30*5 (En una escala del 1 al 7)*0.57*0.12**278847.26*173*0.0*2058600*false*7.3825*0.74*0.0*0.74*0.04*-1.93*10.87*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2013 T1*2013-01-01*2013-03-31*Muy alto*0.47*0.08**311564.78*186*0.0*2345434*false*7.5279*0.37*0.0*0.37*0.02*-3.31*12.94*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2012 S2*2012-07-01*2012-12-31*Muy alto*1.61*0.24**305927.4*183*0.0*2381731*false*7.7853*0.75*0.0*0.75*0.05*4.28*5.55*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2014 T3*2014-07-01*2014-09-30*5 (En una escala del 1 al 7)*0.13*0.0**668627.02*288*0.0*6000935*false*8.975*0.38*0.0*0.38*0.02*-0.72*10.78*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2014 S1*2014-01-01*2014-06-30*5 (En una escala del 1 al 7)*0.0*0.1**649188.17*283*0.0*5868677*false*9.04*0.74*0.0*0.74*0.04*-1.13*8.41*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2014 T1*2014-01-01*2014-03-31*5 (En una escala del 1 al 7)*0.01*0.1**521345.38*261*0.0*4766993*false*9.1436*0.37*0.0*0.37*0.02*5.83*9.25*0.41
BONA-RENDA, FI*Bona - Renda, F.I.*2013 S2*2013-07-01*2013-12-31*5 (En una escala del 1 al 7)*0.02*0.13**454553.82*248*0.0*3927242*false*8.6398*0.76*0.0*0.76*0.05*9.91*6.71*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2015 S2*2015-07-01*2015-12-31*5 (En una escala del 1 al 7)*0.15*0.0**575649.13*267*0.0*5238810*false*9.1007*0.76*0.0*0.76*0.04*8.14*10.81*0.44
BONA-RENDA, FI*Bona - Renda, F.I.*2015 T3*2015-07-01*2015-09-30*5 (En una escala del 1 al 7)*0.04*0.0**587091.86*273*0.0*4940576*false*8.4153*0.38*0.0*0.38*0.02*-8.48*15.8*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2015 S1*2015-01-01*2015-06-30*5 (En una escala del 1 al 7)*0.29*0.0**612051.41*276*0.0*5627796*false*9.195*0.74*0.0*0.74*0.04*-2.85*11.26*0.41
BONA-RENDA, FI*Bona - Renda, F.I.*2015 T1*2015-01-01*2015-03-31*5 (En una escala del 1 al 7)*0.11*0.0**629622.98*278*0.0*5959468*false*9.4651*0.37*0.0*0.37*0.02*9.04*11.57*0.39
BONA-RENDA, FI*Bona - Renda, F.I.*2016 S2*2016-07-01*2016-12-31*6 (En una escala del 1 al 7)*0.13*0.0**558494.42*273*0.0*5448450*false*9.7556*0.75*0.0*0.75*0.05*5.08*7.8*0.43
BONA-RENDA, FI*Bona - Renda, F.I.*2016 T3*2016-07-01*2016-09-30*6 (En una escala del 1 al 7)*0.18*0.0**531304.03*261*0.0*4932715*false*9.2842*0.38*0.0*0.38*0.02*10.34*9.51*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2016 S1*2016-01-01*2016-06-30*6 (En una escala del 1 al 7)*0.3*0.0**563209.23*261*0.0*4738785*false*8.4139*0.75*0.0*0.75*0.04*-3.0*14.52*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2016 T1*2016-01-01*2016-03-31*6 (En una escala del 1 al 7)*0.19*0.0**581470.4*266*0.0*5043890*false*8.6744*0.37*0.0*0.37*0.02*-4.68*16.06*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2017 T3*2017-07-01*2017-09-30*6 (En una escala del 1 al 7)*0.0*-0.4**765983.71*374*0.0*8704429*false*11.3637*0.38*0.0*0.38*0.02*3.51*8.11*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2017 S1*2017-01-01*2017-06-30*6 (En una escala del 1 al 7)*0.0*0.0**674465.5*350*0.0*7404210*false*10.9779*0.74*0.0*0.74*0.04*5.2*7.46*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2017 T1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**594301.13*318*0.0*6201868*false*10.4356*0.37*0.0*0.37*0.02*6.97*7.02*0.42
BONA-RENDA, FI*Bona - Renda, F.I.*2018 S2*2018-07-01*2018-12-31*6 (En una escala del 1 al 7)*0.11*-0.4**2043387.68*1056*0.0*22729943*false*11.1237*0.76*0.0*0.76*0.04*-10.48*11.93*0.41
BONA-RENDA, FI*Bona - Renda, F.I.*2018 T3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.08*-0.4**1991818.02*992*0.0*24750590*false*12.4261*0.38*0.0*0.38*0.02*-1.24*5.53*0.41
BONA-RENDA, FI*Bona - Renda, F.I.*2018 S1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*-0.4**1694713.54*839*0.0*21322899*false*12.582*0.74*0.0*0.74*0.04*5.42*8.22*0.41
BONA-RENDA, FI*Bona - Renda, F.I.*2018 T1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*-0.38**1211222.82*608*0.0*14456000*false*11.9348*0.37*0.0*0.37*0.02*1.3*10.2*0.4
