fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO FONDO DE FONDOS, FI*"Gaesco
                Fondo de Fondos, F.I."*2009 S2*2009-07-01*2009-12-31*alto*0.0*0.36**1937438.86*827*0.0*12510066*false*6.457***0.76*0.05*5.13*7.89*0.44
GVCGAESCO FONDO DE FONDOS, FI*"Gaesco
                Fondo de Fondos, F.I."*2009 T3*2009-07-01*2009-09-30*alto*0.0*0.24**1965482.36*852*0.0*12071900*false*6.142***0.38*0.02*11.92*11.45*0.45
GVCGAESCO FONDO DE FONDOS, FI*"Gaesco
                Fondo de Fondos, F.I."*2009 S1*2009-01-01*2009-06-30*alto*0.1*0.24**2043010.17*869*0.0*11211713*false*5.4878***0.74*0.05*19.82*25.59*0.41
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2010 S2*2010-07-01*2010-12-31*alto*0.11*0.54**1513122.15*697*0.0*11669448*false*7.7122***0.76*0.05*11.07*8.64*0.41
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2010 T3*2010-07-01*2010-09-30*alto*0.18*0.6**1680497.55*737*0.0*11668613*false*6.9435***0.38*0.03*2.17*12.38*0.39
GVCGAESCO FONDO DE FONDOS, FI*Gaesco Fondo de Fondos, F.I.*2010 S1*2010-01-01*2010-06-30*alto*0.01*0.24**1711524.06*760*0.0*11631199*false*6.7958***0.74*0.05*-3.28*15.61*0.4
GVCGAESCO FONDO DE FONDOS, FI*"Gaesco
                Fondo de Fondos, F.I."*2010 T1*2010-01-01*2010-03-31*alto*0.01*0.24**1889950.67*797*0.0*13278904*false*7.0261***0.37*0.02*8.81*9.96*0.4
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2011 S2*2011-07-01*2011-12-31*Alto*0.0*1.45**1199294.45*647*0.0*8074009*false*6.7323*0.76*0.0*0.76*0.05*7.6*17.87*1.4
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2011 T3*2011-07-01*2011-09-30*Alto*0.0*1.45**1229672.79*664*0.0*7694050*false*6.257***0.38*0.03*-14.3*23.15*0.42
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2011 S1*2011-01-01*2011-06-30*Alto*0.0*1.33**1216954.37*660*0.0*8884954*false*7.301***0.74*0.05*-2.67*8.18*0.41
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2011 T1*2011-01-01*2011-03-31*alto*0.0*1.33**1253441.61*675*0.0*9402331*false*7.5012***0.37*0.02*-2.74*13.2*0.41
GVCGAESCO FONDO DE FONDOS, FI*GVC Gaesco Fondo de Fondos, F.I.*2012 T3*2012-07-01*2012-09-30*Alto*0.0*1.57**1177376.4*640*0.0*8939327*false*7.5926*0.38*0.0*0.38*0.03*6.03*12.79*0.6
