fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 S2*2009-07-01*2009-12-31*bajo*0.0*0.24**9668.75*506*0.0*13012011*false*1345.7805***0.29*0.05*0.07*0.05*0.16
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T3*2009-07-01*2009-09-30*bajo*0.0*0.24**10463.07*504*0.0*14071225*false*1344.8472***0.15*0.03*0.07*0.05*0.19
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2014 T1*2014-01-01*2014-03-31*1 (En una escala del 1 al 7)*0.0*0.29**5409.17*753*0.0*7384317*false*1365.148*0.2*0.0*0.2*0.02*0.05*0.01*0.24
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2015 S2*2015-07-01*2015-12-31*1 (En una escala del 1 al 7)*0.0*0.0**4253.59*678*0.0*5812959*false*1366.601*0.09*0.0*0.09*0.05*0.0*0.0*0.07
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2015 T3*2015-07-01*2015-09-30*1 (En una escala del 1 al 7)*0.0*0.0**4429.94*687*0.0*6053938*false*1366.5952*0.07*0.0*0.07*0.03*0.0*0.0*0.11
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2015 S1*2015-01-01*2015-06-30*1 (En una escala del 1 al 7)*0.0*0.57**4745.24*689*0.0*6484688*false*1366.5674*0.17*0.0*0.17*0.05*0.0*0.0*0.12
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2015 T1*2015-01-01*2015-03-31*1 (En una escala del 1 al 7)*0.0*0.88**4982.82*701*0.0*6809246*false*1366.5448*0.08*0.0*0.08*0.02*0.0*0.0*0.12
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2016 S2*2016-07-01*2016-12-31*1 (En una escala del 1 al 7)*0.0*0.0**3739.71*654*0.0*5110796*false*1366.6291*-0.01*0.0*-0.01*0.05*0.0*0.0*0.03
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2016 T3*2016-07-01*2016-09-30*1 (En una escala del 1 al 7)*0.0*0.0**3909.95*662*0.0*5343422*false*1366.6222*0.0*0.0*0.0*0.03*0.0*0.04*0.05
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2016 S1*2016-01-01*2016-06-30*1 (En una escala del 1 al 7)*0.0*0.0**3968.45*670*0.0*5423332*false*1366.6132*0.04*0.0*0.04*0.05*0.0*0.0*0.07
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2016 T1*2016-01-01*2016-03-31*1 (En una escala del 1 al 7)*0.0*0.0**4035.46*676*0.0*5514895*false*1366.6083*0.02*0.0*0.02*0.02*0.0*0.0*0.07
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2017 S2*2017-07-01*2017-12-31*1 (En una escala del 1 al 7)*0.0*-0.4**11970.19*794*0.0*16358902*false*1366.6371*0.0*0.0*0.0*0.05*0.0*0.0*0.04
