fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
COBAS RENTA, FI*COBAS RENTA FI*2017 T3*2017-07-01*2017-09-30*3 en una escala de 1 a 7*0.0*0.0**217097.0*387*0.0*21618402*false*99.5795*0.06*0.0*0.06*0.01***0.08
COBAS RENTA, FI*COBAS RENTA FI*2017 S1*2017-01-01*2017-06-30*3 en una escala de 1 a 7*0.0*0.0**187264.25*336*0.0*18616329*false*99.4121*0.08*0.0*0.08*0.01*-0.58*1.33*0.11
COBAS RENTA, FI*COBAS RENTA FI*2017 T1*2017-01-01*2017-03-31*3 en una escala de 1 a 7*0.0*0.0**73044.47*75*0.0*7304232*false*99.9971*0.0*0.0*0.0*0.0***0.0
COBAS RENTA, FI*COBAS RENTA FI*2018 T3*2018-07-01*2018-09-30*3 en una escala de 1 a 7*0.04*0.0**198007.62*421*0.0*19190206*false*96.9165*0.06*0.0*0.06*0.01*-0.9*2.26*0.08
COBAS RENTA, FI*COBAS RENTA FI*2018 S1*2018-01-01*2018-06-30*3 en una escala de 1 a 7*0.16*0.0**204478.73*438*0.0*19996752*false*97.7938*0.12*0.0*0.12*0.02*-0.8*2.98*0.08
COBAS RENTA, FI*COBAS RENTA FI*2018 T1*2018-01-01*2018-03-31*3 en una escala de 1 a 7*0.0*0.0**215362.44*437*0.0*21230280*false*98.5793*0.06*0.0*0.06*0.01*-1.98*3.03*0.08
COBAS RENTA, FI*COBAS RENTA FI*2017 S2*2017-07-01*2017-12-31*3 en una escala de 1 a 7*0.13*0.0**223185.46*398*0.0*22445832*false*100.5703*0.13*0.0*0.13*0.02*1.0*1.79*0.09
COBAS RENTA, FI*Cobas Renta, FI*2019 T3*2019-07-01*2019-09-30*3 en una escala de 1 a 7*0.05*-0.02**153688.66*400*0.0*14403423*false*93.7182*0.06*0.0*0.06*0.01*0.03*4.3*0.09
COBAS RENTA, FI*Cobas Renta, FI*2019 S1*2019-01-01*2019-06-30*3 en una escala de 1 a 7*0.33*-0.02**178264.2*413*0.0*16701411*false*93.6891*0.12*0.0*0.12*0.02*-0.84*3.14*0.08
COBAS RENTA, FI*Cobas Renta, FI*2019 T1*2019-01-01*2019-03-31*3 en una escala de 1 a 7*0.07*-0.04**174512.79*407*0.0*16488625*false*94.4838*0.06*0.0*0.06*0.01*2.86*3.28*0.08
COBAS RENTA, FI*Cobas Renta, FI*2018 S2*2018-07-01*2018-12-31*3 en una escala de 1 a 7*0.11*-0.66**185326.22*420*0.0*17022624*false*91.8522*0.13*0.0*0.13*0.02*-5.23*4.05*0.08
COBAS RENTA, FI*Cobas Renta, FI*2020 S2*2020-07-01*2020-12-31*3 en una escala de 1 a 7*0.51*0.0**141058.16*325*0.0*12933630*false*91.6901*0.13*0.0*0.13*0.02*4.51*5.56*0.08
COBAS RENTA, FI*Cobas Renta, FI*2020 T3*2020-07-01*2020-09-30*3 en una escala de 1 a 7*0.39*0.0**159928.11*346*0.0*14030503*false*87.7301*0.06*0.0*0.06*0.01*-0.97*5.37*0.08
COBAS RENTA, FI*Cobas Renta, FI*2020 S1*2020-01-01*2020-06-30*3 en una escala de 1 a 7*0.16*0.0**163469.76*348*0.0*14481734*false*88.5897*0.12*0.0*0.12*0.02*0.21*9.13*0.08
COBAS RENTA, FI*Cobas Renta, FI*2020 T1*2020-01-01*2020-03-31*3 en una escala de 1 a 7*0.0*0.0**190437.18*370*0.0*16835403*false*88.404*0.06*0.0*0.06*0.01*-8.5*11.03*0.08
