fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO BOLSALIDER, FI*GVC Gaesco Bolsalíder, F.I.*2012 T1*2012-01-01*2012-03-31*Alto*0.33*1.21**500971.32*284*0.0*3444457*false*6.8756*0.56*0.0*0.56*0.04*-4.96*18.68*0.62
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalï¿½der, F.I.*2013 S 2*2013-07-01*2013-12-31*7 (En una escala del 1 al 7)*0.0*1.81**987741.82*552*0.0*8516163*false*8.6219*1.13*0.0*1.13*0.08*11.83*13.06*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2013 S 2*2013-07-01*2013-12-31*7 (En una escala del 1 al 7)*0.0*1.81**0.0*0*0.0*0*false*8.6527*0.0*0.0*0.0*0.0*12.04*13.06*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2013 S 2*2013-07-01*2013-12-31*7 (En una escala del 1 al 7)*0.0*1.81**0.0*0*0.0*0*false*8.6837*0.0*0.0*0.0*0.0*12.25*13.06*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2013 T 3*2013-07-01*2013-09-30*6 (En una escala del 1 al 7)*0.0*1.57**673184.99*391*0.0*5190087*false*7.7097*0.57*0.0*0.57*0.04*15.12*14.54*0.62
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2013 T 3*2013-07-01*2013-09-30*6 (En una escala del 1 al 7)*0.0*1.57**0.0*0*0.0*0*false*7.7228*0.0*0.0*0.0*0.0*15.31*13.53*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2013 T 3*2013-07-01*2013-09-30*6 (En una escala del 1 al 7)*0.0*1.57**0.0*0*0.0*0*false*7.7358*0.0*0.0*0.0*0.0*15.58*13.53*0.0
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2013 S 1*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*1.94**584373.13*349*0.0*3913728*false*6.6973*1.12*0.0*1.12*0.07*1.0*17.55*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2013 S 1*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*1.94**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2013 S 1*2013-01-01*2013-06-30*6 (En una escala del 1 al 7)*0.0*1.94**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0
