fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016*2016-01-01*2016-12-31*4, en una escala del 1 al 7*1.385*-0.005**2829760.84*133.5*0.0*31833712.0*False*11.3103*0.6**0.6*0.1****False*Y*2016
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016 T2*2016-01-01*2016-06-30*3, en una escala del 1 al 7*2.6*0.0**2804780.9299999997*125.0*0.0*31027423.0*False*10.9062*0.15**0.15*0.030000000000000002****False*T*2016
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2016 T4*2016-07-01*2016-12-31*4, en una escala del 1 al 7*1.7199999999999998*-0.02**3179258.8*139.0*0.0*31833712.0*False*11.3103*0.15**0.15*0.020000000000000004****False*T*2016
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2017*2017-01-01*2017-12-31*4, en una escala del 1 al 7*1.345*-0.015**3400903.59*128.0*0.0*39274512.0*False*11.5464*0.6**0.6*0.1****False*Y*2017
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2017 T2*2017-01-01*2017-06-30*4, en una escala del 1 al 7*2.01*0.0**3556799.8400000003*130.0*0.0*38987948.0*False*11.4658*0.15**0.15*0.030000000000000002****False*T*2017
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2017 T4*2017-07-01*2017-12-31*4, en una escala del 1 al 7*2.35*-0.049999999999999996**3387982.8*116.0*0.0*39274512.0*False*11.5464*0.15**0.15*0.020000000000000004****False*T*2017
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.42000000000000004*-0.23**666385.815*97.5*0.0*7760077.0*False*11.6674*1.2*0.1*1.2999999999999998*0.05****True*Y*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2019 T2*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.54*-0.3**655073.1699999999*86.0*0.0*7619373.0*False*11.412*0.3*0.0*0.3*0.01****True*T*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.5700000000000001*-0.29000000000000004**662979.9*98.0*0.0*7760077.0*False*11.6674*0.3*0.1*0.39999999999999997*0.019999999999999997****True*T*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.42000000000000004*-0.23**1545927.19*4.0*0.0*17892948.0*False*11.7618*0.7*0.16*0.86*0.05****True*Y*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2019 T2*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.54*-0.3**693574.54*4.0*0.0*18022987.0*False*11.4754*0.17999999999999997*0.0*0.17999999999999997*0.01****True*T*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.5700000000000001*-0.29000000000000004**1521279.84*4.0*0.0*17892948.0*False*11.7618*0.16999999999999998*0.1*0.27*0.019999999999999997****True*T*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2019*2019-01-01*2019-12-31*3, en una escala del 1 al 7*0.42000000000000004*-0.23**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*Y*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2019 T2*2019-01-01*2019-06-30*4, en una escala del 1 al 7*0.54*-0.3**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2019 T4*2019-07-01*2019-12-31*3, en una escala del 1 al 7*0.5700000000000001*-0.29000000000000004**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2019
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.6499999999999999*-0.37**652906.3899999999*89.0*0.0*7059763.0*False*11.6842*1.2*0.0*1.2*0.05****True*Y*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.95*-0.38**693605.2299999999*91.0*0.0*7816874.0*False*11.1415*0.3*0.0*0.3*0.01****True*T*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. A*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*1.06*-0.37**500169.9899999999*75.0*0.0*7059763.0*False*11.6842*0.3*0.0*0.3*0.019999999999999997****True*T*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.6499999999999999*-0.37**1106524.575*1.5*0.0*11305505.0*False*11.8378*0.7*0.0*0.7*0.05****True*Y*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.95*-0.38**1258014.16*2.0*0.0*14164760.0*False*11.2596*0.17999999999999997*0.0*0.17999999999999997*0.01****True*T*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. B*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*1.06*-0.37**863885.8099999999*1.0*0.0*11305505.0*False*11.8378*0.16999999999999998*0.0*0.16999999999999998*0.019999999999999997****True*T*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2020*2020-01-01*2020-12-31*3, en una escala del 1 al 7*0.6499999999999999*-0.37**1941.195*0.5*0.0*45406.0*False*11.6953*0.05*0.15*0.2*0.01****True*Y*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2020 T2*2020-01-01*2020-06-30*3, en una escala del 1 al 7*0.95*-0.38**0.0*0.0*0.0*0.0*False*0.0*0.0*0.0*0.0*0.0****True*T*2020
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P. PORTFOLIO MAX 45 F.I. L*2020 T4*2020-07-01*2020-12-31*3, en una escala del 1 al 7*1.06*-0.37**7764.78*2.0*0.0*45406.0*False*11.6953*0.05*0.15*0.2*0.01****True*T*2020
